Date,USDIDR Close,Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,14209.39169,75.86712679,-1.226088888,3.995254986,-27.94855798,-125.3868214,-436.9858752,6.60143661,3.357832094,18.44657359,0.916576853,662.463126,-24.53696757,22360.0,40000.0,39240.0,24860.0,39350.0,51800.0,52200.0,26490.0,38400.0,30660.0,29730.0,71580.0,70710.0,75030.0,73790.0,84230.0,50180.0,49420.0,39510.0,65950.0,74100.0,31630.0,52870.0,80000.0,86390.0,35800.0,50960.0,41660.0,46480.0,60540.0,48880.0,26990.0,42410.0,26180.0
2022-01-02,14190.2066,76.13717718,0.19969316,4.031115558,-5.028045067,57.68703699,-156.3004829,6.592108789,2.630140639,18.45458032,0.170589578,722.1501946,-10.28533941,23340.0,50990.0,39570.0,24730.0,38940.0,44860.0,51130.0,26160.0,39140.0,29880.0,31020.0,75430.0,59180.0,74010.0,72230.0,84230.0,52240.0,53070.0,36090.0,67380.0,69850.0,28870.0,58600.0,80410.0,75750.0,34760.0,49550.0,40360.0,45520.0,58830.0,48800.0,26470.0,44750.0,27290.0
2022-01-03,14215.0,75.85,1.3,3.678,3.4,157.5,-7.13,5.259,1.94,18.74,-0.74,758.0,-1.65,22050.0,48990.0,38700.0,26850.0,39490.0,44780.0,50100.0,29080.0,37960.0,29730.0,29980.0,71320.0,59370.0,75580.0,67650.0,84450.0,52890.0,52840.0,35970.0,69940.0,72110.0,29770.0,42930.0,82320.0,68260.0,35170.0,45980.0,41100.0,46990.0,56570.0,49150.0,27780.0,41320.0,24460.0
2022-01-04,14283.59961,76.74,1.17,3.582,-2.61,174.1,10.54,5.308,0.93,18.75,0.05,770.0,1.58,22460.0,48990.0,41310.0,25740.0,38910.0,44780.0,49080.0,28780.0,37440.0,29180.0,29460.0,66440.0,61650.0,75260.0,66110.0,81860.0,49490.0,47650.0,31950.0,75210.0,73910.0,28610.0,44220.0,73060.0,69250.0,35220.0,45630.0,39990.0,46490.0,56630.0,45860.0,29880.0,38530.0,23790.0
2022-01-05,14385.5,77.47,0.95,3.71,3.57,179.9,3.33,5.437,2.43,18.34,-2.19,760.75,-1.2,19630.0,48990.0,38710.0,25150.0,33830.0,43910.0,45540.0,27890.0,36420.0,28270.0,27750.0,68330.0,59750.0,74070.0,64290.00000000001,80920.0,50790.0,53910.0,29800.0,69260.0,71520.0,28260.0,46760.0,76970.0,66910.0,34140.0,40190.0,39460.0,45330.0,56100.0,44600.0,28320.0,40680.0,24520.0
2022-01-06,14446.5,78.88,1.82,3.67,-1.08,196.5,9.23,5.387,-0.92,18.19,-0.82,746.0,-1.94,20140.0,40000.0,37690.0,24840.0,31180.0,42940.0,42630.0,26040.0,35960.0,27520.0,26790.0,60750.0,60320.0,74010.0,62180.0,78920.0,48880.0,42790.0,28930.0,68620.0,70520.0,27670.0,47620.0,70540.0,65010.00000000001,34700.0,40870.0,37780.0,43910.0,55190.0,41960.0,28190.0,38910.0,25920.0
2022-01-07,14408.0,78.44,-0.56,3.726,1.53,195.9,-0.31,5.33,-1.06,18.05,-0.77,758.5,1.68,22960.0,46900.0,34910.0,24420.0,30460.0,36920.0,41610.0,25230.0,36750.0,25730.0,26330.0,60060.0,60230.0,73970.0,61210.0,78770.0,48040.0,52720.0,28310.0,66350.0,66830.0,28370.0,45360.0,74000.0,67200.0,34980.0,43940.0,36440.0,44640.0,55160.0,44700.0,27720.0,41010.0,25520.0
2022-01-08,14364.52204,78.69258722,-0.539923554,4.241957858,29.72536983,198.0598603,1.798955289,6.536444843,-0.50578282,18.50126008,-0.971594163,763.5365193,2.783964823,21730.0,46900.0,32210.0,25870.0,30460.0,42000.0,42010.0,25410.0,34780.0,24940.0,26070.0,65510.00000000001,59510.0,70480.0,56350.0,79940.0,46200.0,48910.0,28630.0,68990.0,66680.0,28330.0,41840.0,76570.0,63630.0,34450.0,42980.0,37900.0,43080.0,53280.0,42870.0,27350.0,39270.0,25070.0
2022-01-09,14333.21896,79.27434017,-0.764175537,4.276378053,30.03270483,198.214534,1.991804044,6.527218016,-0.652405105,18.50881328,-0.606334802,759.6629189,2.823000454,20430.0,44720.0,24100.0,25070.0,29900.0,40030.0,42510.0,26940.0,34690.0,24520.0,25720.0,58080.0,56430.0,70480.0,57180.0,71110.0,43010.0,57830.0,27950.0,68830.0,64690.0,28640.0,52010.0,62450.0,70280.0,35730.0,43940.0,36110.0,44920.0,54280.0,42920.0,25830.0,37640.0,24170.0
2022-01-10,14318.5,77.7,-0.94,3.834,2.9,196.5,0.31,5.366,0.68,17.83,-1.22,762.0,0.46,19570.0,43870.0,31940.0,24300.0,28650.0,38030.0,41870.0,27340.0,32570.0,20830.0,25010.0,52090.0,53080.0,68320.0,54120.0,65950.0,41470.0,51010.0,26090.0,62680.0,65810.0,29210.0,46240.0,72230.0,60650.0,33300.0,43570.0,36710.0,42270.0,52050.0,40450.0,27600.0,37990.0,25670.0
