Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,28970,27440,11030,12080,22360,,30540,150930,13520,,19400,27550,8910
02/01/2022,29900,29070,10950,12020,23340,,31390,151540,13540,,19100,27520,8860
03/01/2022,28970,27970,10970,11990,22050,,30980,150100,13430,,19220,28000,8860
04/01/2022,29600,28140,10990,12050,22460,,31680,148700,13580,,19160,27850,8820
05/01/2022,29540,27590,11050,12180,19630,50000,32620,147690,13460,,19570,28350,8920
06/01/2022,29410,27530,11000,12160,20140,50000,31480,148650,13380,,19830,28360,8760
07/01/2022,30960,27900,11010,12200,22960,31620,29790,149140,13370,,19620,28380,8730
08/01/2022,30550,27760,11050,12190,21730,50000,31180,149000,13460,,19820,27790,8910
09/01/2022,29840,27780,11010,12180,20430,50000,32150,150040,13510,,19870,28960,8860
10/01/2022,29800,27940,10980,12090,19570,50000,32680,150040,13490,,19930,28180,8960
11/01/2022,29660,28780,10900,12100,18770,50000,32390,149970,13510,,19540,27750,8920
12/01/2022,30590,29070,10910,12100,19760,44720,33090,148780,13700,,19650,27770,9000
13/01/2022,31130,29310,10900,12040,19690,50000,33170,149450,13790,,19620,27960,9040
14/01/2022,31110,29300,10870,12030,20470,44480,32510,149490,13910,,19730,27430,9060
15/01/2022,30410,29180,10940,12040,20080,46900,32290,149480,14040,,19800,27160,9140
16/01/2022,29780,29090,10880,12020,19360,46900,32060,149230,14000,,19800,26820,9140
17/01/2022,29920,29240,10860,11960,19840,46420,32080,149480,14060,,19920,27040,9140
18/01/2022,30570,28850,10820,11960,19210,46420,32050,149230,14020,,19870,26960,9100
19/01/2022,29980,28540,10810,11960,18980,46420,31850,149030,13980,,20010,26690,9140
20/01/2022,29720,28600,10740,11880,20320,50000,32050,148710,14050,,19380,25840,9140
21/01/2022,30270,28480,10900,12010,19220,38730,32480,148640,14080,,19560,25830,9160
22/01/2022,30280,28380,10680,11850,19550,52440,32200,148340,14000,,19370,25780,9130
23/01/2022,29490,28280,10750,11890,19390,50000,32020,148900,14000,,19490,25030,9120
24/01/2022,29790,28350,10750,11860,17970,46260,31700,148960,14130,,19590,25400,9200
25/01/2022,29610,28290,10800,11870,18520,47430,31770,148250,14130,,19440,24670,9220
26/01/2022,29500,28350,10750,11870,18470,43990,31600,148500,14090,,19530,24920,9220
27/01/2022,29530,28400,10710,11770,18770,46370,31750,148250,14130,,19500,24480,9270
28/01/2022,29520,28570,10740,11750,18730,46370,31630,147820,14130,,19500,24050,9220
29/01/2022,30070,28670,10740,11760,19290,46370,31400,150230,14140,,19550,24330,9180
30/01/2022,29680,28360,10630,11730,18840,46370,31830,147740,14100,,19330,23270,9160
31/01/2022,29820,28600,10730,11760,18940,31620,31250,148740,14170,,19380,22310,9230
01/02/2022,29710,28610,10760,11730,19210,50000,31320,148170,14180,,19360,21960,9160
02/02/2022,29200,28970,10710,11760,21020,50000,30960,148500,14280,,19260,21310,9230
03/02/2022,29370,29000,10670,11750,22470,50000,30890,148250,14280,,19210,21350,9230
04/02/2022,29390,28880,10690,11730,23610,50000,30590,147730,14290,,19150,20860,9270
05/02/2022,29320,28790,10710,11760,23630,50000,30350,148430,14250,,19210,20930,9270
06/02/2022,29080,28630,10720,11780,22880,50000,30500,148680,14260,,18970,20720,9330
07/02/2022,29730,28930,10710,11760,23760,50000,30100,147730,14340,,19060,20750,9270
08/02/2022,29960,28970,10710,11760,24290,50000,30300,148220,14390,,19020,20620,9230
09/02/2022,29790,29020,10830,11890,24740,45830,30210,147980,14340,,19380,20640,9230
10/02/2022,30730,29340,10800,11860,24940,45830,29960,148130,14310,,19260,20360,9250
11/02/2022,30850,29400,10810,11850,25660,45830,29410,147430,14350,,19310,20290,9250
12/02/2022,31010,29490,10870,11890,28210,45830,29670,148390,14390,,19440,20430,9250
13/02/2022,31300,29490,10800,11820,30120,52440,29720,147730,14300,,19560,20420,9300
14/02/2022,31820,29870,10820,11830,29460,52440,29440,147730,14340,,19310,20630,9230
15/02/2022,32020,29930,10720,11780,33130,48630,29560,148220,14380,,19980,20060,9230
16/02/2022,32940,29880,10740,11800,33730,41470,29470,147880,14350,,19000,20030,9160
17/02/2022,32680,30100,10800,11860,33230,46370,29630,148940,14390,,18610,19970,9300
18/02/2022,33320,30090,10740,11780,35510,47430,29470,146510,14400,,18480,19910,9230
19/02/2022,33780,30080,10740,11800,35820,47430,28590,146950,14360,,18850,19850,9230
20/02/2022,34330,30060,10740,11780,37380,42430,29450,146450,14310,,18610,19870,9230
21/02/2022,35010,30130,10750,11790,37960,45000,29700,146790,14440,,17470,19890,9160
22/02/2022,35460,30550,10690,11740,38280,45000,29490,146520,14390,,17800,20210,9260
23/02/2022,35310,30300,10800,11840,38640,42430,29660,146520,14400,,17750,19730,9220
24/02/2022,34760,30010,10770,11820,38230,40250,30210,147370,14350,,17130,20200,9310
25/02/2022,35540,30180,10730,11730,39180,40250,29780,146250,14340,,17080,20150,9250
26/02/2022,35650,29930,10750,11730,39480,42430,29840,146760,14310,,16610,20390,9180
27/02/2022,36690,30320,10760,11740,40170,48990,29890,146450,14390,,16510,20420,9250
28/02/2022,36630,30040,10690,11710,40720,48990,30130,146860,14340,,16120,20710,9140
01/03/2022,36010,30130,10810,11740,41250,44720,29700,146950,14420,,15860,20430,9210
02/03/2022,36110,30380,10720,11720,42330,42430,29570,146950,14290,,15770,20240,9210
03/03/2022,36440,30390,10720,11710,43980,48990,29480,147050,14310,,15910,20290,9180
04/03/2022,35680,30380,10730,11720,46600,48990,29450,146750,14340,,15910,20570,9170
05/03/2022,36190,30170,10720,11690,50250,44720,29650,147550,14310,,15860,20180,9140
06/03/2022,36430,30170,10710,11720,52020,44720,29290,147420,14340,,15630,20340,9120
07/03/2022,36450,30320,10720,11730,55150,55000,29460,147050,14350,,15440,20900,9240
08/03/2022,36870,30460,10710,11700,53700,,29490,147290,14260,,15610,20640,9090
09/03/2022,37190,30640,10800,11720,54770,,29170,146790,14360,,15580,20580,9070
10/03/2022,36670,30660,10820,11760,55000,,29330,146700,14380,,15430,21030,9100
11/03/2022,37200,30400,10790,11770,55530,,29390,146500,14430,,15380,20790,9100
12/03/2022,36760,30450,10840,11770,55340,,29660,147050,14450,,15350,20910,9120
13/03/2022,36970,29830,10800,11720,55600,,29470,146790,14400,,15350,20750,9120
14/03/2022,36650,30410,10810,11740,55200,,29380,147420,14510,,15480,21280,9130
15/03/2022,36230,30160,10810,11740,55910,,29130,147970,14560,,15330,21930,9160
16/03/2022,36400,30450,10750,11670,53890,,29030,148310,14590,,15040,21760,9140
17/03/2022,36010,30010,10810,11740,56520,,29220,147970,14690,,15780,21640,9200
18/03/2022,36060,30010,10810,11740,56540,,29280,147520,14730,,15860,21450,9200
19/03/2022,36050,30140,10830,11750,56160,,29900,148130,14720,,16330,21670,9340
