Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (cerah)
01/01/2022,26890,27240,9960,11210,39240,80020,37610,124900,13240,,18820,30480,9090
02/01/2022,25600,26430,9800,11210,39570,81700,36440,126580,12920,,18660,30130,8960
03/01/2022,26390,27550,10040,11290,38700,84630,37440,124900,13080,,18640,30200,9040
04/01/2022,26630,26600,9900,11210,41310,88680,37320,126160,13180,,18850,29180,9020
05/01/2022,26610,26470,9750,11250,38710,79400,36900,127060,13060,,18980,28530,9170
06/01/2022,26760,26650,9970,11280,37690,73770,36890,126160,13180,,18910,28220,9020
07/01/2022,25830,27530,10040,11290,34910,67710,37620,124900,13080,,18720,27430,9040
08/01/2022,26030,27080,9880,11290,32210,68450,36570,126580,13080,,18980,28050,9390
09/01/2022,26460,27300,10070,11570,24100,64940,36900,125900,13090,,19190,26770,9270
10/01/2022,26140,26730,9970,11280,31940,64990,36030,126160,13180,,18990,27060,9020
11/01/2022,26460,27140,10030,11320,31210,64040,36180,125620,13200,,19320,26510,9170
12/01/2022,26270,26730,9970,11280,27830,54830,37040,126160,13240,,19300,25520,9020
13/01/2022,26300,27000,10110,11400,28730,53180,38180,125620,13340,,18980,24940,9170
14/01/2022,25910,26690,9970,11300,25710,53620,37890,124900,13660,,19150,24770,9040
15/01/2022,26270,26600,10030,11350,27670,50890,38030,126160,13290,,18990,24190,9020
16/01/2022,24660,26210,9900,11330,27200,51380,37340,127060,13190,,18980,23930,9170
17/01/2022,25310,27000,10110,11400,28620,51650,37620,125620,13490,,18840,23870,9170
18/01/2022,25680,26880,9890,11350,35460,50380,37530,126160,13290,,18990,23440,9020
19/01/2022,26880,26740,10030,11350,33000,48840,37400,126160,13300,,18990,22450,9020
20/01/2022,26880,26470,10030,11350,33610,49080,37160,126160,13410,,18400,22440,9020
21/01/2022,25910,26250,9970,11380,33320,48800,36740,126580,13060,,18200,21650,9390
22/01/2022,27070,26430,9700,11300,33130,46510,36570,126580,12900,,17880,21490,9040
23/01/2022,27400,26230,10060,11350,32850,47500,38600,126160,13290,,18270,21240,9020
24/01/2022,27400,26610,9970,11280,32810,42760,36780,126160,13480,,18340,21360,9020
25/01/2022,26400,25580,9970,11380,31220,38880,36570,126580,13310,,18120,21650,9390
26/01/2022,27530,26490,9890,11210,32430,40110,36530,126160,13540,,16850,21230,9020
27/01/2022,27050,26080,9830,11250,31920,38800,34490,127060,13480,,17270,20990,9170
28/01/2022,27600,26120,9970,11280,32210,36880,36800,126160,13540,,16080,20540,9020
