Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,26650,25960,10100,11350,24860,43040,39680,124090,13280,,18540,26370,8190
02/01/2022,26950,26590,10130,11400,24730,45830,38820,124910,13160,,18610,27050,8290
03/01/2022,27290,27080,10170,11370,26850,53330,39740,124290,13210,,18430,27280,8360
04/01/2022,27450,26970,10230,11410,25740,53840,40960,124910,13300,,18360,27740,8410
05/01/2022,27710,27180,10200,11590,25150,53840,40960,124290,13320,,18430,27210,8360
06/01/2022,27150,26700,10200,11590,24840,52350,41470,124290,13160,,18430,27170,8360
07/01/2022,26840,26760,10200,11610,24420,53500,42150,124290,13160,,18430,27020,8360
08/01/2022,26160,27020,10230,11500,25870,58550,41430,123810,13090,,18380,25780,8330
09/01/2022,26260,26080,10230,11500,25070,53780,42960,123920,13090,,18380,25360,8210
10/01/2022,26260,26460,10330,11500,24300,54870,44840,123810,13090,,18380,25780,8210
11/01/2022,26260,26650,10280,11590,23680,54130,44200,123810,13090,,18380,25480,8120
12/01/2022,26460,26760,10280,11590,23960,52350,45900,123810,13190,,18380,25460,8300
13/01/2022,26460,26650,10280,11590,23750,52350,46000,123810,13190,,18480,25510,8300
14/01/2022,26360,26650,10320,11590,24000,48990,45420,123810,13190,,18530,25030,8300
15/01/2022,26360,26650,10320,11590,22920,48190,45530,123810,13190,,18530,25300,8300
16/01/2022,26360,26650,10320,11590,23290,52070,45420,124690,13190,,18580,25330,8300
17/01/2022,26560,26650,10320,11590,23810,48890,45280,123810,13190,,18670,25100,8410
18/01/2022,26560,26650,10320,11590,23810,46180,46110,123810,13290,,18670,25210,8410
19/01/2022,26560,26650,10320,11590,24060,46720,46010,123810,13340,,18670,25020,8410
20/01/2022,26850,26960,10300,11600,25020,47750,45040,124290,13940,,17480,24790,8590
21/01/2022,26660,26540,10320,11590,24750,47070,44400,123810,13740,,18070,24560,8580
22/01/2022,26660,26250,10400,11590,25610,48190,44500,124290,13840,,17840,24470,8580
23/01/2022,26660,26270,10320,11590,24560,51120,44200,124880,13840,,17740,24260,8680
24/01/2022,26760,26560,10320,11590,24570,47180,40160,123810,13790,,17750,23650,8730
25/01/2022,26760,26560,10320,11590,24460,47180,42260,123810,13790,,17750,23600,8730
26/01/2022,26850,26460,10320,11590,24000,46180,42020,123810,13740,,17650,23410,8560
27/01/2022,27160,26850,10410,11680,23900,44520,40330,123810,13740,,17000,22720,8730
28/01/2022,27160,26850,10410,11680,24510,44520,40790,123810,13790,,17000,23030,8730
29/01/2022,27260,26850,10410,11680,24700,45390,39780,122710,13790,,17000,23220,8730
30/01/2022,27160,26660,10410,11680,24910,45500,38580,123890,13890,,16790,23110,8730
31/01/2022,27270,26960,10420,11680,24910,44510,39120,122710,13840,,16170,22680,8730
01/02/2022,27250,26770,10330,11590,24910,43490,38280,123050,13640,,15680,22310,8730
