Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,35510,32770,11270,12660,51800,98730,35990,126580,14480,,19750,32200,8990
02/01/2022,31850,29490,11010,12660,44860,98730,36480,130000,14000,,19750,30980,8360
03/01/2022,34880,32180,11010,12390,44780,97420,37160,124900,14320,,19830,30860,9950
04/01/2022,35260,32180,11010,12390,44780,95730,36180,127940,14320,,19830,30690,9520
05/01/2022,35260,32180,11010,12390,43910,88960,36370,125900,14320,,19830,29880,10040
06/01/2022,33490,32180,11010,12390,42940,80320,36180,125900,14320,,19830,29560,10040
07/01/2022,30910,30100,11010,12470,36920,73340,35200,125900,13790,,19800,27520,9690
08/01/2022,33130,32180,11010,12390,42000,76210,35200,125900,14320,,19830,28960,10040
09/01/2022,33130,32180,11010,12390,40030,76210,35200,125900,14320,,19830,28450,10040
10/01/2022,33130,32180,11010,12390,38030,71140,34990,125900,14140,,19830,27960,10040
11/01/2022,33490,32180,11060,12480,38030,67490,37000,126860,14320,,19830,27260,10040
12/01/2022,33200,31650,11070,12580,39870,71660,37770,128630,14380,,19800,26300,9690
13/01/2022,33490,32180,11060,12480,38030,63490,36590,126860,14320,,20970,25720,10040
14/01/2022,33490,32180,11060,12480,38030,62650,38430,125870,14320,,19830,25530,10040
15/01/2022,34240,33090,11280,12580,39870,63200,39340,124850,14380,,19800,25430,10270
16/01/2022,31140,30650,11360,12720,32240,56350,39340,124850,14000,,19750,23480,9870
17/01/2022,34240,32640,10880,12190,36500,61280,38040,126130,14380,,19800,25880,9860
18/01/2022,33490,32180,11060,12480,37060,61750,37220,124880,14320,,19830,25190,10040
19/01/2022,33130,32030,11060,12480,37060,59470,38370,126900,14320,,19830,24820,10040
20/01/2022,33130,32180,11060,12480,35330,59470,38390,124880,14320,,19480,24200,10040
21/01/2022,32970,32180,11060,12480,36890,57370,38010,124880,14320,,19480,24020,10040
22/01/2022,33330,33090,11280,12580,38450,59080,38810,124850,14380,,19590,24770,10270
23/01/2022,32750,32180,11060,12480,37850,56460,38010,124880,14320,,19480,23850,10040
24/01/2022,33130,32180,11060,12480,38830,55480,38010,124880,14320,,19320,24120,10040
25/01/2022,33130,31820,11060,12480,37020,50850,37010,123940,14320,,19320,23590,10040
26/01/2022,33800,32640,11170,12580,37130,53350,35250,122470,14380,,19190,23920,10270
27/01/2022,32750,32180,11060,12480,36080,47400,37010,123940,14320,,19320,22990,10040
28/01/2022,33520,32180,11060,12320,36580,46480,37010,123940,14320,,18980,22530,10040
29/01/2022,33520,32180,11060,12320,37530,45450,37010,123940,14320,,18980,22630,10040
30/01/2022,30940,30100,11070,12390,30770,38820,36590,123940,14000,,19190,20780,9690
31/01/2022,33520,32180,11060,12320,37530,46480,36590,123940,14320,,18980,22280,10040
01/02/2022,33520,32180,11060,12320,37020,46480,36590,123940,14320,,18980,22100,10040
02/02/2022,33520,32180,11060,12320,36580,46480,36800,123940,14320,,18810,22280,10040
03/02/2022,34390,32180,11060,12480,36890,45300,36300,123940,14320,,18820,22280,9520
04/02/2022,34550,32180,11060,12480,38680,48860,36300,123940,14320,,18820,21750,9520
05/02/2022,32320,30100,11070,12580,33800,42340,35880,123940,14000,,18990,20390,9090
06/02/2022,35300,32180,11060,12480,39020,49430,35880,123940,14320,,18290,21750,9520
07/02/2022,35830,32180,11060,12480,39020,49430,35530,123940,14320,,17950,21750,9520
08/02/2022,35660,32180,11060,12480,40030,49050,35530,123940,14320,,17950,21750,9520
09/02/2022,35660,32180,11060,12480,39020,49960,35310,123940,14320,,18960,21390,9520
10/02/2022,36370,32180,11060,12480,39900,49920,34240,123940,14320,,18090,21390,9520
11/02/2022,39370,32180,11060,12480,42000,51920,35310,123940,14320,,18270,21390,9520
12/02/2022,39270,32180,11060,12480,42200,51300,35310,123940,14320,,18270,21560,9240
13/02/2022,36540,30520,11070,12580,38550,46440,35530,123940,14000,,17940,20180,8770
14/02/2022,39240,32560,11060,12480,43170,51750,35530,123940,14320,,18270,21650,9240
15/02/2022,39710,32560,11060,12480,42780,51190,33730,123940,14400,,17950,21650,9240
16/02/2022,38510,32560,11060,12480,42780,51190,33330,123940,14400,,17790,21650,9240
17/02/2022,37290,32710,11060,12480,42580,50300,33730,123940,14400,,17790,21650,9240
18/02/2022,38130,32560,11060,12480,42580,51300,33520,123940,14400,,17790,21740,9240
19/02/2022,38130,32180,11060,12480,42580,49870,33330,124920,14400,,17790,21740,9240
20/02/2022,38130,32560,11060,12480,42580,50760,33120,123940,14400,,17790,21920,9240
21/02/2022,38510,32180,11060,12480,43740,52320,33120,123940,14400,,17790,21920,9240
22/02/2022,41160,32560,11060,12480,45790,57850,34160,124920,14480,,17930,22440,9240
23/02/2022,41830,33090,11170,12580,48160,61780,33710,122470,14380,,18340,22750,9290
24/02/2022,41520,32560,11060,12480,47520,60590,34380,127720,14650,,17930,22630,9240
25/02/2022,41520,32560,11060,12480,46480,62310,34180,127720,14650,,17930,22800,9240
26/02/2022,41520,32910,11060,12480,47520,62310,34180,130660,14650,,17930,22630,9240
27/02/2022,41520,32910,11060,12480,47520,62310,34180,131690,14650,,17930,22620,9240
28/02/2022,41520,32910,11060,12480,48470,64150,34180,127480,14650,,17930,22790,9240
01/03/2022,41520,32560,11060,12480,49320,66720,34380,127480,14650,,18280,23140,9240
02/03/2022,41160,32180,11060,12480,50200,69140,34950,128060,14650,,18280,23330,9240
03/03/2022,41160,32180,11060,12480,49320,67490,35150,131520,14650,,18280,23500,9240
04/03/2022,41520,32560,11060,12160,50110,70320,34790,136720,14650,,18280,23500,9240
05/03/2022,41400,32640,11170,12580,55990,77960,36660,131140,14580,,17960,23820,9290
06/03/2022,41160,32530,11060,12480,54940,80340,36320,134710,14650,,17790,24010,9240
07/03/2022,40600,32530,11060,12480,54850,77350,36120,134710,14820,,18280,24190,9240
08/03/2022,41160,34230,11060,12480,52930,76570,35900,132860,14820,,18280,25070,9240
09/03/2022,40810,32530,11060,12480,52930,77460,35900,132860,14820,,18280,25250,9240
10/03/2022,40260,32910,11060,12480,51820,75140,35900,132860,14820,,18280,25250,9240
11/03/2022,40260,32910,11060,12480,52600,75140,36110,132860,14820,,18280,25420,9240
12/03/2022,39520,32560,11060,12480,53780,75140,35520,132860,14820,,18280,25590,9240
13/03/2022,39520,32560,11060,12480,54640,73370,35550,132860,14820,,18280,25590,9240
14/03/2022,40060,32560,11060,12480,55820,76630,35390,132860,14820,,18280,25590,9240
15/03/2022,39900,32560,11060,12480,55820,76630,36330,134850,14820,,18600,25590,9240
16/03/2022,39900,32930,11060,12480,53980,74890,37320,134850,14820,,18110,25410,9240
17/03/2022,39900,32560,11060,12480,50950,71190,36540,132860,14820,,18770,25410,9240
18/03/2022,39900,32930,11060,12480,52930,69940,36910,132860,14820,,19060,25410,9240
19/03/2022,39900,32930,11060,12480,52100,70060,37320,132860,14820,,19480,25410,9240
20/03/2022,39020,32930,11060,12480,54940,71140,36910,135910,14980,,20130,24890,9330
21/03/2022,37420,32400,11490,12960,46900,67080,40000,134910,14490,,19440,23980,9220
22/03/2022,38160,31580,10780,12410,50460,63590,36950,135910,14990,,19430,25340,9330
23/03/2022,37980,31580,10530,12410,50460,62530,36950,135910,14990,,19430,25340,9240
24/03/2022,37980,31580,10530,12410,49580,61700,36570,135910,14990,,19430,25160,9330
25/03/2022,37980,30780,10530,12410,48710,60810,36350,135910,14990,,19280,24990,9330
26/03/2022,37980,31580,10530,12410,47110,60390,36570,135910,14990,,18950,25160,9330
27/03/2022,37590,30940,10640,12500,48680,61630,37430,134910,14990,,18960,25600,9090
28/03/2022,37980,31580,10530,12410,47870,59230,36740,136940,14990,,19280,25680,9420
29/03/2022,38500,31580,10470,12380,46020,57860,36540,136940,14820,,19280,25700,9420
30/03/2022,38500,31580,10470,12380,46020,57860,36740,136940,14820,,19280,25700,9420
31/03/2022,38500,31580,10470,12380,46020,59650,36330,136940,14820,,19280,25700,9420
01/04/2022,38830,31580,10470,12380,44510,58010,37350,136940,14990,,19280,25700,9740
02/04/2022,38830,32640,10470,12350,44510,58940,38840,136940,14990,,19810,25870,9740
03/04/2022,38830,32640,10470,12350,44510,58010,37530,136940,15150,,19770,26080,9740
04/04/2022,38830,33490,10400,12310,45760,58010,37530,133750,15150,,20750,25700,9740
05/04/2022,38830,32640,10400,12310,47850,58940,38150,138990,14980,,20580,25700,9590
06/04/2022,39710,32640,10400,12310,50460,59800,38530,136940,14980,,20580,25700,9590
07/04/2022,39710,32640,10400,12310,49580,57930,38530,136940,15150,,20580,25350,9590
08/04/2022,39710,32640,10400,12310,47540,55820,38530,136940,15150,,20580,25700,9590
09/04/2022,40720,31910,10490,12380,49490,53870,38660,134910,14970,,20480,25840,9900
10/04/2022,41410,33160,10400,12310,44300,50070,38930,135910,15150,,20580,25700,9920
11/04/2022,41410,33160,10400,12310,45090,52530,38320,136940,15150,,20580,25870,9920
12/04/2022,40600,32920,10400,12310,43530,50070,38860,136940,15240,,21120,25610,9920
13/04/2022,37920,32520,10290,12380,39870,44890,38860,136940,15090,,21410,24290,9540
14/04/2022,38830,32400,10400,12310,41600,45670,38430,135910,15240,,21120,24990,9920
15/04/2022,39710,32400,10400,12310,42680,45670,38860,135910,15080,,21120,24990,9920
16/04/2022,38830,32400,10400,12310,40790,43800,38430,135910,15080,,21120,25340,9590
17/04/2022,38830,32400,10400,12310,40790,42940,36540,135910,15080,,21120,25160,9590
18/04/2022,39370,32400,10400,12310,39900,41070,37150,136940,14900,,21120,24910,9760
19/04/2022,39370,32400,10400,12310,39020,41070,37740,137910,14900,,22070,25520,9760
20/04/2022,37850,31580,10400,12310,39020,41070,37740,137910,14900,,21520,25520,9760
21/04/2022,40600,32400,10400,12310,37490,42830,37740,137910,14900,19720,24270,25870,9950
22/04/2022,38700,32400,10400,12310,37490,42830,37740,138840,14900,19630,24410,26260,9950
23/04/2022,39710,32400,10400,12310,39340,43800,38110,139860,14900,19630,24410,26050,9950
24/04/2022,41120,31910,10490,12380,43380,44600,39610,142440,14890,18970,24300,26270,9940
25/04/2022,41850,33130,10400,12310,43640,44570,38640,143920,14900,20850,24300,26050,9950
26/04/2022,43180,33130,10400,12310,47440,47760,38640,145920,14900,21900,23110,26050,9780
27/04/2022,42340,33130,10400,12310,46700,48060,38860,151950,14900,19960,24250,26050,9950
28/04/2022,43490,33130,10400,12310,50460,47490,40490,155920,14900,20420,24080,26560,9950
29/04/2022,46100,33130,10400,12310,51260,47930,41130,157950,14900,20230,24410,27650,10110
30/04/2022,46510,35240,10400,12310,53620,51280,41730,162950,14900,20920,24410,27240,9950
01/05/2022,47230,33200,10490,12380,53430,52130,41650,162280,14990,19980,24100,27500,9940
02/05/2022,48480,32400,11490,12960,57450,62050,40000,150000,14970,21000,26460,28280,10950
03/05/2022,44720,32400,10490,12000,51960,52920,40000,170000,15490,,24820,28840,10390
04/05/2022,44720,31690,10720,12470,52200,51600,40000,154840,14980,20490,24130,27600,9930
05/05/2022,44780,32910,10490,12380,48160,51940,39160,151070,14890,19980,23900,27780,9940
06/05/2022,44810,34000,10400,12310,46700,48760,38320,149550,14900,20230,24080,27060,9950
07/05/2022,44890,33450,10490,12380,48160,50730,38410,149480,14890,20330,24100,27280,9940
08/05/2022,43060,33710,10400,12310,45670,47690,37310,147810,14900,20250,24410,28010,9950
