Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,31740,30950,10190,11230,52200,64110,31710,125160,13610,19880,19880,29250,7580
02/01/2022,30020,30800,10120,11290,51130,63440,31200,123980,13440,19940,19940,28750,7500
03/01/2022,31250,31560,10190,11230,50100,67340,31490,125160,13610,19890,19890,28900,7620
04/01/2022,31640,31920,10260,11330,49080,63990,31320,125160,13500,19890,19890,28860,7560
05/01/2022,34010,32410,10250,11350,45540,62670,31250,124960,13490,19890,19890,28810,7530
06/01/2022,35350,32070,10290,11360,42630,52130,31340,124960,13490,19850,19850,28630,7570
07/01/2022,35330,31770,10340,11390,41610,49930,31170,124960,13530,19890,19890,28540,7560
08/01/2022,36550,32400,10340,11390,42010,54760,31490,124960,13490,19890,19890,28500,7600
09/01/2022,35630,31990,10330,11390,42510,53390,31280,124960,13500,19970,19970,28160,7600
10/01/2022,36560,33090,10340,11360,41870,45650,30650,124960,13500,20000,20000,28050,7570
11/01/2022,41960,33830,10330,11340,38660,42040,31290,124950,13600,20000,20000,27790,7620
12/01/2022,41930,33630,10270,11310,40360,43600,30840,124960,13750,20160,20160,27370,7600
13/01/2022,41430,33540,10270,11310,41020,49760,31180,126190,14070,20250,20250,27370,7600
14/01/2022,41980,34300,10230,11270,41530,47260,31630,125980,14350,20080,20080,27040,7740
15/01/2022,39250,32860,10230,11270,39870,45800,31760,125980,14450,20080,20080,26750,7780
16/01/2022,39260,34540,10230,11270,37820,44650,32070,125980,14460,20080,20080,26780,7730
17/01/2022,38720,32490,10210,11270,40010,44770,32300,125980,14500,20120,20120,27030,7730
18/01/2022,38360,31600,10160,11180,40590,45120,32610,125980,14550,20050,20050,26740,7760
19/01/2022,38950,32540,10070,11150,40030,43490,32610,125980,14550,20000,20000,26660,7760
20/01/2022,38730,31100,10160,11170,37930,42590,32570,126380,14530,20000,20000,26640,7820
21/01/2022,38160,32590,10070,11170,37150,42230,32820,125980,14530,19930,19930,26610,7820
22/01/2022,38550,33200,10070,11170,37470,41120,32910,125980,14610,19930,19930,26560,7690
23/01/2022,37710,33120,10250,11170,36550,38940,32950,125980,14610,19930,19930,26430,7760
24/01/2022,37570,33290,10100,11160,37090,38020,32930,125980,14570,19780,19780,26430,7760
25/01/2022,37450,32820,10120,11160,37580,37750,32910,125980,14510,19780,19780,26580,7760
26/01/2022,36760,32850,10120,11160,37050,37100,32820,125980,14480,19780,19780,26220,7760
27/01/2022,35440,32610,10080,10920,36890,35630,32310,125980,14500,19780,19780,26450,7760
28/01/2022,33030,32100,10010,11090,37640,35690,32480,125980,14440,19780,19780,26290,7760
29/01/2022,36210,30890,10230,11200,35860,38290,32410,125980,14440,19780,19780,26350,7760
30/01/2022,36220,32490,10220,11250,37120,36150,32170,125980,14330,19400,19400,26880,7700
31/01/2022,35420,33150,10220,11250,35040,36310,31800,125980,14330,19190,19190,26700,7730
01/02/2022,35210,31380,10200,11250,35820,35710,31290,125980,14360,19020,19020,26370,7780
02/02/2022,35910,32290,10200,11250,34850,36950,31290,125980,14210,18780,18780,26530,7730
03/02/2022,37010,32070,10220,11220,35630,42110,31090,125980,14140,18540,18540,26660,7730
04/02/2022,36860,32340,10220,11220,36220,43120,30930,125980,14160,18160,18160,26400,7650
05/02/2022,36690,31780,10210,11200,36770,44810,30770,125980,14160,18160,18160,26220,7710
06/02/2022,36940,32130,10170,11210,36640,50020,31230,126230,14110,17970,17970,26180,7650
07/02/2022,37170,32040,10220,11220,38630,50810,30790,125980,14140,17810,17810,25870,7710
08/02/2022,36280,31500,10200,11190,40300,47850,30550,125980,14140,17810,17810,25750,7710
09/02/2022,36490,32430,10230,11190,42830,48710,30600,125980,14140,17780,17780,25590,7710
10/02/2022,35780,31840,10270,11220,41310,49320,30250,125980,14220,17660,17660,25490,7750
11/02/2022,35230,31500,10270,11220,40610,49900,30250,125980,14140,17660,17660,25490,7750
12/02/2022,35960,32570,10270,11230,42270,53940,30970,125980,14220,17500,17500,25510,7750
13/02/2022,36470,32840,10270,11230,43380,55330,31400,125980,14240,17790,17790,25390,7840
14/02/2022,36540,32020,10270,11230,43720,55430,32000,126230,14300,17840,17840,25390,7840
15/02/2022,35930,31260,10270,11230,43310,51940,31780,125980,14330,17840,17840,25530,7840
16/02/2022,35930,31620,10270,11230,42360,51830,32170,125980,14330,18530,18530,25530,7840
17/02/2022,36630,31330,10270,11230,42910,56710,32300,125980,14410,18430,18430,25530,7840
18/02/2022,35740,31130,10270,11230,43010,54530,32640,125980,14410,18290,18290,25560,7840
19/02/2022,37470,31630,10260,11230,44580,57940,32630,125980,14330,18570,18570,25590,7840
20/02/2022,37460,31480,10270,11240,44130,56910,32800,125980,14330,18470,18470,25270,7840
21/02/2022,38600,31600,10260,11240,45220,56620,32760,125980,14330,18460,18460,25280,7920
22/02/2022,40740,32810,10260,11240,46260,58840,32820,126040,14320,18600,18600,25290,7870
23/02/2022,40560,32960,10280,11250,47110,60070,32990,126040,14300,19250,19250,25330,7870
24/02/2022,40690,32220,10280,11250,45980,62650,32970,125980,14250,18990,18990,24970,7870
25/02/2022,41650,32150,10080,11090,45960,62720,32970,126040,14280,18940,18940,24840,8030
26/02/2022,40970,33510,10270,11270,45340,59480,33040,126040,14280,18440,18440,24760,8080
27/02/2022,42040,33900,10430,11260,46660,57860,33470,126040,14280,18450,18450,24740,8110
28/02/2022,40710,33040,10270,11260,45990,59090,33150,126040,14270,18520,18520,24760,8250
01/03/2022,41320,33770,10270,11260,46630,60090,33050,126040,14270,18260,18260,24530,8380
02/03/2022,42580,33270,10290,11250,46530,61780,33400,126640,14270,18360,18360,24760,8450
03/03/2022,41400,31920,10290,11260,47070,62680,33580,129050,14250,17800,17800,24890,8860
04/03/2022,40960,31400,10250,11260,48680,63140,33550,129050,14370,17950,17950,24980,9250
05/03/2022,41360,31220,10250,11260,48460,62710,33550,129050,14350,17940,17940,24900,9350
06/03/2022,41550,31140,10210,11350,50000,65400,33880,130000,14150,17540,17540,25370,9410
07/03/2022,42150,31710,10250,11320,48580,62440,33310,129050,14310,17870,17870,24900,9440
08/03/2022,41420,31330,10250,11320,50210,63440,33200,129050,14260,19240,19240,25130,9020
09/03/2022,40930,31150,10250,11340,49020,63720,33360,129050,14260,19220,19220,25140,9370
10/03/2022,40610,31150,10250,11340,49970,67610,33480,129050,14260,17750,17750,25040,9370
11/03/2022,40630,32500,10250,11340,49430,66540,33480,129050,14250,17710,17710,25030,9460
12/03/2022,39680,31470,10250,11330,49140,63820,33400,129050,14250,17440,17440,25880,9460
13/03/2022,40180,31400,10250,11340,49140,64110,33480,129050,14300,17330,17330,26530,9630
14/03/2022,40490,33120,10250,11340,47090,64880,31350,129050,14220,16600,16600,25050,9630
15/03/2022,39610,32520,10250,11220,45630,64190,33710,129050,14220,17190,17190,25050,9630
16/03/2022,39780,32170,10250,11040,45520,63320,33800,129050,14220,17070,17070,25140,9630
17/03/2022,38200,32120,10250,11220,46570,63820,33590,129050,14220,18970,18970,25110,9610
18/03/2022,37610,33620,10250,11220,45250,63300,33680,129050,14280,22180,22180,25110,9600
19/03/2022,37850,34150,10260,11220,45990,62470,33760,129050,14280,22470,22470,25110,9490
20/03/2022,37660,34160,10260,11230,44620,60470,33360,129050,14280,22660,22660,25030,9490
21/03/2022,36330,34500,10150,11200,45820,62450,33990,130000,14170,22430,22430,25530,9500
22/03/2022,37030,34700,10260,11230,43650,59630,33260,129330,14280,22860,22860,24940,9490
23/03/2022,36940,34410,10260,11230,43010,58990,33280,129330,14280,23020,23020,25120,9490
24/03/2022,36960,34840,10260,11230,44660,60250,33400,129330,14280,23100,23100,25290,9490
25/03/2022,38690,35340,10260,11230,44500,59130,32790,129330,14440,23100,23100,25300,9550
26/03/2022,37190,34780,10260,11230,42290,58630,32900,129330,14460,23170,23170,25300,9550
27/03/2022,37340,34670,10270,11270,41340,57090,32790,129330,14490,23210,23210,25250,9660
28/03/2022,37800,34550,10260,11270,43270,59610,33430,129330,14610,23190,23190,25250,9710
29/03/2022,37200,34950,10260,11270,41900,59790,33750,129330,14630,23200,23200,25140,9710
30/03/2022,36860,34950,10260,11270,44030,60030,33910,129330,14690,23210,23210,25140,9710
31/03/2022,36020,35160,10260,11270,44010,61000,33980,130840,14800,24370,24370,25270,9710
01/04/2022,34890,35130,10260,11270,44550,60810,35210,131180,14800,24300,24300,25270,9600
02/04/2022,34980,35820,10260,11270,46790,61100,35290,131180,14800,24600,24600,25270,9600
03/04/2022,34590,35640,10320,11270,45700,60060,35200,131180,14830,24600,24600,25270,9600
04/04/2022,34170,35500,10260,11270,46730,61760,35200,131180,14890,25040,25040,25280,9600
05/04/2022,33970,34960,10240,11220,48700,81150,34740,131180,15130,25040,25040,25990,9600
06/04/2022,34730,35380,10230,11230,48900,70120,35110,131180,15130,25040,25040,26310,9600
07/04/2022,33030,34490,10230,11230,49720,64320,35660,131180,15130,24910,24910,26420,9630
08/04/2022,33140,34510,10230,11230,50100,57710,35730,131180,15130,24870,24870,26420,9630
09/04/2022,32470,34170,10300,11230,50020,53070,35700,131180,15130,25280,25280,26420,9630
10/04/2022,32130,34590,10300,11230,48710,51430,35830,131180,15130,24980,24980,26580,9630
11/04/2022,32020,34560,10300,11230,46660,52960,35870,131180,15130,24980,24980,26580,9630
12/04/2022,32770,33540,10230,11220,42540,43560,36030,131180,15130,25380,25380,26710,9650
13/04/2022,33060,33250,10300,11220,40490,36930,36120,131180,15130,25380,25380,26710,9650
14/04/2022,33700,34140,10300,11220,39800,40950,36200,131180,15130,25720,25720,26690,9660
15/04/2022,34220,34140,10300,11220,39320,39710,36450,131180,15130,25860,25860,26690,9660
16/04/2022,33800,33570,10300,11220,38780,43810,36450,131180,15130,25980,25980,26690,9660
17/04/2022,33400,33990,10300,11220,40160,45650,36740,131180,15130,26110,26110,26750,9660
18/04/2022,33330,34710,10300,11220,38000,42240,36660,131180,15130,26110,26110,26760,9660
19/04/2022,32760,34570,10300,11220,35210,36180,35620,131180,15190,26150,26150,27500,9660
20/04/2022,32560,33280,10300,11220,34230,35200,35500,131180,15240,26260,26260,27500,9660
21/04/2022,32550,33250,10300,11220,33450,35710,34500,131180,15240,,,28210,9640
22/04/2022,32280,32860,10300,11220,32590,33150,34450,131180,15290,,,28880,9660
23/04/2022,33640,33170,10310,11220,30750,34390,34180,131470,15290,,,28880,9830
24/04/2022,33520,33510,10300,11220,32730,34590,34210,133140,15350,30000,30000,29140,9770
25/04/2022,34270,33210,10300,11220,32460,34190,34210,133140,15350,30000,30000,29180,9690
26/04/2022,33030,33390,10300,11220,32700,33230,34370,133140,15350,30000,30000,29480,9690
27/04/2022,33700,33860,10300,11220,32460,33730,34390,133140,15400,,,29280,9690
28/04/2022,34310,33620,10300,11220,34980,34490,34820,135130,15400,,,29280,9860
