Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,25800,27010,10140,11580,38400,91430,37640,122930,13150,,19450,30740,8050
02/01/2022,26010,27000,10160,11600,39140,93530,37350,123090,13210,,19460,30420,8050
03/01/2022,25910,27080,10170,11620,37960,86060,37080,122890,13200,,19440,29510,8000
04/01/2022,25950,27360,10180,11610,37440,88960,37040,122780,13230,,19400,29070,8000
05/01/2022,25700,27460,10180,11610,36420,87970,36690,122600,13200,,19400,28860,8000
06/01/2022,25730,27190,10160,11630,35960,83590,36960,122580,13220,,19490,27910,7960
07/01/2022,25670,26980,10240,11600,36750,80480,36700,122510,13110,,19420,27640,7980
08/01/2022,25720,27140,10210,11620,34780,77700,36690,122510,13200,,19390,27330,8000
09/01/2022,25830,27300,10150,11590,34690,73870,36550,122510,13240,,19500,26740,8000
10/01/2022,25390,27800,10110,11490,32570,66350,36570,122220,13230,,19630,26040,8040
11/01/2022,25310,27040,10170,11600,31440,64330,36360,122420,13250,,19680,25870,8040
12/01/2022,25540,27370,10130,11570,31570,59820,36750,122810,13290,,19740,25510,8060
13/01/2022,25270,26970,10200,11660,29980,56420,37170,122700,13280,,19720,25430,8050
14/01/2022,25750,27280,10180,11640,29650,53930,37580,122600,13300,,19730,25310,8070
15/01/2022,25740,27320,10140,11640,30010,53040,37760,122420,13310,,19700,24920,8130
16/01/2022,25250,27120,10190,11600,28570,52340,37690,122510,13330,,19570,24730,8110
17/01/2022,24720,27220,10180,11700,29840,51620,38160,122180,13460,,19740,24340,8160
18/01/2022,25130,27210,10180,11650,30290,52620,37760,122190,13600,,19740,23920,8220
19/01/2022,25600,27340,10080,11650,29840,51350,37880,122450,13580,,19650,23560,8360
20/01/2022,25750,27370,10130,11650,29940,49860,38160,122270,13730,,19210,23270,8380
21/01/2022,25470,27160,10140,11700,29920,48070,38030,122570,13720,,18830,23220,8480
22/01/2022,25400,27160,10160,11680,30290,48220,37390,122570,13680,,18670,23140,8500
23/01/2022,25740,27400,10120,11660,30810,48250,37850,122570,13740,,18360,22990,8500
24/01/2022,25980,27260,10170,11660,29680,43720,37590,122480,13830,,18670,22760,8530
25/01/2022,25470,27030,10150,11660,29390,42200,37530,122570,13790,,18590,22610,8500
26/01/2022,25740,26960,10270,11670,29360,40540,37110,122570,13830,,18620,22350,8510
27/01/2022,25560,27050,10220,11650,28650,40020,37120,122570,13880,,18820,22230,8520
28/01/2022,25740,27190,10200,11610,28910,38540,36940,122390,13920,,18930,22010,8430
29/01/2022,26050,27010,10210,11630,28720,38360,36910,122660,13920,,18920,22010,8420
30/01/2022,25430,27440,10270,11650,28020,38260,36610,122590,13860,,18700,21810,8440
31/01/2022,26120,27160,10190,11600,28120,36560,36260,122680,13900,,18800,22030,8470
01/02/2022,26240,26990,10210,11580,28520,36100,36540,122770,13940,,18740,21360,8410
02/02/2022,26970,27110,10200,11640,28570,35970,36020,122510,13990,,18700,21450,8360
03/02/2022,26680,27070,10220,11580,28030,34520,35580,122660,13970,,18660,21310,8500
04/02/2022,26780,26970,10210,11610,28110,34950,35350,122600,13880,,18340,21210,8540
05/02/2022,26930,26930,10180,11580,27760,35140,34850,122700,13860,,18380,20970,8580
06/02/2022,27120,27150,10270,11610,27890,35390,34790,122700,13930,,18390,21030,8580
07/02/2022,27310,27030,10200,11620,28280,37370,34550,122420,13840,,18230,20810,8500
08/02/2022,27530,27230,10200,11640,28620,39960,34470,122420,13850,,18240,20760,8500
09/02/2022,27700,27380,10240,11650,29020,39900,34530,122420,13890,,18140,20620,8500
10/02/2022,28770,27180,10190,11640,30110,39780,34570,122220,13950,,17580,20430,8500
11/02/2022,29290,26950,10180,11690,30750,39850,34680,122510,13960,,17890,20490,8480
12/02/2022,29700,27000,10170,11680,30680,39960,34530,122550,13940,,17820,20640,8460
13/02/2022,30160,27320,10180,11680,31800,40400,34340,122480,13910,,17810,20600,8420
