Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,24870,24340,10130,11610,30660,65210,35620,118710,12680,,19390,28960,8030
02/01/2022,24630,24510,10180,11560,29880,64400,35260,117630,12670,,19270,28130,8110
03/01/2022,24810,24410,10230,11680,29730,66410,35260,118420,12680,,19150,26950,7910
04/01/2022,24910,24360,10220,11630,29180,64760,35000,117590,12670,,18970,26380,7930
05/01/2022,24580,24410,10230,11650,28270,58780,34830,118460,12680,,19200,25870,7970
06/01/2022,24640,24540,10240,11650,27520,53600,34960,119070,12670,,19200,25130,7970
07/01/2022,24590,24440,10230,11590,25730,50230,34830,118330,12690,,19200,24850,7950
08/01/2022,24230,24520,10250,11610,24940,45770,35000,118470,12690,,19120,24710,7990
09/01/2022,24110,24590,10330,11840,24520,45480,35370,118170,12680,,19200,24170,8060
10/01/2022,24720,24180,10180,11590,20830,42600,35510,117670,12800,,19250,23690,8020
11/01/2022,24350,24340,10250,11650,21550,41670,35940,117940,12870,,19270,23620,7950
12/01/2022,24000,24210,10230,11670,19760,40250,36140,117640,13190,,19260,23180,8070
13/01/2022,24000,24480,10210,11640,20110,40400,36370,117930,13240,,19320,22900,8140
14/01/2022,23510,24070,10180,11640,19730,38400,36280,118560,13330,,19250,22720,8160
15/01/2022,23690,24150,10180,11600,19910,37990,36640,117870,13370,,19230,22240,8090
16/01/2022,24030,24400,10220,11650,21480,38360,36000,118440,13430,,19190,22150,8200
17/01/2022,24440,24350,10160,11510,21720,38560,36950,118180,13510,,19320,21500,8280
18/01/2022,23940,24760,10200,11570,22490,37580,36840,118170,13560,,19300,21410,8190
19/01/2022,23860,24490,10160,11530,22500,36870,37050,117810,13680,,19070,21260,8250
20/01/2022,24240,24750,10120,11530,22880,36050,37240,118140,13650,,18850,21170,8250
21/01/2022,24170,24750,10100,11510,23010,34350,37040,117920,13760,,18720,21050,8280
22/01/2022,24570,24780,10070,11470,22700,33370,36900,118230,13680,,18440,21000,8330
23/01/2022,24010,24760,10080,11560,22860,30590,37050,117860,13690,,18510,21110,8270
24/01/2022,23920,25120,10140,11530,23920,28320,36440,118240,13770,,18720,20740,8300
25/01/2022,24100,24740,10110,11500,23920,28110,36520,118130,13810,,18770,20580,8280
26/01/2022,24140,24620,10080,11490,23660,26960,36360,118250,13810,,18710,20410,8280
27/01/2022,23990,24900,10080,11490,24000,26910,36100,118080,13790,,18920,20290,8310
28/01/2022,23790,24540,10080,11520,23280,25930,35830,118210,13760,,18690,20070,8320
29/01/2022,23880,24480,10070,11480,23480,25900,35450,118170,13750,,18500,20030,8290
30/01/2022,23940,24520,10070,11460,23540,26120,35480,118280,13760,,18410,20040,8310
31/01/2022,24860,24440,10070,11480,22890,25380,35190,118600,13760,,18110,20040,8370
01/02/2022,24720,24430,10070,11500,22930,25170,35250,118280,13750,,17930,19930,8360
02/02/2022,25870,24830,10040,11500,23350,25780,34850,118360,13690,,17460,19930,8330
03/02/2022,26790,24770,10040,11450,23500,26420,35070,118390,13730,,17620,19890,8340
04/02/2022,27650,24700,10070,11520,24950,30970,34150,118790,13690,,17290,19870,8350
05/02/2022,27680,24770,10050,11440,24940,31850,34040,118470,13720,,17320,19810,8410
06/02/2022,27940,24700,10090,11500,24880,32830,33950,118870,13730,,17250,19740,8390
07/02/2022,29190,24660,10080,11500,25990,31680,33820,118510,13730,,17250,19750,8390
08/02/2022,29830,24690,10090,11480,27120,33520,33700,118730,13740,,17040,19630,8370
09/02/2022,30710,24850,10120,11490,28380,33870,33480,118900,13710,,17040,19650,8390
10/02/2022,31300,25000,10080,11480,28160,33070,33570,118860,13760,,17170,19610,8400
11/02/2022,31390,25010,10120,11490,29360,32650,33390,118960,13760,,17240,19580,8380
