Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,23120,23390,9910,11460,29730,68440,34460,110800,12220,,18910,27470,8090
02/01/2022,23770,24290,9880,11330,31020,68950,34890,111720,12180,,19130,27250,8100
03/01/2022,23390,23750,9870,11350,29980,65790,35110,111390,12290,,19020,26900,8140
04/01/2022,23710,23870,9920,11410,29460,62990,35350,111480,12200,,19030,26020,8120
05/01/2022,23330,23660,9880,11290,27750,57070,35000,112080,12200,,19080,25830,8070
06/01/2022,23390,23260,9870,11340,26790,49780,34840,111060,12230,,19120,25110,8000
07/01/2022,23100,23680,9880,11290,26330,47460,34850,111100,12200,,18950,24800,7990
08/01/2022,22820,23610,9820,11340,26070,47220,34550,111180,12210,,18930,24580,7930
09/01/2022,22300,23580,9920,11320,25720,46130,34680,110250,12260,,19090,24570,8000
10/01/2022,22410,23890,9960,11310,25010,43900,34730,110920,12420,,19010,23590,7980
11/01/2022,22740,23640,10010,11390,22460,40950,35250,111480,12680,,19520,23700,8160
12/01/2022,22880,23640,9920,11290,21360,39370,35620,111440,12780,,19400,23240,8080
13/01/2022,22490,23720,9990,11280,22770,38560,35420,111050,13040,,19380,22970,8200
14/01/2022,22960,23850,9950,11240,21850,37980,36460,111870,13130,,19510,22720,8180
15/01/2022,22980,23900,9800,11110,22140,37680,36550,112090,13160,,19500,22450,7990
16/01/2022,22480,23710,9960,11300,21420,37240,36610,110370,13280,,19820,22210,8210
17/01/2022,22040,23410,9910,11570,23170,35710,37050,110570,13270,,19630,22430,8240
18/01/2022,22470,23800,9940,11330,24460,36100,37040,111480,13290,,19460,21770,8210
19/01/2022,22260,23470,10040,11440,24470,33630,37250,111050,13370,,19540,21650,8160
20/01/2022,22090,23590,9950,11380,24300,33010,37240,111030,13410,,19180,21300,8230
21/01/2022,22390,23690,9970,11430,24890,32430,37110,111230,13310,,19000,21210,8260
22/01/2022,22600,23490,9900,11200,24820,29360,37630,111910,13410,,18840,21010,8180
23/01/2022,22380,23540,9940,11320,25360,29500,37420,111280,13410,,18850,20930,8340
24/01/2022,22230,23700,10050,11390,23480,26980,37560,111280,13320,,18770,21030,8310
25/01/2022,22420,23790,9990,11390,25740,26940,36380,111170,13350,,18790,20690,8490
26/01/2022,22840,23930,10020,11450,25610,26730,36030,111080,13370,,18990,20480,8510
27/01/2022,22480,23710,10050,11420,24540,25000,35640,111200,13460,,19060,20230,8370
28/01/2022,22100,23600,9980,11320,24710,24700,35650,112010,13470,,19010,19830,8470
29/01/2022,22340,23410,9940,11400,24080,23890,35670,112320,13420,,19060,19620,8510
30/01/2022,22260,23460,9940,11320,23340,24040,35390,114270,13520,,18830,19720,8470
31/01/2022,22530,23540,9970,11330,23670,24600,34590,112370,13410,,18670,19400,8460
01/02/2022,22620,23620,10060,11310,23070,24650,34190,111070,13390,,18610,19280,8410
02/02/2022,23130,23470,9990,11310,23560,25610,33990,111630,13420,,18170,19300,8450
