Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,29640,28120,12300,13870,71580,127570,41950,140460,13320,,20170,30410,9100
02/01/2022,29610,28620,12390,13930,75430,122850,42630,142860,13400,,20150,30380,9200
03/01/2022,29840,28200,12320,13840,71320,123450,41860,139470,13370,,20620,29730,9270
04/01/2022,30110,28480,12340,14000,66440,124500,42330,142180,13310,,20130,30590,9280
05/01/2022,30440,28430,12340,14000,68330,119000,42270,142180,13310,,20310,30720,9150
06/01/2022,29920,28250,12340,14000,60750,113410,42700,142180,13240,,20240,30530,9150
07/01/2022,29370,28100,12260,13920,60060,112510,42760,140230,13300,,20540,30590,9090
08/01/2022,30180,28200,12310,14000,65510,114230,42990,143700,13280,,20290,30760,9300
09/01/2022,30280,28420,12310,14000,58080,107870,41710,142560,13320,,20140,30760,9350
10/01/2022,30070,28520,12260,13920,52090,101790,41430,140640,13400,,20580,30630,9300
11/01/2022,31130,28390,12270,13910,48190,98300,42230,142560,13480,,20350,30540,9380
12/01/2022,31130,28390,12270,13910,47770,97870,42330,142560,13450,,20350,30470,9380
13/01/2022,30530,28240,12220,13830,43600,94520,41980,140640,13590,,20730,30290,9290
14/01/2022,30800,28310,12270,13910,45470,97320,42020,142560,13720,,20280,30390,9380
15/01/2022,30800,28100,12270,13910,46260,96750,42270,142560,13790,,20350,30310,9450
16/01/2022,31200,28670,12330,13940,48170,96310,42600,143160,14160,,20530,29840,9570
17/01/2022,30740,28690,12290,13940,47650,94930,42840,143160,14160,,20610,29920,9600
18/01/2022,30390,28490,12310,13940,45640,92990,41880,142560,14200,,20560,29860,9420
19/01/2022,30140,28590,12380,13940,45510,93390,41880,142560,14360,,20630,30040,9490
20/01/2022,30140,28590,12380,13940,45410,92410,41940,142560,14400,,20630,29850,9450
21/01/2022,30060,28400,12510,13980,42000,91680,42350,142760,14390,,20600,29460,9490
22/01/2022,30290,28590,12400,13940,44460,90990,42110,142560,14430,,20960,29610,9450
23/01/2022,30940,29250,12370,13930,50270,95760,43570,145710,14460,,20870,29710,9630
24/01/2022,30060,28350,12400,13940,45220,89110,42440,142560,14430,,20960,29340,9450
25/01/2022,30120,28680,12360,13890,43280,85650,42590,140640,14500,,21040,28740,9410
26/01/2022,30980,28940,12390,13960,48330,87970,43730,144790,14420,,20790,28910,9550
27/01/2022,30130,28260,12400,13890,43670,86910,42780,140640,14590,,20170,28310,9470
28/01/2022,30130,28310,12400,13890,43380,87340,42870,140640,14590,,20170,28310,9490
29/01/2022,30680,28580,12470,13960,46150,88950,44140,143860,14600,,19930,28430,9610
30/01/2022,30050,28030,12440,13970,44670,85980,43890,142560,14550,,19940,28330,9480
31/01/2022,30330,28170,12440,13970,43430,88530,43590,142770,14550,,19860,28330,9480
01/02/2022,30350,28270,12400,13960,44320,89910,43990,142990,14630,,19310,28590,9450
02/02/2022,30490,28190,12440,13970,43840,88320,43770,142770,14620,,19330,28390,9480
03/02/2022,30280,27820,12400,13960,43190,82800,43540,143220,14430,,19010,28100,9530
04/02/2022,30180,28050,12480,13960,43270,83680,43340,142230,14510,,19710,27890,9570
05/02/2022,30260,28130,12410,13960,46730,84930,44570,144240,14440,,19630,27790,9520
06/02/2022,31000,28310,12450,13970,49080,78680,44410,142770,14440,,19200,27630,9520
07/02/2022,30810,28160,12410,13960,44150,80720,44580,142230,14480,,18970,27110,9520
08/02/2022,30950,28290,12450,13970,44210,80560,45190,142770,14480,,19260,27540,9520
09/02/2022,31640,28170,12410,13960,46790,80790,45220,144240,14400,,19250,27530,9560
10/02/2022,31810,28230,12450,13970,45330,81410,44820,142770,14440,,19310,27130,9520
11/02/2022,32420,28290,12430,13880,44900,80170,45000,140130,14430,,18860,26920,9440
12/02/2022,33210,28560,12400,13890,47250,79610,45450,141290,14400,,18940,26640,9490
13/02/2022,33930,28740,12470,13960,50190,82460,45820,143820,14320,,19180,26640,9600
14/02/2022,34330,28530,12440,13980,46240,79770,45150,143170,14330,,19070,26510,9520
15/02/2022,34890,28300,12440,13970,46700,75820,44660,143170,14360,,18660,26250,9520
16/02/2022,35280,28230,12500,14000,44000,77860,44210,143420,14390,,18710,26340,9560
17/02/2022,35470,28490,12440,13970,42700,77460,44410,143170,14360,,19270,26050,9520
18/02/2022,35660,28460,12440,13970,42220,77310,44180,143170,14300,,18980,26050,9520
19/02/2022,36580,28500,12300,13960,42740,78790,44390,144600,14350,,18900,26410,9530
20/02/2022,37060,28770,12390,13880,43040,81670,45080,141830,14310,,19110,25610,9570
21/02/2022,36810,28770,12360,13890,43310,80220,44600,141290,14300,,19000,25850,9440
22/02/2022,37410,28930,12360,13890,43530,80340,44460,141290,14260,,19000,25850,9440
23/02/2022,38110,29650,12400,13970,45830,81310,44530,143170,14240,,19580,26100,9480
24/02/2022,39300,29000,12360,13890,45600,81260,44010,141290,14260,,19220,25750,9490
25/02/2022,39910,29090,12330,13880,46510,81490,43600,141400,14200,,19070,26000,9530
26/02/2022,38310,28600,12340,13960,47830,78790,43900,144240,14260,,19300,26160,9560
27/02/2022,39030,28780,12380,13970,48270,78830,43510,143170,14240,,19200,25990,9520
28/02/2022,39200,29000,12340,13890,48010,79240,43390,141290,14260,,19140,25740,9490
01/03/2022,38490,29000,12350,13890,48010,78930,43760,141290,14380,,19220,25540,9490
02/03/2022,38440,28780,12380,13970,47880,78540,43930,143170,14350,,19270,25640,9520
03/03/2022,39030,29010,12290,13880,48300,79440,43470,141400,14410,,19320,25740,9440
04/03/2022,38430,29000,12340,13890,49090,80730,43390,141290,14380,,19530,25480,9490
05/03/2022,38320,28820,12340,13890,50150,81140,43810,141290,14380,,19550,25480,9490
