Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,21910,24490,12750,14970,70710,111130,25460,132290,12990,,19000,26720,7480
02/01/2022,24990,25980,11550,14250,59180,90180,32120,128480,12930,,19240,29620,7790
03/01/2022,24760,25990,11730,14550,59370,90090,31220,128960,12810,,19020,29650,7850
04/01/2022,25420,26210,11890,14790,61650,93510,31770,130990,12980,,19120,29810,7930
05/01/2022,25570,26210,11850,14740,59750,98030,31870,130230,12900,,19120,29550,7930
06/01/2022,25650,25980,11890,14740,60320,94600,32590,129820,12980,,19160,29590,8010
07/01/2022,25820,26210,11890,14690,60230,92710,32400,129840,12980,,19280,30260,8050
08/01/2022,25900,26140,11890,14680,59510,91910,34240,129460,13050,,19420,28990,8050
09/01/2022,26040,26490,11950,14660,56430,89140,33060,129420,13100,,19340,28830,8140
10/01/2022,25460,26260,11730,14760,53080,88260,34700,129420,13060,,19330,28690,8050
11/01/2022,25760,26170,11850,14870,54860,80130,34720,129840,13540,,19160,28100,8080
12/01/2022,25760,26190,11840,14810,52720,86800,35610,130680,13860,,19180,27950,8260
13/01/2022,26180,26380,11850,14790,47510,71600,35020,130230,14340,,19200,27240,8190
14/01/2022,26180,26230,11960,14700,49920,66870,34750,130630,14410,,19350,27040,8270
15/01/2022,26010,26150,11840,14690,49170,78100,34650,130630,14530,,19470,27320,8350
16/01/2022,25930,26330,11680,14450,46910,78050,34580,129450,14660,,19600,26950,8300
17/01/2022,25800,26080,11880,14880,44860,73530,33790,130680,14620,,19430,27030,8540
18/01/2022,26150,26230,11830,14680,43230,65830,34490,130630,14450,,19400,26510,8500
19/01/2022,26150,26300,11830,14680,46670,67570,34230,130230,14560,,19310,25810,8450
20/01/2022,25790,26160,11830,14680,45380,74380,34410,130230,14520,,18930,25780,8450
21/01/2022,25790,26010,12010,14930,44660,77390,33930,129840,14530,,18410,25680,8490
22/01/2022,25480,26250,11880,14880,43600,74480,33110,130270,14490,,18150,25130,8540
23/01/2022,25650,26390,11830,14680,45790,74270,33960,129850,14520,,18290,25120,8450
24/01/2022,25440,26330,11670,14580,45980,65700,34530,129840,14400,,18040,24570,8490
25/01/2022,26430,26430,11730,14790,47390,68870,34840,130690,14570,,18160,24150,8630
26/01/2022,25820,26320,11750,14680,46350,66160,34080,130250,14520,,17900,23970,8420
27/01/2022,24640,25540,11530,14500,46480,65880,32770,129360,14540,,17610,23710,8360
28/01/2022,26090,26290,11550,14550,46510,69170,34200,130330,14580,,17650,23510,8520
29/01/2022,25750,26380,11750,14700,46510,69140,33830,130630,14450,,17370,23510,8380
30/01/2022,25790,26410,11620,14420,45030,66910,33740,129870,14490,,17310,23470,8330
31/01/2022,25540,26070,11680,14620,43900,60240,34380,131000,14410,,16600,24210,8420
01/02/2022,25560,26060,11610,14590,44220,63140,34400,131000,14410,,16220,23360,8420
02/02/2022,25270,26170,11450,14470,41100,61340,34810,130740,14310,,15870,23420,8410
03/02/2022,25180,25840,11480,14490,43940,62240,35340,131070,14080,,16210,23470,8450
04/02/2022,24910,25660,11330,14240,47210,63200,34910,131740,14110,,16030,23430,8560
05/02/2022,25660,26240,11610,14510,46000,65650,35880,131370,14110,,15530,23510,8490
06/02/2022,25810,26170,11610,14590,45210,64990,35940,131740,14230,,15650,23430,8490
07/02/2022,25830,26030,11480,14380,42400,60870,35780,131070,14080,,15470,23100,8450
08/02/2022,26160,26260,11660,14630,43680,62350,35930,130990,14080,,15650,23050,8570
09/02/2022,27320,26250,11660,14700,44040,62350,36080,130990,14040,,15420,23050,8570
10/02/2022,27090,26660,11910,15010,42700,60690,35350,132090,14090,,15510,22880,8490
11/02/2022,27710,26460,11640,14700,43920,61700,36110,131000,14080,,15420,23120,8570
12/02/2022,27530,26420,11670,14860,42420,49130,35550,131490,14080,,15300,23050,8540
