Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,31120,29790,12110,14930,75030,108470,41630,137470,13420,,19500,30490,8310
02/01/2022,30500,29550,12170,14930,74010,108470,41480,137470,13420,,19430,30490,8310
03/01/2022,30500,29550,12110,14930,75580,92260,41310,136590,13420,,19430,30630,8310
04/01/2022,30350,29730,12110,14930,75260,109370,41770,136250,13420,,19430,30670,8310
05/01/2022,30150,29450,12110,14930,74070,105880,41490,136590,13340,,19430,30260,8310
06/01/2022,30000,29300,12110,14850,74010,89840,41610,136590,13420,,19430,30080,8310
07/01/2022,29810,29110,12110,14930,73970,104200,42200,136590,13420,,19500,30080,8380
08/01/2022,30110,29640,12030,14930,70480,99260,42170,136250,13550,,19430,30450,8380
09/01/2022,30440,29690,12030,14930,70480,99940,42760,136590,13630,,19500,30360,8380
10/01/2022,30220,29670,12030,14930,68320,94120,42920,136250,13770,,19500,30290,8380
11/01/2022,29870,29670,12110,15130,68370,91470,42000,136250,13810,,19460,29990,8380
12/01/2022,29990,29540,12110,15130,68140,92460,42560,136250,13920,,19460,30020,8440
13/01/2022,29690,28860,12010,14710,66960,88570,42960,135240,13960,,19500,29250,8380
14/01/2022,29530,29060,12120,14790,65150,85540,42720,135610,14030,,19420,29090,8380
15/01/2022,30610,29700,12040,14940,66310,84080,43130,136250,14270,,19540,29260,8560
16/01/2022,30200,29570,12040,14810,65910,83950,42850,136250,14420,,19540,29130,8560
17/01/2022,30400,29660,12040,14810,64030,81380,42850,136880,14420,,19600,28990,8620
18/01/2022,30590,29870,12040,14790,61970,77290,42970,135960,14410,,19500,28480,8600
19/01/2022,29870,29560,11860,14810,63330,79630,43330,136920,14550,,19740,28100,8740
20/01/2022,29340,28830,11860,14810,62670,78460,43060,136920,14550,,19630,28020,8810
21/01/2022,29100,28710,11860,14810,62980,76660,42760,136920,14550,,19560,28020,8810
22/01/2022,29100,28850,11860,14810,62640,76750,42690,136920,14550,,19520,28020,8810
23/01/2022,29100,28850,11860,14810,62120,75910,42670,136920,14480,,19620,27930,8810
24/01/2022,29250,29010,11860,14810,62270,75690,42530,136920,14480,,19340,28000,8810
25/01/2022,29430,29180,11860,14810,62670,75220,42810,136920,14480,,19410,27580,8810
26/01/2022,29120,28950,11860,14810,62070,73770,42680,136920,14410,,19410,27470,8740
27/01/2022,29060,28580,11860,14810,60870,73890,42720,136920,14340,,19450,27380,8740
28/01/2022,28740,28260,11860,14810,60520,73330,42590,136920,14430,,19390,27380,8680
29/01/2022,28200,28040,11860,14810,59810,73870,42390,136920,14340,,19320,27240,8680
30/01/2022,28390,28040,11860,14810,59810,73480,43150,136920,14590,,19390,26650,8740
31/01/2022,28250,27960,11860,14810,59810,73060,43140,136920,14590,,19390,26650,8740
01/02/2022,28200,27900,11900,14810,58240,70270,43220,136920,14590,,19230,26740,8740
02/02/2022,28610,28080,11870,14750,57070,66220,43200,136790,14620,,19330,26860,8790
03/02/2022,28430,28050,11930,14810,56230,66270,43180,136920,14590,,18840,26190,8740
04/02/2022,28510,28120,11860,14810,55920,66770,43540,136920,14590,,18690,25850,8840
05/02/2022,28740,28350,11860,14810,55970,65580,44170,136920,14580,,18690,26280,8840
06/02/2022,28800,28410,11930,14810,56570,66590,44110,136920,14660,,18490,26280,8840
07/02/2022,28800,28410,11860,14810,56100,66590,44060,136920,14660,,18490,26170,8840
08/02/2022,29770,28190,11860,14810,56910,67050,44320,136920,14740,,18420,26170,8840
09/02/2022,30000,28410,11860,14810,56060,69180,44160,136920,14740,,18350,26170,8980
10/02/2022,30360,29210,11860,14810,56010,70450,44180,136920,14740,,17970,26170,8980
11/02/2022,30310,28930,11860,14810,55120,69180,44250,136920,14740,,17900,26040,8980
12/02/2022,31440,29730,11860,14810,54980,69890,44610,136920,14740,,17900,26040,9060
13/02/2022,31600,29880,11860,14810,55860,71220,44440,136920,14740,,18120,25740,9060
14/02/2022,32220,30180,11860,14810,56240,71620,44370,136920,14740,,18170,25740,8980
15/02/2022,34440,30100,11860,14870,55990,70630,43800,137550,14770,,18030,25420,9060
