Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,33400,32990,12640,14150,84230,114140,45960,144870,13750,,19000,32170,8490
02/01/2022,33200,32990,12640,14150,84230,113210,45330,144870,13750,,19000,32390,8490
03/01/2022,33400,32990,12640,14150,84450,114680,45330,143200,13750,,19000,32700,8490
04/01/2022,31690,31230,12800,14180,81860,105350,45410,144820,13500,,18660,33840,8320
05/01/2022,33140,32390,12640,14150,80920,99490,45720,144870,13750,,18990,34390,8490
06/01/2022,33140,32390,12640,14150,78920,92640,45720,130900,13750,,18990,34390,8490
07/01/2022,33320,32390,12640,14150,78770,90710,45720,144870,13750,,18990,34390,8490
08/01/2022,33140,32390,12640,14150,79940,91890,45720,144870,13750,,18990,33670,8490
09/01/2022,33320,31950,12640,14150,71110,85860,45280,143200,13750,,18990,32540,8490
10/01/2022,33990,31950,12640,14150,65950,79500,45280,144870,13750,,18990,32040,8490
11/01/2022,34460,32320,12460,13930,67140,74760,45280,143200,13750,,19970,32380,8490
12/01/2022,34770,32320,12460,13950,64930,73570,44870,144870,13750,,19970,31960,8490
13/01/2022,35250,32740,12460,13940,64930,72030,44460,143200,13750,,20110,32170,8490
14/01/2022,35250,32740,12460,13940,63810,70970,44270,143200,13750,,20110,32170,8490
15/01/2022,35250,32740,12460,13940,63810,70980,44450,144870,14000,,19860,32170,8490
16/01/2022,34430,32740,12460,13940,62610,66360,43840,143200,14000,,20110,31910,8490
17/01/2022,34430,32740,12460,13940,63710,68430,43650,144870,14490,,20110,31910,8490
18/01/2022,36090,32740,12460,13940,63950,65970,43870,144870,14490,,20110,31640,8740
19/01/2022,37070,33200,12460,13940,63950,67030,44080,143200,15000,,20110,31750,8740
20/01/2022,37070,33200,12460,13940,63950,70560,43880,144870,15000,,20340,32110,8740
21/01/2022,37780,34210,12460,13940,63950,70560,43160,144870,14660,,19860,31690,8740
22/01/2022,37070,33990,12460,13940,62840,68320,43360,143200,14660,,19860,31580,8740
