Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,31650,26900,10240,12630,50180,136710,40280,134030,13240,,18960,29400,9810
02/01/2022,31320,26480,10240,12630,52240,129780,40590,134910,13080,,18560,28860,9810
03/01/2022,31850,28200,10240,12630,52890,121590,41150,135760,13240,,19170,29400,10140
04/01/2022,30610,26780,10240,12630,49490,119220,40650,133250,13240,,18630,28890,9810
05/01/2022,30990,28030,10240,12630,50790,123320,40880,133250,13240,,18770,28580,9980
06/01/2022,29970,27110,10300,12490,48880,120150,40760,132090,13480,,18910,29830,10210
07/01/2022,30720,27300,10240,12630,48040,113840,42050,132450,13240,,18800,29660,10290
08/01/2022,30420,27140,10290,12530,46200,117010,42190,132090,13060,,18830,29970,10100
09/01/2022,30850,27400,10270,12500,43010,114060,41900,131360,13280,,18830,29970,10100
10/01/2022,30570,26710,10210,12500,41470,105570,41000,131360,13280,,18670,29970,10100
11/01/2022,31240,27690,10210,12490,43190,102260,42770,132090,13140,,19030,29850,10240
12/01/2022,30900,27330,10210,12500,39170,86750,41800,132090,13140,,19030,29760,10100
13/01/2022,30630,27490,10270,12500,38100,82630,42090,131360,13280,,19080,29620,10100
14/01/2022,30870,27650,10350,12530,36400,85920,42800,131360,13350,,19030,29760,10240
15/01/2022,30610,27330,10350,12530,36440,82850,42230,131360,13480,,19030,29140,10240
16/01/2022,30590,27260,10350,12530,36440,83570,41920,132090,13350,,18850,29010,9820
17/01/2022,30590,27600,10350,12530,36630,81260,41220,132090,13280,,18850,29010,9960
18/01/2022,30590,27260,10350,12530,36850,81230,40460,131360,13420,,18850,29020,9820
19/01/2022,31200,27920,10260,12610,37520,78540,41610,132090,13280,,18980,29010,10100
20/01/2022,31380,28220,10210,12610,38390,79040,42400,132090,13630,,18340,28860,9960
21/01/2022,31960,28110,10240,12630,45320,78300,41400,132450,13410,,18960,28360,9960
22/01/2022,31940,27810,10210,12530,45950,84660,40990,132090,13490,,18020,28840,10100
23/01/2022,32120,28090,10350,12530,47020,81650,40810,132090,13640,,18020,28610,10100
24/01/2022,31900,27180,10410,12580,45310,78020,40840,131580,13580,,18020,28740,10120
25/01/2022,31710,27260,10320,12530,41700,70970,42470,132090,13640,,18970,27360,10100
26/01/2022,30980,27240,10350,12680,43850,72940,41380,132090,13640,,18610,27010,10100
27/01/2022,31280,27680,10350,12680,43020,71570,41140,132090,13640,,18290,27010,10080
28/01/2022,30870,27060,10350,12680,42460,69790,40350,131360,13640,,17440,27000,10220
29/01/2022,30870,27070,10350,12530,41110,67480,41380,131360,13640,,16530,26950,10220
30/01/2022,30320,27120,10410,12460,41280,69010,39600,131620,13580,,16960,26940,10090
31/01/2022,32350,27200,10350,12680,39330,62670,40300,132090,13640,,15620,27010,10100
01/02/2022,33090,27090,10350,12530,39660,56500,39540,132090,13640,,14640,26950,10240
02/02/2022,33390,27450,10320,12680,39570,60980,40240,132090,13640,,14660,27100,10240
03/02/2022,32810,28060,10320,12680,38900,59330,39830,132090,13640,,14660,26800,10240
04/02/2022,32950,28130,10210,12410,35840,59310,40470,132450,13580,,14160,26730,10120
05/02/2022,34060,28110,10320,12490,38220,63410,40110,132090,13640,,14660,26420,10100
06/02/2022,34270,27340,10350,12490,39410,63300,39800,132090,13640,,14540,26410,10240
07/02/2022,34200,27660,10320,12490,41230,62840,39810,132090,13640,,14510,25710,10380
08/02/2022,34430,28190,10320,12350,43430,60280,40110,132090,13640,,14140,25710,10240
09/02/2022,33680,27370,10320,12350,43010,62410,38890,132090,13640,,14140,25710,10380
10/02/2022,34600,27950,10270,12350,43210,63770,38020,132090,13640,,14220,25620,10380
11/02/2022,34640,27660,10350,12350,42610,64620,38320,131360,13640,,14190,25730,10380
12/02/2022,35390,28230,10350,12490,44830,61060,38630,128980,13640,,14280,25570,10380
13/02/2022,36120,27600,10240,12580,42220,59640,38930,132450,13580,,14370,25690,10280
14/02/2022,38400,28210,10350,12350,46930,65780,38690,132090,13640,,14280,25570,10380
15/02/2022,38240,27510,10350,12350,44660,63770,39140,132090,13640,,14280,25560,10380
16/02/2022,38350,27520,10350,12350,45300,66210,39370,132810,13640,,14280,25560,10520
17/02/2022,37540,28160,10410,12240,45510,67300,37920,131620,13580,,14330,25320,10440
18/02/2022,38230,28090,10350,12350,46390,65170,39520,132090,13640,,14280,25470,10380
19/02/2022,38250,27520,10350,12350,45700,66530,38640,132090,13770,,14280,25400,10380
20/02/2022,38330,27150,10410,12410,45180,64120,40040,132450,13580,,14330,25360,10440
21/02/2022,39860,28370,10320,12490,47010,65320,38540,132090,13660,,14280,25400,10380
22/02/2022,39700,27660,10350,12350,44840,65250,39010,132090,13660,,14280,25240,10380
23/02/2022,40490,28470,10350,12350,44800,66240,38560,132090,13660,,14140,25540,10240
24/02/2022,39970,27790,10350,12350,44740,64850,39000,132090,13650,,14140,25380,10240
25/02/2022,41490,28370,10350,12350,45900,65760,39000,132090,13810,,14140,25540,10380
26/02/2022,41320,27350,10350,12350,47610,65780,38830,132810,13810,,14140,25390,10380
27/02/2022,41870,27430,10240,12410,46950,66830,39320,132450,13770,,14000,25670,10280
28/02/2022,39920,27450,10350,12350,47960,61240,38670,133530,13870,,14280,25390,10380
01/03/2022,41080,27920,10350,12490,51650,74130,38060,132090,13810,,14140,25540,10380
02/03/2022,39240,28250,10380,12240,54810,80090,36980,131620,13770,,14160,25490,10440
03/03/2022,40380,28520,10350,12350,54080,79790,38650,132090,13870,,14140,25700,10380
04/03/2022,40550,28520,10350,12490,55830,82440,38690,132090,13810,,14140,25700,10520
05/03/2022,40200,28520,10350,12490,55160,82240,38380,132090,13810,,14140,25850,10380
06/03/2022,40010,27790,10350,12350,52800,79130,38340,132810,13810,,14280,26000,10380
