Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,30720,28420,12380,13790,49420,76440,39980,136650,11960,,18630,27800,9920
02/01/2022,34680,30110,13170,14300,53070,88820,38850,147280,12460,,18850,29740,9760
03/01/2022,33850,29270,13140,14410,52840,81790,39840,140290,12420,,18530,28750,10240
04/01/2022,30720,29130,12800,13790,47650,81900,40220,136650,11960,,18850,27650,9920
05/01/2022,33850,30710,12780,14410,53910,89420,39840,140290,12590,,18620,29220,10240
06/01/2022,30900,28910,12750,13500,42790,89720,38880,144270,11760,,18940,28350,9270
07/01/2022,32060,28470,12380,13790,52720,80600,39770,144270,12100,,18850,28680,9920
08/01/2022,32340,27860,12750,13500,48910,85290,39710,144270,11890,,19070,28820,9270
09/01/2022,34900,29960,13140,14500,57830,88000,40600,140290,12620,,18700,29500,10180
10/01/2022,34520,31300,12990,14070,51010,81500,40250,137200,12430,,19400,28270,9810
11/01/2022,35390,31110,13260,14570,56230,65870,40210,140250,12720,,19140,31010,10080
12/01/2022,35390,30810,13300,14570,54940,88820,39820,140250,12760,,19140,31010,10080
13/01/2022,35390,32180,13300,14570,54940,88230,40630,136150,12840,,19140,31130,10160
14/01/2022,35390,30810,13300,14570,53140,86390,40500,140250,12720,,19140,31010,10160
15/01/2022,35830,30980,13300,14570,48970,79510,40630,140250,12720,,18860,30680,10090
16/01/2022,36910,31510,13300,14670,51700,75970,40250,131200,12520,,19020,29410,10110
17/01/2022,37550,31530,13300,14570,51810,80940,40170,139520,13010,,19090,31340,10440
18/01/2022,35240,30300,13030,14070,46820,75480,39880,136370,12700,,19280,29730,10210
19/01/2022,37550,31530,13300,14570,51800,79650,39900,139520,13250,,19090,30550,10320
20/01/2022,34620,30930,13300,14570,51410,79150,39900,139520,13360,,17630,31260,10160
21/01/2022,36550,30680,13260,14500,49230,76930,39420,145160,13230,,19050,31990,9750
22/01/2022,35530,31100,13220,14570,51370,75100,40310,139520,13170,,18900,31230,10160
23/01/2022,33050,29490,13030,14180,47700,66410,39850,136650,12960,,18910,29860,10200
24/01/2022,37080,31750,13220,14570,49900,74710,39900,139520,13200,,17990,30970,10160
25/01/2022,36990,32110,13220,14570,49900,73730,39900,139520,13200,,16090,31580,10160
26/01/2022,38000,32200,13260,14500,46470,75290,39420,145160,13230,,15790,32060,9840
27/01/2022,36560,31960,12910,14430,49650,73730,39900,139520,13170,,16090,30910,10160
28/01/2022,35880,32290,13300,14570,47650,73440,39030,139520,13170,,15940,30940,10160
29/01/2022,37560,32420,13210,14500,43710,74950,38570,145160,13200,,15670,31820,9930
30/01/2022,33950,30280,12390,13910,39010,67750,38870,137200,13050,,15030,28230,9600
31/01/2022,36380,32530,12910,14430,44780,69560,40570,140250,13350,,15270,29980,9860
01/02/2022,37560,32050,13210,14500,45420,70680,39260,146040,13110,,15490,31570,10020
02/02/2022,36710,32500,12870,14350,46830,69840,40040,140250,13230,,15270,30170,9620
03/02/2022,37240,32420,13210,14410,47140,70050,39260,146040,13110,,15490,31570,10020
04/02/2022,33660,29740,12900,13820,40570,64790,38870,137200,12830,,14860,28140,9990
05/02/2022,33660,29960,12900,13910,40570,64790,39200,137200,12760,,15150,28230,9690
06/02/2022,35800,32170,13210,14670,45930,67980,39680,140290,13460,,15620,30020,10230
07/02/2022,36470,31930,12870,14350,44470,65680,39670,140250,13280,,14600,29760,10120
08/02/2022,36810,31930,12870,14350,44800,65160,39670,140250,13340,,14600,29520,10120
09/02/2022,36810,31930,12750,14350,44800,65670,39670,140250,13340,,14600,29520,10120
10/02/2022,36310,32110,12870,14350,46680,67200,39990,140250,13340,,14510,29430,10120
11/02/2022,35100,32040,12870,14350,47620,72500,39700,140250,13260,,14510,29390,10120
12/02/2022,36030,31710,13210,14410,49030,75470,38880,146040,13140,,14600,30620,10320
13/02/2022,35100,32040,12630,14350,47620,73080,39700,140250,13260,,14510,29390,10120
14/02/2022,35850,32560,12870,14350,52620,69870,39700,140250,13260,,15120,28500,10060
15/02/2022,35580,31700,12870,14350,53400,71010,40040,140250,13260,,15030,28310,10060
16/02/2022,35100,32000,12870,14350,52970,71530,40040,140250,13260,,15030,28220,10060
17/02/2022,32610,28990,12550,13970,50050,67650,39880,137200,12850,,15030,25710,10580
18/02/2022,34960,31270,13100,14480,50990,69820,39700,140250,13180,,15810,27230,10060
19/02/2022,35440,31270,13100,14480,50990,70070,39700,140250,13180,,15810,27230,10640
20/02/2022,34960,31270,13100,14480,50990,70070,39700,140250,13180,,15810,27480,10060
21/02/2022,35260,30320,13120,14570,53100,68540,39050,146040,13040,,16690,27760,10180
22/02/2022,33480,30270,13100,14480,52450,68020,38290,140250,13180,,15620,27020,10000
23/02/2022,34060,30130,13100,14480,55800,67940,39850,140250,13130,,15620,26000,10000
24/02/2022,31950,28180,12810,13970,52250,66820,39830,137200,12700,,14650,24740,9840
25/02/2022,34090,30130,12790,14330,55550,69820,39700,139520,13130,,15620,26000,10000
26/02/2022,31480,28180,12810,13970,52280,59620,39490,136370,12700,,14480,24770,9840
27/02/2022,35060,30660,13180,14480,57680,71170,39870,139520,13130,,15330,25980,10060
28/02/2022,34360,30770,13210,14660,58900,73850,39850,139440,13330,,15560,25480,10160
01/03/2022,34140,30130,12870,14560,58580,74060,40490,139520,13210,,15470,26020,9930
02/03/2022,31530,28350,12990,14060,54540,70440,40410,136370,12690,,14480,24410,9770
03/03/2022,31530,28350,12990,14060,55760,71840,40410,136370,12850,,14380,24250,9770
04/03/2022,34580,29690,13260,14480,62140,78430,40330,139520,13260,,15580,25560,10060
05/03/2022,34140,28980,13260,14480,64620,79620,40330,139520,13260,,15580,25650,10060
06/03/2022,34140,29130,13260,14480,64990,79620,40330,139520,13260,,15580,25240,10060
07/03/2022,33860,29240,12940,14480,64740,79160,39870,139520,13260,,15580,25230,10060
08/03/2022,31230,27380,12990,13970,61860,76140,39690,136370,12850,,14600,24130,9910
09/03/2022,31470,27650,12990,13970,62040,77480,40070,136370,12850,,14000,24220,9910
10/03/2022,34820,29930,13300,14570,69630,83250,37650,145160,13140,,15320,26320,10250
11/03/2022,34710,29830,12940,14480,66220,80690,40200,139520,13260,,15210,25310,10060
