Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,22720,25750,10340,11470,39510,54080,34240,128670,13150,,18690,30270,8340
02/01/2022,23610,25310,10240,11530,36090,59010,33860,127890,13290,,18710,29290,8270
03/01/2022,23000,25180,10290,11480,35970,58900,33140,125850,13200,,18630,29250,8180
04/01/2022,22930,24710,10190,11500,31950,54580,33330,124480,13270,,18630,28890,8420
05/01/2022,23670,24780,10220,11530,29800,54000,32920,124920,13350,,18620,28610,8350
06/01/2022,22970,24600,10350,11530,28930,56490,32550,124920,13280,,18650,28630,8230
07/01/2022,23770,24810,10300,11560,28310,56940,32370,125660,13360,,18640,28720,8120
08/01/2022,23540,24020,10350,11710,28630,56090,32560,125380,13150,,18840,28470,8450
09/01/2022,23430,25140,10400,11700,27950,58220,32800,126380,13300,,18750,28180,8320
10/01/2022,23420,24900,10390,11500,26090,56780,32980,125550,13130,,19050,27600,8170
11/01/2022,23140,24830,10210,11590,25620,59760,33030,124500,13220,,18880,26970,7990
12/01/2022,23360,25100,10160,11550,25860,56100,33100,126270,13200,,19050,26670,8040
13/01/2022,23270,25060,10330,11640,25080,54100,33150,125510,13220,,18910,26210,8150
14/01/2022,23210,25000,10290,11670,24770,52570,33430,126130,13410,,18840,25850,8200
15/01/2022,23000,24630,10330,11780,23950,53480,34090,125210,13480,,19010,25610,8310
16/01/2022,22690,24830,10370,11690,23160,54850,33800,125860,13330,,18840,25220,8180
17/01/2022,22220,24500,10380,11710,24190,53360,33310,124070,13130,,18470,25310,8240
18/01/2022,23230,24960,10440,11860,24510,54360,34560,125500,13370,,19020,25480,8210
19/01/2022,22590,24070,10580,11860,24580,54660,33950,125460,13470,,18630,24460,8380
20/01/2022,22730,24010,10700,12000,25430,54100,33900,125460,13420,,17760,24310,8300
21/01/2022,22650,24180,10690,12000,25660,55010,34600,126330,13530,,18150,24510,8170
22/01/2022,22700,24180,10750,11970,25340,51630,33990,125150,13550,,18560,24360,8360
23/01/2022,23210,24230,10620,11970,26370,48310,33880,125460,13510,,18390,24060,8400
24/01/2022,23310,23960,10650,11880,28170,47680,34210,125150,13480,,18660,23770,8330
25/01/2022,22870,24260,10660,11980,28590,48810,33960,126330,13360,,18440,23910,8350
26/01/2022,23570,24290,10600,11880,29440,47180,33640,125460,13510,,18360,23780,8440
27/01/2022,24040,24560,10580,11990,28070,45550,33610,125860,13610,,17850,23200,8440
28/01/2022,23540,24610,10560,11910,28370,45650,33410,125460,13680,,18280,22810,8470
29/01/2022,23760,25100,10430,11860,28960,43740,33940,124840,13870,,18330,22650,8400
30/01/2022,23610,24520,10570,11910,28500,43200,32740,125460,13750,,18360,22500,8470
31/01/2022,23810,24580,10570,11910,28070,43690,32670,125460,13940,,18360,22210,8440
01/02/2022,23550,24380,10570,11870,27070,42070,32530,125460,13940,,18200,22040,8440
02/02/2022,23780,24230,10570,11910,26020,41890,32650,125790,13940,,18010,22100,8440
03/02/2022,24180,24220,10510,11800,23630,41860,31910,124840,13780,,18290,21520,8440
04/02/2022,25440,24510,10530,11880,23640,40980,32320,126580,13860,,18240,21640,8410
05/02/2022,26200,24970,10490,11810,25480,41520,32780,126580,13930,,18280,21600,8340
06/02/2022,25830,24630,10520,11820,24620,40860,32430,126130,13940,,17760,21210,8410
07/02/2022,25670,24450,10460,11810,25090,40250,32720,125200,14050,,17820,21150,8410
08/02/2022,26390,24520,10550,11820,26980,42330,32240,126130,13940,,17870,21080,8420
09/02/2022,26890,24450,10530,11750,27570,41840,32350,126330,13850,,17640,20690,8370
10/02/2022,27370,24480,10490,11810,28100,40250,31280,126580,13830,,17710,20840,8490
11/02/2022,26900,25070,10560,11880,29860,41760,31380,126710,13860,,17470,20990,8450
12/02/2022,27570,25180,10520,11820,30390,41890,31780,126130,13870,,18060,21120,8420
13/02/2022,29030,25230,10510,11830,31330,42820,31830,126130,14040,,18140,20650,8440
14/02/2022,29650,25490,10520,11770,31020,43230,31990,126130,14040,,18180,20650,8480
15/02/2022,29610,25480,10500,11790,31180,42840,31730,126130,14040,,18390,20650,8480
16/02/2022,29870,25340,10490,11780,30960,43480,31730,126130,14140,,19080,20820,8440
17/02/2022,29950,25420,10480,11780,30690,44450,31790,126130,14170,,19670,20720,8480
18/02/2022,30420,25150,10490,11790,30180,43980,31650,126130,14140,,19670,20590,8480
19/02/2022,30720,25480,10480,11710,29800,43980,31510,126130,14240,,20250,20530,8480
20/02/2022,29890,25510,10340,11660,28310,42760,31090,127310,14330,,21280,20840,8550
21/02/2022,29280,25350,10290,11660,27650,42550,31230,126950,14240,,20720,21000,8510
22/02/2022,29650,25530,10380,11690,27810,41540,31640,125920,14230,,20350,21070,8550
23/02/2022,30880,25210,10430,11740,27370,41430,31020,127490,14360,,21650,21310,8590
24/02/2022,31010,24980,10330,11650,27080,40520,30050,126810,14240,,21010,21540,8510
25/02/2022,31800,24700,10320,11630,29300,42110,31240,126580,14260,,21460,21290,8510
26/02/2022,32340,25220,10330,11690,29800,43050,31670,127810,14280,,21140,21400,8510
27/02/2022,32130,25180,10310,11670,30450,42590,31520,129130,14280,,20490,21540,8510
28/02/2022,31170,25130,10230,11570,30720,43240,31420,128260,14030,,20100,21780,8510
01/03/2022,31810,25070,10310,11720,31140,43490,31800,129790,14030,,20890,21700,8480
02/03/2022,33230,25810,10330,11680,32610,43770,31640,129160,14180,,20720,22000,8540
03/03/2022,32660,25740,10400,11680,33150,44310,31650,130910,14220,,21090,22070,8540
04/03/2022,33430,25670,10280,11650,35690,45000,31880,132010,14180,,21100,22000,8510
05/03/2022,32860,25170,10380,11750,36370,46850,32230,131890,14250,,21050,22920,8620
06/03/2022,32550,25060,10290,11640,35370,45790,32050,131600,14230,,20980,21930,8580
07/03/2022,33010,25470,10330,11630,35470,46670,31880,130830,14220,,21020,22250,8540
08/03/2022,32920,25720,10270,11630,35620,46750,31880,130810,14220,,20780,22520,8550
09/03/2022,33530,26510,10300,11630,36160,46320,31880,131840,14200,,20980,22830,8540
10/03/2022,33790,26100,10310,11610,36450,47830,32680,130630,14270,,20930,22730,8550
11/03/2022,34180,26380,10260,11600,37470,46970,32120,131290,14090,,20930,23490,8620
12/03/2022,33980,26380,10320,11610,38830,47890,32130,131450,14090,,20530,23540,8540
13/03/2022,32800,26460,10310,11650,37870,46960,31890,131800,14140,,20270,23570,8620
14/03/2022,31820,26690,10330,11630,38400,46570,32100,131190,14120,,20360,23910,8540
15/03/2022,31010,27180,10340,11630,39580,46720,32120,131890,14090,,20090,24110,8500
16/03/2022,31270,27530,10310,11690,39460,47500,32490,132200,14030,,19810,24130,8440
17/03/2022,31590,27260,10290,11570,39880,46170,32050,130950,14030,,20660,23980,8500
18/03/2022,29970,26950,10270,11610,39800,47450,31080,131770,14070,,21830,23710,8580
19/03/2022,29990,27240,10280,11610,40020,45940,32290,131640,14130,,21560,24020,8470
20/03/2022,29480,27090,10280,11530,39840,46820,32050,130590,14130,,21690,23580,8500
21/03/2022,30490,28010,10270,11610,39090,48100,33050,129350,14020,,22120,23640,8470
22/03/2022,30160,28060,10270,11540,41290,46900,32380,130640,14180,,22770,23860,8440
23/03/2022,29930,27620,10370,11690,41120,46580,32610,131200,14220,,23800,23940,8570
24/03/2022,29720,27880,10330,11670,40950,47620,32070,131640,14160,,24070,23940,8650
25/03/2022,30300,28170,10370,11680,40190,45670,32460,131200,14220,,23860,24150,8600
26/03/2022,29860,28170,10370,11680,39440,45220,32260,131880,14120,,23860,24680,8630
27/03/2022,29620,28170,10340,11650,37450,44150,32540,131880,14150,,23740,24350,8630
28/03/2022,29560,28290,10340,11650,36890,44620,32890,131680,14150,,23730,24350,8570
29/03/2022,29440,28310,10360,11700,36410,45670,33050,132040,14200,,23960,24410,8610
30/03/2022,29300,27970,10410,11650,37070,45340,32890,132510,14220,,24150,24520,8660
31/03/2022,28770,27720,10310,11580,35460,44910,33160,135550,14140,,24020,24370,8800
01/04/2022,28810,28040,10270,11610,34880,45050,33760,138780,14320,,24280,24790,8840
02/04/2022,28900,28390,10270,11610,34560,44910,34330,139150,14390,,24280,24920,8930
03/04/2022,29230,28110,10260,11610,35060,45000,33950,137780,14360,,24190,24600,8930
04/04/2022,29920,28420,10320,11670,36400,43880,33670,137000,14380,,24520,24710,8830
05/04/2022,29510,27960,10270,11590,36390,43610,33740,134840,14390,,24550,24730,8900
06/04/2022,29610,28030,10210,11550,36740,44580,33170,134490,14310,,24410,24780,8970
07/04/2022,30320,28140,10270,11570,35840,44380,33580,133850,14390,,24520,24790,8930
08/04/2022,30090,28010,10330,11650,35100,43450,33390,135040,14320,,24450,24730,8900
09/04/2022,30000,27590,10220,11550,34680,42720,33440,135040,14320,,24390,24790,8970
10/04/2022,30580,27390,10230,11550,33420,41970,33260,134710,14290,,24260,24790,9010
11/04/2022,30080,27980,10230,11580,30940,39650,33170,134710,14360,,24270,24720,9010
12/04/2022,30230,27650,10190,11540,31220,38890,33510,135040,14290,,24390,24480,9010
13/04/2022,30410,27710,10050,11510,31210,38380,33360,135040,14150,,24270,24540,9010
14/04/2022,29840,27640,10050,11510,30830,38110,33570,135040,14290,,23410,24410,9010
15/04/2022,29130,27760,10050,11480,29510,37830,33640,134670,14290,,24350,24320,9010
16/04/2022,28860,27660,10050,11480,29070,37020,33310,136010,14290,,23870,24320,9070
17/04/2022,29170,27660,10020,11540,29130,37340,33850,135640,14290,,23740,24390,9100
18/04/2022,29360,27070,10010,11440,29070,38180,33160,135640,14290,,23740,24460,9040
