Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,41560,41320,12790,14190,65950,111340,43870,119720,14790,,19320,35680,9690
02/01/2022,41300,40190,12740,14160,67380,107240,43200,125300,14830,,19890,35560,9740
03/01/2022,41640,39950,12710,13990,69940,100370,44430,119790,15140,,20550,34670,9780
04/01/2022,43990,41630,12640,13990,75210,97480,46300,124400,15280,,19100,34310,9780
05/01/2022,43160,40720,12780,14140,69260,88180,43940,119790,15140,,20550,34590,9780
06/01/2022,44400,41630,12780,14140,68620,85610,43040,119790,14290,,20550,35860,9780
07/01/2022,45180,42850,12830,14160,66350,79660,44430,126660,14170,,20170,35970,9740
08/01/2022,45570,42260,12640,13990,68990,81350,44930,119830,14290,,19530,34970,9780
09/01/2022,46570,43610,12660,13990,68830,80000,45800,125300,14990,,19000,35620,9740
10/01/2022,44530,41710,12740,14160,62680,77760,42810,119790,14830,,19980,35530,9740
11/01/2022,47260,43290,12920,14160,63700,75630,42810,126660,14660,,21110,39370,9830
12/01/2022,45840,41890,12810,14120,62780,83480,43920,119830,15110,,20910,35580,9810
13/01/2022,47230,43360,12720,13990,65980,86150,46500,119830,15210,,21120,34540,10030
14/01/2022,45910,42440,12740,13990,65190,86840,46340,123760,15290,,21080,34290,10030
15/01/2022,47080,42440,12640,13890,61860,83260,46340,119860,15290,,21080,34710,10210
16/01/2022,46450,41880,12640,13890,61860,84380,45090,125310,15290,,20160,34480,10210
17/01/2022,46450,41960,12640,13890,61880,83020,46340,121610,15290,,21080,34450,10210
18/01/2022,45970,42460,12640,13890,63570,81550,46340,126220,15290,,21080,34450,10210
19/01/2022,45970,42460,12580,13890,58770,76700,46340,121940,15290,,19890,34320,10210
20/01/2022,46560,42190,12640,13890,62520,79010,46340,121610,15290,,21080,33970,10210
21/01/2022,46340,41510,12550,13860,60820,71170,45070,125310,15110,,20000,34580,10030
22/01/2022,46730,41890,12600,13770,62520,75430,46080,121940,15320,,21890,33570,10230
23/01/2022,45840,41040,12560,13840,63260,70590,47810,121940,15270,,20470,33380,10300
24/01/2022,46410,41890,12600,13880,59830,69440,45600,121610,15210,,20500,33930,10030
25/01/2022,46210,41690,12640,13890,61140,71120,46460,126220,15290,,21080,33510,10210
26/01/2022,45730,41690,12640,13890,66290,68290,46660,121610,15290,,21080,33510,10210
27/01/2022,45730,42250,12640,13890,52650,68290,46660,121610,15290,,21080,33510,10210
28/01/2022,44890,42090,12600,13880,65680,70700,47740,124550,15320,,21140,33330,10350
29/01/2022,46760,42760,12640,13890,66290,68290,46660,121610,15290,,21080,33510,10210
30/01/2022,46760,42250,12640,13890,66290,68290,46660,125310,15290,,21080,33410,10210
31/01/2022,46270,42250,12640,13890,66610,70650,46660,121610,15290,,21080,32740,10210
01/02/2022,46020,41960,12600,13880,65870,72890,46620,125310,15210,,21150,32760,10290
02/02/2022,47170,42510,12600,13880,64460,64510,45820,121610,15210,,20970,32110,10090
03/02/2022,46560,41180,12660,13880,65030,68650,46910,122430,15320,,21340,31880,10290
04/02/2022,47450,43260,12530,13890,63020,71430,46760,125310,15290,,21500,31510,10260
05/02/2022,47170,43070,12600,13880,64970,75660,46300,121610,15210,,21150,31320,10290
06/02/2022,46400,42760,12640,13890,64460,75600,46660,125310,15290,,21500,32540,10260
07/02/2022,46950,42760,12640,13890,64460,76120,46660,121610,15290,,21500,31420,10260
08/02/2022,46950,42760,12640,13890,64460,76120,46760,125310,15290,,21500,31420,10260
09/02/2022,47450,43720,12640,13890,65330,75230,46760,121610,15290,,21500,31420,10260
10/02/2022,47730,44810,12600,13880,67300,77140,47850,120000,15320,,21620,31420,10410
11/02/2022,48360,44150,12600,13880,62040,70370,45920,125310,15210,,20970,31130,10090
12/02/2022,47730,44150,12720,13880,64830,77140,46620,121940,15320,,21450,31500,10290
13/02/2022,47170,42510,12720,13990,61530,74720,46960,126220,15210,,21450,31770,10090
14/02/2022,47450,42250,12640,13890,64980,76890,46760,121610,15290,,21600,31050,10260
15/02/2022,47450,42250,12640,13890,64840,76890,46760,125310,15390,,21080,30080,10260
16/02/2022,47730,43070,12660,13880,68910,77700,47580,121940,15320,,21450,30500,10400
17/02/2022,46940,41680,12600,13880,70820,72890,45920,121610,15210,,20500,29850,10090
18/02/2022,47240,42510,12640,13890,71230,80630,46760,125310,15290,,21080,29870,10360
19/02/2022,47240,42060,12640,13890,71230,78340,46760,121610,15290,,21080,29870,10360
20/02/2022,47500,42860,12660,13880,74010,73580,47580,126220,15320,,21450,30270,10290
21/02/2022,47820,42210,12620,13860,74710,78090,48470,121940,15360,,21640,30570,10450
22/02/2022,47240,42060,12640,13890,74100,63230,44010,125310,15180,,21600,29980,10360
23/02/2022,47240,42560,12640,13890,73200,81440,46760,121610,15180,,21600,29980,10360
24/02/2022,47450,42760,12640,13890,76000,83080,46760,121610,15290,,21600,30190,10360
25/02/2022,47450,42760,12640,13890,76300,82580,46760,125310,15290,,21600,28540,10360
26/02/2022,47450,42210,12680,13860,80660,87560,46220,121940,15240,,21040,30640,10450
27/02/2022,47450,42250,12640,13890,77200,79720,46760,125310,15290,,21600,30190,10360
28/02/2022,47740,42530,12640,13890,76390,80540,46760,121610,15290,,21600,30090,10360
01/03/2022,48250,42530,12640,13890,78860,79310,46760,125310,15290,,21600,29770,10360
02/03/2022,49260,42820,12600,13880,81050,78210,45920,123240,15210,,21070,30100,10190
03/03/2022,48250,42530,12640,13890,80810,81630,46760,123240,15290,,21780,30090,10360
04/03/2022,48250,43030,12640,13890,79960,80340,46760,126040,15290,,21780,30090,10360
05/03/2022,48040,45260,12560,13840,86080,84640,46270,122940,15130,,20310,30500,10250
06/03/2022,47180,41960,12640,13890,77650,80860,46760,126040,15290,,21600,30200,10360
07/03/2022,49480,42820,12600,13880,79740,82660,45920,122440,15210,,21070,30470,10190
08/03/2022,49480,43380,12600,13880,76900,82660,45920,125310,15210,,21070,30470,10190
09/03/2022,48270,42320,12600,13880,74470,90460,46960,121610,15550,,21250,28790,10400
10/03/2022,49480,43380,12600,13880,77210,86470,45920,121610,15210,,21070,30470,10190
11/03/2022,48440,43540,12640,13890,76790,85800,46760,125310,15290,,22230,30420,10360
12/03/2022,48950,44000,12640,13890,75890,89350,46760,121610,15290,,22420,30710,10360
13/03/2022,50060,45060,12600,13880,72430,86470,45920,125310,15320,,21960,30470,10190
14/03/2022,48450,43470,12680,13990,74900,89580,46590,121940,15240,,21360,30680,10220
15/03/2022,49840,43640,12600,13880,74340,84950,45920,125310,15320,,21960,30790,10220
16/03/2022,49090,45460,12550,13860,75650,92860,47590,120000,15360,,21670,30300,10590
17/03/2022,50200,44290,12600,13880,73510,80430,45920,121610,15320,,21960,28980,10190
18/03/2022,49070,43840,12640,13890,69940,82920,46760,125310,15490,,22610,30280,10360
19/03/2022,49070,44360,12640,13890,71650,85120,46760,121610,15390,,22610,29960,10360
20/03/2022,50200,44290,12600,13880,71200,84300,45920,123760,15320,,22080,30790,10190
21/03/2022,48840,42920,12730,13860,69520,86810,48470,121940,15360,,22530,30680,10450
22/03/2022,47680,43150,12640,13890,69490,88940,46760,125310,15590,,22590,29830,10360
23/03/2022,49070,44130,12640,13890,69490,88940,46760,121610,15590,,23220,29830,10460
24/03/2022,48140,44130,12640,13980,70960,85380,46980,121610,15690,,23280,30090,10460
25/03/2022,49030,45150,12550,13860,71860,82500,45710,125310,15610,,22800,31020,10220
26/03/2022,47940,44030,12600,13880,71060,86000,46660,121610,15650,,23330,30100,10510
27/03/2022,47940,44030,12600,13980,72130,86000,46660,125310,15650,,23330,30290,10510
28/03/2022,48140,44650,12640,13890,70700,83930,46980,121610,15690,,23490,30260,10460
29/03/2022,49680,45820,12550,13860,69590,82560,44300,125310,15610,,22800,31020,10340
30/03/2022,48140,44650,12640,13980,68100,83930,46980,121610,15690,,23490,30260,10460
31/03/2022,47940,45140,12600,13980,71570,86980,43610,121610,15650,,23430,30400,10750
01/04/2022,48140,44650,12640,13900,69390,86260,47220,125310,15690,,23770,30470,10670
02/04/2022,49720,45730,12660,13880,72720,84130,46430,121380,15650,,23430,31020,10530
03/04/2022,48650,45120,12410,13890,70320,87170,47420,121380,15690,,23850,30470,10670
04/04/2022,48650,45120,12540,13790,70890,89920,47220,121380,15690,,24700,30360,10670
05/04/2022,47880,45120,12640,13890,65600,88330,47320,124640,15690,,26340,30360,10670
06/04/2022,47880,45120,12640,13890,68760,87260,47220,121380,15690,,25990,30360,10670
07/04/2022,47430,45140,12660,13980,69190,86530,46930,121380,15650,,26100,30520,10750
08/04/2022,47680,45660,12690,13990,70300,86340,47320,125640,15690,,26360,30040,10770
09/04/2022,48060,46330,12660,13980,71490,81200,46540,121380,15760,,24790,31020,10650
10/04/2022,46330,45200,12770,14100,69860,87880,46090,126470,15650,,24920,30380,10860
11/04/2022,46690,45120,12690,13990,67560,85020,47220,124080,15690,,25320,30900,10770
12/04/2022,46690,44650,12690,13990,69870,81120,47220,128090,15690,,24420,30520,10770
13/04/2022,47180,44650,12690,13990,69360,78050,47220,124080,15690,,24420,30520,10880
14/04/2022,47180,44650,12690,13990,69360,73770,46780,124080,15690,,24420,30720,10880
15/04/2022,47180,44650,12590,13880,67060,72440,46780,128090,15690,,24420,30720,10880
16/04/2022,46690,44650,12690,13990,67060,71860,46780,124080,15780,,23430,30560,10880
17/04/2022,48060,45200,12660,13980,67300,70090,46540,128090,15650,,23240,31240,10760
18/04/2022,47180,44650,12690,13990,65850,71790,46870,124080,15690,,23170,30610,10880
19/04/2022,47180,45120,12690,13990,65160,74240,46870,128090,15690,,23170,30990,10880
20/04/2022,47180,45120,12690,13990,60240,72900,46870,125400,15690,,23170,31210,10880
21/04/2022,47780,45030,12690,13990,60240,73100,46870,125400,15900,18370,26640,31320,10880
