Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,36000,35290,11900,14270,74100,110890,43070,103230,15060,,19550,34430,11260
02/01/2022,37210,36680,12230,14330,69850,108780,44750,101110,15180,,19700,33840,10890
03/01/2022,39900,38390,12690,14590,72110,106850,46490,98300,15480,,20190,36000,10870
04/01/2022,36080,35910,12410,14440,73910,117430,46680,107110,15140,,20720,34810,10800
05/01/2022,36440,36090,12360,14390,71520,115410,46500,106920,15140,,20750,34490,10800
06/01/2022,36020,35630,12140,14320,70520,114540,45050,106920,15160,,20440,34850,10900
07/01/2022,37360,37550,12510,14440,66830,79300,43460,104460,15250,,20390,35500,11230
08/01/2022,36100,35840,11990,14160,66680,107080,44950,106920,15110,,20800,34510,10800
09/01/2022,35700,35340,11910,13990,64690,98980,43140,102830,15000,,20660,34130,10890
10/01/2022,36540,35530,12150,14250,65810,105490,44960,106920,15100,,20710,34640,11000
11/01/2022,36590,35590,12110,14160,62630,94580,41840,102830,14980,,20680,35420,11120
12/01/2022,35990,35030,12100,14270,65350,104170,45360,106920,15100,,20720,34520,11000
13/01/2022,34360,33790,11930,14220,58140,97370,45840,109480,15010,,20680,34320,11130
14/01/2022,35530,35040,12120,14310,60810,96610,46150,106920,15340,,20970,34460,10910
15/01/2022,35570,34520,12010,14310,56420,88050,44950,106920,15190,,21040,35160,11230
16/01/2022,36810,35730,12240,14310,58510,89320,43880,101110,15280,,20950,35120,11230
17/01/2022,37760,36900,12140,14220,57810,91820,44460,101110,15450,,21090,35630,11150
18/01/2022,36560,35880,11970,14010,59570,85100,45760,106770,15410,,21420,36420,11020
19/01/2022,36860,35630,11970,13990,61060,89050,47130,109810,15370,,21080,36000,10820
20/01/2022,36150,35670,12050,14260,61560,84890,45970,106770,15350,,21970,36010,11020
21/01/2022,36050,35260,12000,14210,60710,87150,47530,112500,15410,,21590,36460,10910
22/01/2022,36810,35870,11970,14100,61920,88160,47580,109810,15370,,21840,36600,10920
23/01/2022,37310,36680,12240,14250,56180,80110,44970,101110,15510,,21600,34730,11140
24/01/2022,37790,36820,12090,14380,60300,93590,47470,110640,15510,,21680,35500,10920
25/01/2022,37570,36990,11970,14320,56440,80880,46660,107120,15410,,21750,36140,10900
26/01/2022,37790,36670,12090,14200,59380,87660,48080,110550,15470,,21870,35540,11100
27/01/2022,38010,36650,11970,14290,48830,88700,48080,110550,15270,,21810,36040,10920
28/01/2022,38010,36730,12090,14380,60210,90750,48830,110550,15470,,21810,35540,10920
29/01/2022,37740,37660,11700,14330,58410,82640,48430,110390,15390,,21820,37180,11100
30/01/2022,37580,36510,12240,14250,51940,71320,46030,102830,15740,,21860,34970,11290
31/01/2022,37960,36970,12120,14310,54980,74760,48260,106320,15630,,21850,34850,11230
01/02/2022,37210,36930,11970,14230,53770,74100,47540,107600,15440,,21990,35490,11120
02/02/2022,37800,36340,11930,14380,55490,74630,49060,110550,15600,,21990,34500,11170
03/02/2022,37350,35610,11930,14380,55870,77230,49060,110550,15600,,22680,34820,11190
04/02/2022,36550,35320,11820,14410,55140,73400,49770,113370,15560,,22520,35320,11210
05/02/2022,37270,35670,11930,14380,52920,74300,49190,110550,15600,,22680,33920,11190
06/02/2022,38090,36290,11860,14330,52940,70820,48530,107600,15690,,22720,34280,11310
07/02/2022,37270,35900,11930,14380,53220,77120,49810,110550,15630,,22650,33760,11190
08/02/2022,37270,35900,11930,14380,53220,76250,49810,110550,15630,,22300,33930,11190
09/02/2022,37270,35900,11930,14380,53670,75170,49810,110550,15630,,22300,33930,11190
10/02/2022,38090,36550,11920,14320,51470,71530,48500,107600,15690,,22340,34460,11310
11/02/2022,37270,35900,11930,14380,52330,72330,49810,110550,15630,,22300,33820,11190
12/02/2022,36740,35380,11860,14370,51620,72560,49790,110550,15590,,22020,32570,10940
13/02/2022,37890,36180,12180,14250,47260,69240,46950,102830,15770,,22260,32720,11470
14/02/2022,36090,34100,12160,14320,50590,73150,48500,106920,15690,,22230,32330,11310
15/02/2022,37590,35510,12160,14320,39820,72880,48500,106920,15690,,21970,32590,11310
16/02/2022,37590,35510,12160,14320,50350,70900,48500,106920,15690,,21970,32110,11310
17/02/2022,37950,35770,11930,14470,54660,75130,48790,110550,15630,,21760,33140,11290
18/02/2022,36990,35230,11620,14470,58990,78200,48930,113370,15550,,21450,32140,11350
19/02/2022,36910,35180,11890,14470,61850,83180,48800,113370,15490,,20780,31280,11060
20/02/2022,38430,36110,11860,14440,61150,79740,48460,110550,15590,,21490,32570,11310
21/02/2022,39080,36600,11730,14430,63270,82300,48860,110640,15550,,21980,33540,11350
22/02/2022,38510,36060,11730,14430,67690,87260,48690,110640,15550,,21830,32910,11230
23/02/2022,38100,36010,11930,14470,60890,82340,48650,110550,15630,,21430,32380,11190
24/02/2022,38100,36010,11930,14470,63550,82990,48460,110550,15580,,21430,32260,11190
25/02/2022,37990,35630,11930,14470,63400,82940,48650,110550,15580,,21430,32320,11190
26/02/2022,37260,35500,11850,14410,60790,82470,46970,107600,15600,,20950,32620,11050
27/02/2022,38570,36670,12210,14280,57450,73120,46860,101110,15870,,22460,32630,11530
28/02/2022,38340,35950,12160,14320,49820,82820,47730,106920,15640,,21260,30940,11310
01/03/2022,39690,37090,12040,14100,60900,81590,48950,110550,15670,,20790,32530,11190
02/03/2022,39830,37090,12040,14100,63140,84410,48810,110550,15670,,20790,32860,11190
03/03/2022,39780,36640,12040,14100,62850,87700,49030,110550,15670,,20790,32860,11190
04/03/2022,40040,36890,11930,14290,62770,85780,48330,110550,15580,,20360,33020,11290
05/03/2022,39950,36270,11820,14310,62820,89160,48880,117970,15540,,19970,32510,11310
06/03/2022,40470,36750,11870,14290,59950,88580,48270,110550,15580,,20360,32770,11290
07/03/2022,40560,36060,11870,14290,60190,88190,48330,110550,15580,,20360,32770,11290
08/03/2022,40470,36710,11870,14300,60080,88190,48330,110550,15580,,20360,32770,11290
09/03/2022,40470,36710,11870,14460,61070,88190,48330,110550,15630,,20390,32770,11290
10/03/2022,39610,36420,12000,14490,55670,78940,45700,104880,15680,,20720,31050,11530
11/03/2022,40350,35640,12100,14500,58780,83710,46990,106920,15640,,21230,31630,11310
12/03/2022,39920,36460,12040,14250,57830,80740,46170,109170,15710,,21330,33150,11390
13/03/2022,41750,36300,11810,14340,59290,88040,48240,110550,15640,,21030,31680,10940
14/03/2022,41860,37100,11870,14360,62040,83450,48400,110550,15670,,21390,32250,11190
15/03/2022,42040,36820,11870,14360,60360,83530,48400,112060,15670,,21170,32250,11190
16/03/2022,41110,37020,11810,14450,60870,86020,47910,112060,15640,,21160,31560,10940
17/03/2022,41420,37500,11870,14430,61910,84570,46960,113250,15580,,21510,32250,11190
18/03/2022,41700,38050,11870,14430,61530,85130,46960,113250,15580,,21860,32470,11190
19/03/2022,41470,37240,11880,14360,63060,87320,47670,116620,15540,,22850,31670,11210
20/03/2022,42850,38090,11990,14330,64460,84060,47260,113250,15570,,23190,32600,11190
21/03/2022,40910,37680,12650,14640,64480,83130,47060,114080,15330,,22320,30380,11470
22/03/2022,42990,38220,12130,14350,64280,84810,47600,112060,15670,,23460,31830,11550
23/03/2022,42990,38440,11950,14460,63290,83900,47570,111320,15670,,23460,32160,11550
24/03/2022,42410,37770,12040,14390,61910,82620,46840,111320,15670,,24220,32300,11640
25/03/2022,43310,38320,12040,14460,61950,81330,47060,113460,15720,,24220,32180,11450
26/03/2022,43660,37820,12050,14410,60880,75120,46330,110920,15690,,24180,32350,11820
27/03/2022,43350,38400,12270,14410,61490,75920,46330,110920,15790,,24170,33000,11610
28/03/2022,43090,36950,12280,14590,64060,85160,47540,118320,15790,,25320,32030,11500
29/03/2022,43440,37640,12340,14550,61040,86950,47670,114670,15810,,24990,32250,11560
30/03/2022,43070,37410,12180,14510,60270,85930,47000,114670,15790,,24990,32600,11730
31/03/2022,43540,38280,12230,14560,64390,92330,47670,114670,15810,,25300,32810,11560
01/04/2022,43140,38030,12340,14560,62870,91510,47920,116960,15810,,25300,32120,11560
02/04/2022,43390,38680,12340,14560,65920,96080,48630,116460,15810,,25390,32160,11760
03/04/2022,43390,38290,12250,14640,67830,95930,48630,116460,15810,,25440,32580,11890
04/04/2022,43620,38620,12260,14650,65950,96830,48630,116460,15810,,25540,32500,11890
05/04/2022,43620,38620,12260,14650,67990,97760,48080,116460,15810,,25440,32500,11890
06/04/2022,43270,39380,12140,14550,65510,95760,47830,116460,15720,,25690,32040,11800
07/04/2022,43550,39140,12140,14550,68590,97670,47940,116460,15830,,25760,32030,11800
08/04/2022,44680,40280,12050,14390,68720,105530,48680,120370,15800,,26220,32320,11680
09/04/2022,43890,38570,12180,14520,70550,92310,46920,115160,15820,,25520,32520,11980
10/04/2022,43230,39240,12260,14650,72120,96440,47820,117170,15960,,25630,32040,11890
11/04/2022,43070,37770,12290,14650,73700,94510,47820,117170,15920,,25520,32040,11890
12/04/2022,42210,38870,12290,14650,73540,95840,47550,115720,15920,,25940,30770,11890
13/04/2022,40630,37900,12290,14460,70890,90900,47350,115720,16020,,26200,32000,11890
14/04/2022,40630,37780,12290,14460,71780,91860,47840,115720,16020,,26380,32030,11990
15/04/2022,40280,37400,12440,14610,67940,92550,47630,110220,16110,,26380,31430,12100
16/04/2022,40530,36970,12210,14310,65630,87250,45920,113500,16110,,26300,32510,12100
17/04/2022,40900,37910,12290,14650,67000,86720,47890,116960,16100,,25810,32070,11990
18/04/2022,40390,37200,12290,14650,66320,81390,48500,116960,16140,,26700,32390,12250
19/04/2022,40560,37140,12190,14420,63660,77480,46030,113500,16170,,26420,31780,12430
20/04/2022,39050,38490,12300,14560,64050,78600,47740,116960,16140,,26610,32000,12210
21/04/2022,41860,38410,12400,14560,61140,77350,47670,116960,16140,19130,27170,32320,12420
22/04/2022,41720,38260,12270,14570,59740,75150,46860,116960,16150,16730,27090,31850,12420
23/04/2022,41920,39020,12190,14530,55500,69510,46290,113500,16170,16730,26680,32310,12590
24/04/2022,41380,38400,12390,14630,58330,72600,47410,116960,16100,19130,27210,32480,12380
25/04/2022,41550,38630,12310,14490,54760,67770,45700,113500,16130,19130,26830,32780,12590
26/04/2022,41220,38400,12390,14440,58330,71400,47190,118420,16100,19750,27380,32710,12270
27/04/2022,41340,38250,12380,14430,59230,73480,46940,118420,16110,19750,27820,32480,12300
28/04/2022,41060,38410,12300,14410,58910,74490,47610,118420,16080,17550,27250,32940,12220
29/04/2022,41400,38400,12390,14440,59520,69880,47260,118420,16200,19750,27380,32900,12100
30/04/2022,41060,37970,12450,14590,58010,67420,47390,114530,16220,18710,27490,32990,12340
01/05/2022,41010,38780,12430,14440,58510,69620,48070,120470,16230,17550,27650,33350,12100
02/05/2022,41390,38760,12300,14440,61130,73160,48090,121090,16190,16730,27890,33440,12220
03/05/2022,41740,39190,12430,14460,60020,70000,47280,121090,16230,16730,27830,34350,12130
04/05/2022,41740,39190,12380,14460,59290,70850,47500,121090,16200,16730,27830,33350,12130
05/05/2022,41990,39190,12430,14460,60790,73190,47500,121090,16100,16730,27830,33340,12130
06/05/2022,41760,39110,12420,14460,63940,78240,45880,119590,16150,19130,26350,32960,12150
07/05/2022,41510,38890,12550,14630,63210,70180,46960,115460,16170,18710,28350,33070,12350
08/05/2022,42010,39280,12370,14320,59340,62710,46120,115160,16150,16730,27760,33090,12250
09/05/2022,41680,39030,12300,14300,56470,59540,46120,115160,16180,16730,27840,33560,12270
10/05/2022,41900,39380,12300,14440,62720,64780,46850,121270,16180,16730,28590,34190,12120
11/05/2022,40350,38330,12250,14550,61550,62910,46310,120470,16170,16730,27770,33790,12260
12/05/2022,40920,38330,12250,14550,61970,61840,46310,119290,16170,16730,27700,33520,12260
13/05/2022,40350,38330,12250,14550,61100,61840,46310,117820,16170,16130,27700,33520,12260
14/05/2022,39990,38510,12050,14420,59770,53410,45870,117610,16200,16130,27210,32540,12230
15/05/2022,41140,38380,12310,14560,59280,60360,46310,118110,16140,18000,26740,33470,12240
16/05/2022,42460,39340,12350,14620,62810,60150,46990,116460,16260,19570,28330,34910,12370
17/05/2022,42120,38730,12240,14430,58240,56410,45520,113500,16150,18000,27710,34670,12380
18/05/2022,41620,37940,12600,14630,55360,56320,45950,112880,16150,17380,27800,33550,12370
19/05/2022,42170,38140,12430,14570,57850,48090,46310,118110,15860,18000,27910,34110,12240
20/05/2022,42680,38380,12430,14570,57910,61780,46310,118110,16140,18000,27910,35580,12250
21/05/2022,43030,39160,12430,14570,57590,61780,46310,118110,16140,18840,27910,35080,12250
22/05/2022,45270,41210,12420,14480,58640,61390,46190,112250,16290,20520,28140,35510,12590
23/05/2022,43730,39450,12430,14570,56070,61720,46320,118110,16140,18650,27900,34880,12280
24/05/2022,43450,39110,12600,14630,54830,54590,45960,112880,16150,18220,27790,34280,12410
25/05/2022,44200,39450,12430,14570,57440,55980,46320,118110,16140,19720,27900,34650,12280
26/05/2022,44100,38840,12300,14560,57300,58480,46760,118110,16080,18470,27940,34780,12320
27/05/2022,44950,38680,12430,14570,57250,57710,46650,118110,16140,19720,27920,34800,12260
28/05/2022,45140,38870,12430,14580,54310,55510,46330,118110,16060,19720,27290,34120,12100
29/05/2022,45090,38040,12350,14590,56260,55560,47230,122480,16080,19720,26410,33640,12060
30/05/2022,44290,38780,12550,14480,51410,51020,45610,106640,16090,18220,27470,34290,12510
31/05/2022,45460,38440,12430,14570,54600,56570,46780,118110,16020,19720,27680,34360,12220
01/06/2022,45270,38610,12490,14650,53840,58690,47250,117800,16160,22100,27460,34090,11980
02/06/2022,44250,38240,12400,14460,50200,52490,45640,110270,16170,15870,27440,33800,12670
03/06/2022,45720,37830,12610,14630,51290,53660,46430,116070,16130,18220,27610,34320,12350
04/06/2022,45740,38230,12330,14590,52520,54470,47080,125940,16130,19100,27620,34140,12060
05/06/2022,45890,38400,12190,14530,52760,58810,46700,120970,16180,19100,27790,35220,12220
06/06/2022,45890,38400,12190,14530,54050,59290,46700,120970,16180,19100,27790,35060,12220
07/06/2022,45980,39360,12100,14390,51970,53580,45700,116710,16200,19610,27680,35610,12350
08/06/2022,46180,38460,12460,14590,50970,54670,46140,116070,16200,18870,27770,34600,12350
09/06/2022,45660,37870,12400,14450,49320,50280,45040,110270,16170,16730,27570,34590,12670
10/06/2022,,,,,,,,,,,,,
11/06/2022,,,,,,,,,,,,,
12/06/2022,,,,,,,,,,,,,
13/06/2022,,,,,,,,,,,,,
14/06/2022,,,,,,,,,,,,,
15/06/2022,,,,,,,,,,,,,
16/06/2022,,,,,,,,,,,,,
17/06/2022,,,,,,,,,,,,,
18/06/2022,,,,,,,,,,,,,
19/06/2022,,,,,,,,,,,,,
20/06/2022,,,,,,,,,,,,,
21/06/2022,,,,,,,,,,,,,
22/06/2022,,,,,,,,,,,,,
23/06/2022,,,,,,,,,,,,,
24/06/2022,,,,,,,,,,,,,
25/06/2022,,,,,,,,,,,,,
26/06/2022,,,,,,,,,,,,,
27/06/2022,,,,,,,,,,,,,
28/06/2022,,,,,,,,,,,,,
29/06/2022,,,,,,,,,,,,,
30/06/2022,,,,,,,,,,,,,
01/07/2022,,,,,,,,,,,,,
02/07/2022,,,,,,,,,,,,,
03/07/2022,,,,,,,,,,,,,
04/07/2022,,,,,,,,,,,,,
05/07/2022,,,,,,,,,,,,,
06/07/2022,,,,,,,,,,,,,
07/07/2022,,,,,,,,,,,,,
08/07/2022,,,,,,,,,,,,,
09/07/2022,,,,,,,,,,,,,
10/07/2022,,,,,,,,,,,,,
11/07/2022,,,,,,,,,,,,,
12/07/2022,,,,,,,,,,,,,
13/07/2022,,,,,,,,,,,,,
14/07/2022,70990,39720,11800,14280,59080,91200,45460,115390,15950,20280,27980,36200,12470
15/07/2022,68410,37180,12130,14530,69360,95440,47590,125940,15990,19810,27630,33580,12140
16/07/2022,68000,37720,12160,14380,65730,85530,46490,117710,15990,19810,27630,33920,12420
17/07/2022,66140,36640,12620,14430,69070,86850,45540,111400,15990,19080,28330,33280,12630
18/07/2022,68220,37060,12360,14570,74350,90900,47050,121860,15990,19810,28230,33770,12250
19/07/2022,68150,37850,12290,14440,66960,89740,46320,117710,15990,19810,27630,33900,12380
20/07/2022,68320,37060,12360,14570,70660,95250,47050,121860,15990,18180,27840,33880,12250
21/07/2022,66710,37110,12610,14480,62390,84820,45790,111400,15990,18230,27780,33800,12620
22/07/2022,67880,37330,12360,14570,71030,94850,46930,121860,15990,17980,27810,33880,12310
23/07/2022,67670,37570,12290,14440,67190,88270,46190,117710,15990,18210,27600,34020,12450
24/07/2022,65790,36300,12620,14360,65430,82900,45330,111400,15960,18230,27700,33540,12670
25/07/2022,66030,36430,12170,14330,72450,83470,46850,121610,15970,17980,27070,33800,12380
26/07/2022,69180,35280,12610,14560,66800,88950,46640,117070,15970,18230,27040,33420,12370
27/07/2022,69270,37160,12360,14480,73230,90150,47090,121860,15970,17980,27580,33790,12380
28/07/2022,63670,36300,12490,14480,62590,79280,45730,117070,15900,18230,27700,33410,12530
29/07/2022,64710,36900,12150,14420,64670,84710,46190,121860,15910,17980,26950,33690,12350
30/07/2022,63690,36290,12520,14480,65450,79360,45970,117070,15910,18520,27500,33690,12590
31/07/2022,62980,36740,12550,14510,65320,80580,47020,117070,15910,18520,27460,33690,12590
01/08/2022,63430,37310,12480,14510,64220,85530,45850,114640,15840,19450,28390,34180,12600
02/08/2022,62320,36770,12680,14510,65320,82370,45980,117070,15910,18520,27460,33690,12590
03/08/2022,65620,42700,13660,14810,78110,113110,47630,100000,16330,20000,31580,34640,13280
04/08/2022,64290,38480,12590,14520,64510,90700,47100,120550,15920,17980,28210,34240,12370
05/08/2022,57780,37280,12860,14460,64030,86160,45950,117070,15970,17760,27900,33360,12470
06/08/2022,65360,35750,12600,14540,63060,89330,46260,121860,15970,17630,26900,33420,12140
07/08/2022,65350,37950,12470,14480,58240,87230,44650,115390,15890,18810,27440,34080,12270
08/08/2022,62240,36240,12630,14510,61330,93530,47310,121860,15970,17950,27470,33770,12350
09/08/2022,62190,36240,12630,14510,61630,92450,46970,121860,15970,17950,27470,33770,12350
10/08/2022,60740,36240,12630,14510,62950,90930,46970,121860,15970,18260,27470,33680,12440
11/08/2022,60490,35260,12590,14540,58990,91820,46670,121860,15970,17410,24890,33450,12200
12/08/2022,59380,36730,12590,14470,57610,85820,46610,117710,15970,17890,26940,33900,12460
13/08/2022,58200,36050,12630,14510,55460,86670,46970,119750,15970,17500,27200,33680,12320
14/08/2022,59120,36190,12800,14410,54930,81150,45830,111400,15970,18230,27140,33680,12480
15/08/2022,56490,35910,12720,14600,61040,88810,46850,121860,15950,17430,26650,33680,12410
16/08/2022,55320,35350,12930,14560,60120,83810,46890,117070,15940,17490,27350,33450,12560
17/08/2022,52430,34830,12880,14550,60250,90900,46890,120820,15930,17640,27070,33180,12420
18/08/2022,54310,35850,12930,14530,58980,89160,46530,117070,15940,17490,27350,33560,12560
19/08/2022,55840,37740,12690,14580,65200,88420,46830,120550,15890,18010,28180,34070,12400
20/08/2022,53420,35450,12810,14530,61210,90180,46430,115730,15940,17440,27160,33510,12560
21/08/2022,54770,36110,12330,14480,64710,87680,45860,120660,15880,17020,26720,33430,12430
22/08/2022,55490,36360,12620,14580,63990,90260,46720,120660,15950,17600,27150,32740,12410
23/08/2022,54240,35910,12620,14580,63080,90730,46740,120660,15950,17370,27150,33730,12410
24/08/2022,53720,35910,12620,14580,63390,92250,47090,120660,15950,17370,27000,33840,12410
25/08/2022,53520,36160,12620,14580,63010,95870,46860,120660,15950,17370,27000,33910,12410
26/08/2022,53250,37270,12690,14530,60810,91990,46240,117710,15730,17900,27060,33960,12560
27/08/2022,51450,35470,12810,14560,60740,94990,46930,115730,15940,17110,26710,33780,12560
28/08/2022,51650,36280,12980,14520,57780,94070,45880,111400,15930,17490,26850,33860,12720
29/08/2022,49310,36420,12580,14610,61640,95790,46780,116940,15890,17740,27170,35010,12510
30/08/2022,46090,35270,12810,14460,57200,92630,46000,111400,15930,16660,26220,34920,12760
31/08/2022,48150,35560,12620,14600,60530,96140,46970,116200,15950,17220,26170,35490,12510
01/09/2022,47420,35790,12810,14600,59090,92700,46280,113560,15940,16670,26090,34310,12670
02/09/2022,46930,35030,12810,14560,58860,93140,46280,113560,15940,17110,25160,34530,12670
03/09/2022,49050,36060,12380,14680,60130,93400,46200,116940,15880,17740,26310,35160,12360
04/09/2022,46890,34650,12790,14630,57390,94440,45960,113560,15930,16670,25370,34690,12530
