Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,18040,25730,9860,10870,31630,70020,41180,122200,13640,,19750,26740,8010
02/01/2022,18230,25000,9970,10980,28870,69280,40430,122470,13560,,19810,28690,8280
03/01/2022,17680,25730,9860,10870,29770,68360,41910,122200,13640,,19620,27030,8010
04/01/2022,17810,25330,9930,10890,28610,65680,41510,123460,13570,,19660,27040,7900
05/01/2022,17920,25970,9980,10880,28260,54790,41130,122750,13530,,19860,27050,7700
06/01/2022,18940,25790,9980,10990,27670,48930,41090,123460,13570,,19760,26230,7900
07/01/2022,19050,25370,9980,10990,28370,44610,41930,122750,13700,,19530,26690,7890
08/01/2022,19290,25490,9730,10830,28330,41620,43410,123310,13800,,19630,27030,7720
09/01/2022,19470,25820,9800,10870,28640,42580,42080,122470,13590,,19840,26370,7790
10/01/2022,19530,25880,9980,10990,29210,39590,42150,122470,13570,,19670,26510,7900
11/01/2022,19260,26300,9980,10990,29510,38020,41930,122750,13700,,19530,26690,7890
12/01/2022,19050,25430,9980,10990,29690,39840,43160,123100,13720,,19470,26820,7880
13/01/2022,19280,25270,9920,10870,27340,38670,42120,122750,13640,,19530,26140,7890
14/01/2022,18340,24720,9850,10850,27850,39420,41720,123550,13460,,19950,25580,7830
15/01/2022,18400,25490,9970,10980,28100,39560,44630,123310,13800,,19460,26370,8100
16/01/2022,19200,26200,9720,10810,27650,39370,42780,121640,13550,,20300,25350,8070
17/01/2022,19450,26340,9930,10890,26440,35310,43930,122470,14070,,19660,25560,7920
18/01/2022,18910,26250,9880,10840,24840,33720,43930,122470,14160,,19660,25560,8030
19/01/2022,18280,26280,9740,10790,24390,33950,44170,122470,14160,,19860,25740,7940
20/01/2022,18630,25970,9930,10990,24320,32050,44700,123460,14260,,20280,25490,8030
21/01/2022,19480,25580,9970,10990,23980,34420,45430,122830,14230,,19930,25650,7910
22/01/2022,18990,25580,9900,10910,25190,31300,46050,122830,14100,,20080,24950,7910
23/01/2022,19010,25520,9730,10740,22730,27290,43370,122470,13640,,20300,24820,8050
24/01/2022,18910,26480,9880,10890,26040,25420,44910,122470,14260,,20420,24760,8130
25/01/2022,19090,26380,9780,10730,25380,24750,44480,121980,14060,,20400,24590,8030
26/01/2022,18770,27000,9930,11040,25420,24220,44900,122200,14620,,20580,26510,8250
27/01/2022,18520,26360,9800,10810,25360,23510,45190,122470,14320,,19970,24840,8140
28/01/2022,18880,26830,9920,10920,26190,24450,45550,121850,14510,,20650,24710,8140
29/01/2022,18410,26400,9930,10990,25530,23880,43560,122750,14170,,20130,24170,8240
30/01/2022,19010,26130,9900,10910,25690,25120,44640,122830,14370,,20470,24520,8030
31/01/2022,18800,27200,9930,10880,25740,24590,43930,121640,14560,,20690,24460,8240
01/02/2022,19000,26980,9930,10990,25280,25170,42860,122750,14470,,19570,24170,8130
02/02/2022,18860,26790,9830,10790,25740,24890,43110,121980,14520,,19480,24130,8120
03/02/2022,18960,26020,9810,10760,25500,26630,43720,122200,14580,,20110,24380,8020
04/02/2022,19560,26270,9790,10730,23370,25070,42990,122470,14290,,19650,24230,8140
05/02/2022,19740,26110,9790,10840,22990,29730,42160,122470,14170,,18460,23780,8260
06/02/2022,18520,26940,9660,10770,25180,28690,45470,121980,14490,,19450,24160,8560
07/02/2022,19230,26180,9880,10790,21610,37320,43040,121980,14530,,18700,23600,8210
08/02/2022,19910,26370,9860,10760,21600,38040,43640,122200,14590,,19440,23950,8130
09/02/2022,20550,27120,9860,10820,21420,34930,42340,122210,14480,,18610,23450,8240
10/02/2022,19910,26670,9860,10820,21470,37730,41800,122200,14380,,19030,23280,8240
11/02/2022,21620,26030,9790,10730,23490,36500,42310,122470,14430,,19880,23450,8140
12/02/2022,20410,26290,9730,10680,22960,36540,41350,122470,14300,,18470,23320,8140
13/02/2022,19740,28230,9970,10980,25900,35680,45350,120000,15000,,21160,23200,8110
14/02/2022,23010,26910,9860,10700,25620,34420,40930,122200,14380,,17720,23220,8240
15/02/2022,22690,27040,9860,10820,24810,34420,40930,122200,14380,,17600,22990,8240
16/02/2022,23160,27040,9860,10820,24810,34420,40930,122200,14380,,18590,22870,8240
17/02/2022,23190,26500,9810,10710,24310,33230,41410,122200,14480,,18510,23420,8130
18/02/2022,23010,26920,9920,10820,25620,33990,41650,121640,14650,,19380,22990,8240
19/02/2022,24070,27040,9960,10910,24310,36970,41160,122200,14380,,18810,23100,8240
20/02/2022,25020,26790,9760,10770,26280,41660,42610,122120,14490,,18670,23150,8160
