Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,50000,50000,13000,15000,80000,100000,38000,130000,15000,,20000,32430,11000
02/01/2022,48200,44810,12970,14980,80410,97430,40930,130000,14830,,19670,38060,10320
03/01/2022,44270,41820,12780,14730,82320,104860,41560,130000,14350,,20630,35740,10650
04/01/2022,48200,44810,12970,14980,73060,97190,41260,130000,14830,,20420,35520,10320
05/01/2022,44270,42040,12780,14730,76970,100650,41560,130000,14350,,20630,35730,10650
06/01/2022,45790,42740,13050,14980,70540,89860,40620,130000,14300,,19090,36340,10880
07/01/2022,45300,42620,13010,14870,74000,103840,46880,128280,14880,,20670,36480,11230
08/01/2022,44260,41250,13010,14870,76570,110060,44620,127940,14460,,20040,34290,10910
09/01/2022,52440,46370,13490,15490,62450,72660,39950,130000,15000,,19490,35390,10490
10/01/2022,44260,41250,13010,14840,72230,59470,44730,129280,14670,,20040,34450,10770
11/01/2022,44380,41530,13010,14870,66440,90260,45480,129870,14880,,20800,35240,11120
12/01/2022,38730,36210,12980,14740,73480,93610,47320,129810,15360,,21760,33410,11310
13/01/2022,43590,42230,12820,14870,71080,86760,44190,132940,14950,,20960,36330,11060
14/01/2022,43340,40950,13010,14870,66130,72070,43430,130830,14950,,20040,34350,10880
15/01/2022,42930,41290,12780,14830,72150,81070,41050,133690,14820,,20050,35590,10620
16/01/2022,45170,42430,12960,15070,79370,84850,41950,137480,15200,,20680,38420,10750
17/01/2022,43160,41170,12820,14870,67440,83000,43760,132340,15250,,20360,36520,11060
18/01/2022,44390,41680,12820,14870,64310,84830,44480,132340,15310,,20770,36420,10850
19/01/2022,44390,41680,12840,14870,63190,84830,44480,132340,15290,,21180,36420,10850
20/01/2022,44610,41680,12840,14870,62350,85960,44480,132340,15190,,21180,37730,10850
21/01/2022,45590,43600,12980,15010,60120,82100,44190,132940,15240,,21150,36990,11070
