Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,29240,27460,12560,14300,35800,60000,34770,134880,13030,,19540,29560,9400
02/01/2022,28750,27320,12630,14370,34760,60000,35100,136480,12950,,19480,29550,9660
03/01/2022,27870,27360,12490,14340,35170,65000,35030,136020,12990,,19480,29370,9660
04/01/2022,28330,27260,12440,14460,35220,,37220,136510,13070,,19710,29500,9690
05/01/2022,28240,26530,12610,14470,34140,65000,37010,135960,13170,,19690,29120,9660
06/01/2022,28520,27090,12560,14470,34700,65000,37700,135660,13200,,19840,29250,9400
07/01/2022,28960,27350,12690,14460,34980,62500,36770,135230,13060,,19860,28670,9270
08/01/2022,27340,27140,12560,14570,34450,62500,36940,136510,13100,,19830,28850,9560
09/01/2022,27630,27420,12530,14520,35730,65000,38450,135230,13120,,19920,28500,9270
10/01/2022,27630,27280,12600,14520,33300,47500,38740,135960,13130,,19700,28110,9670
11/01/2022,27880,27530,12600,14520,33380,47500,38370,135960,13170,,19710,28030,9670
12/01/2022,27500,27600,12600,14520,32650,45000,38050,135930,13190,,19640,27730,9670
13/01/2022,27190,27470,12580,14520,31690,45000,38510,135960,13220,,19610,27880,9740
14/01/2022,26780,27810,12500,14530,31110,,38580,136140,13350,,19670,27280,9700
15/01/2022,26340,27630,12530,14520,31070,45000,37470,134750,13400,,19510,27500,9750
16/01/2022,27260,27320,12520,14520,31190,40000,38790,135230,13390,,19910,27170,9380
17/01/2022,27790,27650,12600,14520,30260,45000,37700,136270,13360,,19680,26720,9770
18/01/2022,27570,27280,12660,14520,30710,32400,37430,136290,13560,,19790,26510,9770
19/01/2022,27590,27070,12680,14470,31320,35000,37490,133790,13580,,19790,26470,9520
20/01/2022,27930,27570,12660,14570,29490,38000,37700,136080,13500,,19370,26310,9680
21/01/2022,28360,27560,12660,14550,29480,35000,37760,136080,13590,,19320,26300,9680
22/01/2022,27970,27110,12660,14490,29560,30000,37570,134250,13710,,19040,25010,9530
23/01/2022,28190,27160,12590,14510,29590,35000,37950,134760,13540,,19130,25110,9380
24/01/2022,28010,27400,12700,14500,28550,,37290,135930,13490,,18940,25140,9630
25/01/2022,27710,27190,12580,14370,28610,33500,36430,137070,13470,,18580,24890,9630
26/01/2022,28530,27760,12720,14500,30870,33500,36650,135560,13510,,18680,24600,9630
27/01/2022,28240,28000,12730,14480,30680,33500,36270,135560,13550,,18730,24130,9700
28/01/2022,27760,27510,12710,14530,30030,33500,36580,136080,13580,,18970,24010,9620
29/01/2022,28870,28090,12620,14370,30580,33000,35520,135940,13590,,18040,23800,9670
30/01/2022,28220,27720,12650,14550,31070,33000,35000,135970,13630,,18070,23420,9670
31/01/2022,28480,28200,12650,14480,30350,36000,32700,135160,13770,,17760,22730,9560
01/02/2022,29330,28240,12700,14480,31090,36000,32370,135560,13550,,17580,22070,9670
02/02/2022,28900,27910,12820,14480,30940,32860,31620,135560,13600,,17380,22320,9730
03/02/2022,28730,27760,12680,14380,30830,35000,31820,134320,13680,,17770,22380,9440
