Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,25160,27950,9880,11320,50960,72680,30880,122940,13780,,20940,25960,8660
02/01/2022,24770,27440,9980,11430,49550,67780,32290,123940,13640,,21110,25410,8870
03/01/2022,24140,27440,9810,11350,45980,68490,31900,123280,13550,,21110,25810,8540
04/01/2022,24450,27440,9810,11300,45630,64210,31560,123280,13640,,20460,26440,8630
05/01/2022,24640,27440,9810,11350,40190,65310,31220,123280,13640,,20540,25950,8460
06/01/2022,24640,26790,9880,11210,40870,60860,31370,125940,13560,,20230,24970,8710
07/01/2022,24970,27790,9590,10930,43940,66790,31050,123280,13730,,20450,24390,8540
08/01/2022,24800,27440,9720,11180,42980,64350,31050,123940,13730,,20450,24740,8710
09/01/2022,24460,27600,9720,11180,43940,64350,30740,123940,13730,,20960,24740,8550
10/01/2022,24620,27440,9770,11260,43570,64730,30100,123280,13820,,19660,24740,8490
11/01/2022,25680,28430,9630,10830,39890,57290,29830,124950,13730,,20470,24310,8240
12/01/2022,25450,28080,9770,11260,39910,55400,29910,123940,13820,,20720,24540,8490
13/01/2022,26600,28590,9770,11180,39720,55020,30740,123940,13820,,21210,23470,8490
14/01/2022,27590,29020,9770,11180,37400,48960,30360,123280,13900,,20930,23790,8570
15/01/2022,27110,28690,9770,11180,35950,46990,30750,123940,13900,,21100,23640,8570
16/01/2022,27960,29020,9770,11180,35950,44760,30830,123940,13900,,21100,24060,8570
17/01/2022,27640,28690,9910,11100,35950,44760,30690,123940,13900,,21100,24060,8570
18/01/2022,27430,28690,9770,11260,34240,46240,30740,123940,13990,,21290,24240,8570
19/01/2022,27430,28690,9770,11260,34760,44080,30740,123940,13990,,20970,24240,8570
20/01/2022,28080,29430,9770,11260,33110,38820,30260,123940,13990,,20440,24240,8570
21/01/2022,27920,29430,9770,11260,31770,39580,30170,123940,13990,,20800,24100,8570
22/01/2022,27920,29430,9770,11260,32290,38820,29990,124920,13990,,20800,23960,8570
23/01/2022,27390,29250,9770,11260,31470,38470,30070,122940,13990,,20800,23780,8570
24/01/2022,27400,28690,9770,11260,31770,36200,30170,124920,13990,,20800,23790,8570
25/01/2022,27400,28860,9770,11260,32750,37910,30170,124920,13990,,20800,23790,8570
26/01/2022,26890,29190,9860,11430,32750,37250,30760,124920,14160,,20800,25640,8570
27/01/2022,27420,29190,9860,11090,32110,37060,30430,124920,14160,,20970,23740,8570
28/01/2022,27420,28860,9860,11430,31110,36640,30430,124920,14160,,20280,23230,8570
29/01/2022,26600,28130,9870,11430,30430,34920,29950,124920,14330,,20040,23230,8570
30/01/2022,27420,28860,9860,11430,31920,36250,30120,124920,14160,,20120,23230,8570
31/01/2022,26910,28320,9930,11430,30000,36970,30130,124920,14330,,19960,23060,8570
01/02/2022,26890,28320,9860,11430,30000,36490,29800,124920,14330,,20640,22970,8570
02/02/2022,27630,28860,9860,11430,30000,36170,30120,124920,14160,,20640,22560,8570
03/02/2022,26460,27950,9870,11430,28770,34480,29800,124920,14160,,20400,22540,8570
04/02/2022,25570,28570,9850,11320,27810,33810,29650,124920,14390,,20090,22450,8490
05/02/2022,25480,28130,9790,11350,28160,33110,28270,124920,14330,,20400,21950,8570
06/02/2022,25720,27710,9890,11200,26030,31350,28950,124930,14240,,20350,21810,8360
07/02/2022,25600,27480,9870,11250,28160,33250,29610,124920,14330,,20060,20830,8570
08/02/2022,26120,27650,9950,11250,26890,31520,29450,124920,14330,,19890,20740,8570
09/02/2022,26300,27630,9870,11250,26580,33160,29770,124920,14330,,20060,20660,8570
10/02/2022,26120,27630,9870,11250,26550,34190,29610,124920,14490,,20060,20600,8570
11/02/2022,27090,27480,9910,11350,27850,38620,29610,125540,14490,,20430,20560,8570
