Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,35750,35040,10940,12170,48880,98580,36550,128680,14090,,22130,31010,10380
02/01/2022,35630,34380,10950,12240,48800,90400,35480,128840,13990,,21630,30570,10090
03/01/2022,34980,33620,10890,12070,49150,89100,35980,127830,14020,,21570,30760,10210
04/01/2022,34920,32640,10890,12070,45860,79590,35710,126690,13990,,21510,30530,10210
05/01/2022,34000,33190,10850,11980,44600,76580,35470,127250,13880,,21150,30580,10210
06/01/2022,34200,33050,10830,11940,41960,67740,34920,125340,13950,,21210,29920,10130
07/01/2022,34980,33510,10890,11940,44700,65770,35070,125940,14060,,20850,29670,10140
08/01/2022,37760,33350,10790,11980,42870,60980,35860,125510,13950,,21390,29780,10170
09/01/2022,37680,33950,10860,12030,42920,54740,36330,129850,13940,,21750,30160,10330
10/01/2022,38340,32720,10710,11850,40450,53750,35380,126060,13520,,20880,29680,10250
11/01/2022,37220,32600,10780,11860,33560,49620,34150,126340,14030,,20900,29230,10210
12/01/2022,37640,32650,10760,11850,33820,49090,36170,126950,14070,,21650,28660,10200
13/01/2022,36570,32600,10790,11940,34590,48940,36010,126420,14290,,20990,27470,10450
14/01/2022,37720,33320,10790,11940,34920,49190,36010,126420,14540,,21240,27510,10280
15/01/2022,38430,33770,10790,11940,34180,51350,36010,125410,14510,,21240,27300,10250
16/01/2022,38600,33990,10780,11940,32930,50840,36080,125410,14540,,20450,27090,10280
17/01/2022,38730,33040,10790,11940,32540,44780,36330,124910,14510,,21240,27230,10310
18/01/2022,37880,33470,10720,11860,34040,49050,35960,124910,14510,,21040,26700,10250
19/01/2022,39040,34000,10740,11900,34750,47830,36150,125410,14480,,21190,26900,10200
20/01/2022,38890,33860,10890,12020,35580,45210,36430,124410,14730,,20930,26480,10200
21/01/2022,38080,32850,10850,11860,34860,43730,35280,124910,14730,,20070,26680,10330
22/01/2022,37080,31910,10900,11990,35990,40390,36460,124350,14900,,20630,26880,10320
23/01/2022,37480,32140,10850,11840,34900,40240,36110,124910,14790,,18780,26070,10380
24/01/2022,37230,32140,10840,11820,35610,39340,35280,124910,14840,,18430,26440,10480
25/01/2022,36300,32260,10840,11820,35880,40140,35280,124910,14840,,18340,26660,10480
26/01/2022,36710,32260,10840,11660,37920,39750,35450,124910,14840,,17960,26630,10410
27/01/2022,36710,32260,10840,11820,37050,39790,35450,124000,14840,,17960,26630,10480
28/01/2022,36080,32330,10830,11830,37760,39210,36190,124350,14900,,18000,26730,10560
29/01/2022,36160,32190,10840,11820,35200,39580,35450,124910,14840,,17740,26820,10480
30/01/2022,36250,32360,10840,11820,36990,38650,34620,124910,14840,,17910,26750,10480
31/01/2022,36120,32560,10830,11810,38870,39180,36100,124900,14830,,18180,26730,10510
01/02/2022,38080,33700,10790,11950,39190,40380,36390,124720,14860,,18210,27390,10290
02/02/2022,37890,33540,10780,11870,37490,40010,36070,125750,14920,,18040,27160,10380
03/02/2022,37860,33260,10820,11840,37360,40440,36160,125330,14920,,18010,27200,10450
