Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,23360,26700,12250,13410,26990,,29780,130880,13440,,18230,29730,8240
02/01/2022,23790,25970,12210,13340,26470,,31230,129050,13370,,18340,29380,8360
03/01/2022,22620,26030,12100,13240,27780,,31780,128340,13350,,18370,29500,8340
04/01/2022,23010,26060,12120,13310,29880,,31180,129610,13350,,18460,29350,8360
05/01/2022,23330,26030,12090,13300,28320,,32110,128160,13360,,18470,28690,8300
06/01/2022,22740,26060,12210,13270,28190,,31200,128750,13340,,18480,28710,8460
07/01/2022,22430,26540,12090,13210,27720,,30800,129900,13390,,18590,28160,8550
08/01/2022,22730,26520,12230,13420,27350,,31510,129200,13410,,18490,28950,8570
09/01/2022,22720,25880,12120,13220,25830,,31130,129200,13410,,18460,28510,8280
10/01/2022,22060,26210,12170,13340,27600,,32850,129260,13390,,18670,28720,8480
11/01/2022,22930,26740,12140,13220,27540,,31960,129400,13540,,18650,29060,8590
12/01/2022,23430,26770,12190,13330,27220,,32840,127830,13770,,18750,28770,8650
13/01/2022,23990,26430,12230,13400,27220,,34170,128840,13830,,18750,27810,8600
14/01/2022,24030,26140,12210,13420,27690,,32600,129060,13760,,18830,27690,8690
15/01/2022,23600,26250,12180,13290,27530,52000,34240,127370,13730,,18830,27880,8550
16/01/2022,23130,26030,12060,13140,26910,52000,33120,129480,13800,,18840,27760,8510
17/01/2022,23480,26350,12070,13210,27380,,34020,128840,13800,,18950,28210,8710
18/01/2022,24840,26780,12080,13350,27680,,33780,129500,14170,,19100,27880,8700
19/01/2022,25380,26610,12150,13320,27920,,33940,129800,14260,,19070,27310,8650
20/01/2022,25850,26410,12260,13350,27400,,34590,129840,14100,,18010,27450,8620
21/01/2022,26690,26740,12130,13340,28250,,35310,129860,14160,,17980,27260,8800
22/01/2022,26210,26750,12220,13360,27800,,34060,129570,14230,,18170,27350,8530
23/01/2022,26380,26760,12110,13220,27820,,34570,128980,14210,,18270,27370,8660
24/01/2022,26020,26260,12070,13240,28010,,33620,128950,14190,,18120,26940,8550
25/01/2022,25410,26670,12140,13340,26980,,33400,129310,14290,,18350,26760,8600
26/01/2022,24890,26140,11940,13090,25850,,33000,128320,14240,,18180,25830,8360
27/01/2022,24930,25960,12060,13210,26320,,33280,128350,14010,,17990,26680,8360
28/01/2022,26290,26890,11940,13050,27240,,32140,129280,14180,,17750,26640,8870
29/01/2022,25690,26770,12170,13370,27110,,32540,128690,14130,,17870,26680,8750
30/01/2022,25220,26620,12150,13360,27500,58000,32540,128620,14200,,17760,26630,8700
31/01/2022,25870,26610,12050,13200,27490,,32160,128520,14290,,17740,25620,8720
01/02/2022,25570,26890,12020,13150,28270,,30970,130410,14310,,17750,25350,8820
02/02/2022,25810,26950,12070,13280,27540,,29090,129170,14270,,17270,24470,8780
03/02/2022,25830,27080,12080,13290,28000,50000,28610,129010,14100,,17150,24600,8910
04/02/2022,25460,27160,12060,13120,27500,50000,27820,129630,14330,,17010,24290,8810
05/02/2022,24800,27170,12090,13220,27330,50000,28930,129690,14190,,17080,23950,8960
06/02/2022,24980,26860,11970,13080,28440,50000,28430,128590,14220,,16570,24460,8690
07/02/2022,25540,26940,12000,13140,28890,42000,28890,129010,14310,,16830,23050,8710
08/02/2022,25930,27130,12080,13200,30300,42000,28120,129070,14300,,16780,21750,8770
09/02/2022,26410,27050,12120,13170,30240,42000,27690,129130,14280,,16110,21540,8790
10/02/2022,27130,26880,12070,13050,31330,42000,27570,128860,14280,,16210,21560,8690
11/02/2022,27130,27190,12200,13340,30950,39420,27990,129730,14280,,16210,21860,8970
12/02/2022,27360,27540,12230,13310,32010,35000,28160,129810,14190,,16090,21610,8850
13/02/2022,28500,27480,12100,13260,32830,35000,27680,130060,14330,,16220,21520,8920
14/02/2022,29350,27120,12040,13210,34340,40000,28380,130130,14310,,16160,21520,8920
15/02/2022,29740,26880,12070,13090,35080,40000,26720,130600,14390,,16100,21390,8740
16/02/2022,29760,26850,12070,13150,35790,40000,28250,128060,14370,,16290,21380,8940
17/02/2022,29330,26770,12230,13370,36150,30000,28720,130010,14340,,16020,21790,8940
18/02/2022,30400,27440,12110,13160,37850,30000,28130,130740,14280,,16050,21100,8740
19/02/2022,29950,27140,12130,13220,37490,35000,28140,130080,14260,,16270,21530,8940
20/02/2022,29840,27210,12100,13180,37210,35000,27950,129960,14270,,16040,21180,8830
21/02/2022,30030,26910,12070,13170,37910,30000,28230,130070,14280,,16050,21380,8860
22/02/2022,30760,27030,12130,13260,39560,35000,28900,129950,14320,,16290,21840,8910
23/02/2022,30750,27490,12130,13240,40020,37180,28610,129950,14270,,16400,22130,8940
24/02/2022,30810,27190,12130,13250,40740,35000,28900,130560,14220,,16400,21980,8950
