Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah),Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat
01/01/2022,28970,27440,11030,12080,22360,,30540,150930,13520,,19400,27550,8910,,,,,,,,,,,,
02/01/2022,29900,29070,10950,12020,23340,,31390,151540,13540,,19100,27520,8860,,,,,,,,,,,,
03/01/2022,28970,27970,10970,11990,22050,,30980,150100,13430,,19220,28000,8860,75.85,1.30%,3.678,3.40%,157.5,-7.13%,"5,259.00",1.94%,18.74,-0.74%,758,-1.65%
04/01/2022,29600,28140,10990,12050,22460,,31680,148700,13580,,19160,27850,8820,76.74,1.17%,3.582,-2.61%,174.1,10.54%,"5,308.00",0.93%,18.75,0.05%,770,1.58%
05/01/2022,29540,27590,11050,12180,19630,50000,32620,147690,13460,,19570,28350,8920,77.47,0.95%,3.71,3.57%,179.9,3.33%,"5,437.00",2.43%,18.34,-2.19%,760.75,-1.20%
06/01/2022,29410,27530,11000,12160,20140,50000,31480,148650,13380,,19830,28360,8760,78.88,1.82%,3.67,-1.08%,196.5,9.23%,"5,387.00",-0.92%,18.19,-0.82%,746,-1.94%
07/01/2022,30960,27900,11010,12200,22960,31620,29790,149140,13370,,19620,28380,8730,78.44,-0.56%,3.726,1.53%,195.9,-0.31%,"5,330.00",-1.06%,18.05,-0.77%,758.5,1.68%
08/01/2022,30550,27760,11050,12190,21730,50000,31180,149000,13460,,19820,27790,8910,,,,,,,,,,,,
09/01/2022,29840,27780,11010,12180,20430,50000,32150,150040,13510,,19870,28960,8860,,,,,,,,,,,,
10/01/2022,29800,27940,10980,12090,19570,50000,32680,150040,13490,,19930,28180,8960,77.7,-0.94%,3.834,2.90%,196.5,0.31%,"5,366.00",0.68%,17.83,-1.22%,762,0.46%
11/01/2022,29660,28780,10900,12100,18770,50000,32390,149970,13510,,19540,27750,8920,80.67,3.82%,3.968,3.50%,197.1,0.31%,"5,300.00",-1.23%,18.11,1.57%,770.25,1.08%
12/01/2022,30590,29070,10910,12100,19760,44720,33090,148780,13700,,19650,27770,9000,82.02,1.67%,4.327,9.05%,203,2.99%,"5,260.00",-0.75%,18.34,1.27%,757.75,-1.62%
13/01/2022,31130,29310,10900,12040,19690,50000,33170,149450,13790,,19620,27960,9040,81.62,-0.49%,4.005,-7.44%,211.5,4.19%,"5,330.00",1.33%,18.09,-1.36%,746.75,-1.45%
14/01/2022,31110,29300,10870,12030,20470,44480,32510,149490,13910,,19730,27430,9060,83.3,2.06%,4.081,1.90%,216.75,2.48%,"5,300.00",-0.56%,18.31,1.22%,741.5,-0.70%
15/01/2022,30410,29180,10940,12040,20080,46900,32290,149480,14040,,19800,27160,9140,,,,,,,,,,,,
16/01/2022,29780,29090,10880,12020,19360,46900,32060,149230,14000,,19800,26820,9140,83.83,0.64%,4.335,6.22%,,,,,,,,
17/01/2022,29920,29240,10860,11960,19840,46420,32080,149480,14060,,19920,27040,9140,83.69,-0.17%,4.276,-1.36%,220.5,1.73%,"5,320.00",0.38%,,,,
18/01/2022,30570,28850,10820,11960,19210,46420,32050,149230,14020,,19870,26960,9100,84.83,1.36%,4.048,-5.33%,221,0.23%,,,18.66,1.91%,769,3.71%
19/01/2022,29980,28540,10810,11960,18980,46420,31850,149030,13980,,20010,26690,9140,85.8,1.14%,3.845,-5.01%,223.1,0.95%,"5,353.00",0.62%,19.07,2.20%,796.5,3.58%
20/01/2022,29720,28600,10740,11880,20320,50000,32050,148710,14050,,19380,25840,9140,85.55,-0.29%,3.649,-5.10%,225.65,1.14%,"5,400.00",0.88%,18.93,-0.73%,790.25,-0.78%
21/01/2022,30270,28480,10900,12010,19220,38730,32480,148640,14080,,19560,25830,9160,84.14,-1.65%,3.782,3.64%,224.6,-0.47%,"5,504.00",1.93%,18.9,-0.16%,780,-1.30%
22/01/2022,30280,28380,10680,11850,19550,52440,32200,148340,14000,,19370,25780,9130,,,,,,,,,,,,
23/01/2022,29490,28280,10750,11890,19390,50000,32020,148900,14000,,19490,25030,9120,,,,,,,,,,,,
24/01/2022,29790,28350,10750,11860,17970,46260,31700,148960,14130,,19590,25400,9200,82.41,-2.06%,3.875,2.46%,225.25,0.29%,"5,438.00",-1.20%,18.81,-0.48%,800.5,2.63%
25/01/2022,29610,28290,10800,11870,18520,47430,31770,148250,14130,,19440,24670,9220,84.37,2.38%,3.894,0.49%,227.3,0.91%,"5,454.00",0.29%,18.78,-0.16%,818,2.19%
26/01/2022,29500,28350,10750,11870,18470,43990,31600,148500,14090,,19530,24920,9220,85.96,1.88%,4.036,3.65%,227.8,0.22%,"5,506.00",0.95%,18.49,-1.54%,795,-2.81%
27/01/2022,29530,28400,10710,11770,18770,46370,31750,148250,14130,,19500,24480,9270,85.29,-0.78%,4.283,6.12%,227.6,-0.09%,"5,613.00",1.94%,18.41,-0.43%,777,-2.26%
28/01/2022,29520,28570,10740,11750,18730,46370,31630,147820,14130,,19500,24050,9220,85.43,0.16%,4.473,4.44%,227.65,0.02%,"5,803.00",3.38%,18.2,-1.14%,786.25,1.19%
29/01/2022,30070,28670,10740,11760,19290,46370,31400,150230,14140,,19550,24330,9180,,,,,,,,,,,,
30/01/2022,29680,28360,10630,11730,18840,46370,31830,147740,14100,,19330,23270,9160,,,,,,,,,,,,
31/01/2022,29820,28600,10730,11760,18940,31620,31250,148740,14170,,19380,22310,9230,86.49,1.24%,4.675,4.52%,222.75,-2.15%,"5,785.00",-0.31%,18.22,0.11%,761.25,-3.18%
01/02/2022,29710,28610,10760,11730,19210,50000,31320,148170,14180,,19360,21960,9160,86.46,-0.03%,4.573,-2.18%,218.1,-2.09%,,,18.48,1.43%,769,1.02%
02/02/2022,29200,28970,10710,11760,21020,50000,30960,148500,14280,,19260,21310,9230,86.69,0.27%,5.044,10.30%,220.1,0.92%,,,17.93,-2.98%,755,-1.82%
03/02/2022,29370,29000,10670,11750,22470,50000,30890,148250,14280,,19210,21350,9230,88.45,2.03%,4.72,-6.42%,221,0.41%,"5,714.00",-1.23%,17.99,0.33%,751.75,-0.43%
04/02/2022,29390,28880,10690,11730,23610,50000,30590,147730,14290,,19150,20860,9270,90.33,2.13%,4.492,-4.83%,227.3,2.85%,"5,779.00",1.14%,18.23,1.33%,763.25,1.53%
05/02/2022,29320,28790,10710,11760,23630,50000,30350,148430,14250,,19210,20930,9270,,,,,,,,,,,,
06/02/2022,29080,28630,10720,11780,22880,50000,30500,148680,14260,,18970,20720,9330,,,,,,,,,,,,
07/02/2022,29730,28930,10710,11760,23760,50000,30100,147730,14340,,19060,20750,9270,89.77,-0.62%,4.198,-6.54%,236,3.83%,"5,652.00",-2.20%,18.05,-0.99%,768.75,0.72%
