Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
01/01/2022,8910,9000,9090,8190,8150,8990,7580,7940,8050,8030,8090,9100,7480,8310,7940,8490,9810,9920,8340,9690,11260,8010,9800,11000,10550,9400,8660,7920,9670,9420,10380,8240,8000,8630
02/01/2022,8860,9050,8960,8290,8150,8360,7500,7990,8050,8110,8100,9200,7790,8310,9440,8490,9810,9760,8270,9740,10890,8280,9190,10320,10380,9660,8870,7990,9270,9640,10090,8360,7930,8690
03/01/2022,8860,9100,9040,8360,8150,9950,7620,7940,8000,7910,8140,9270,7850,8310,8980,8490,10140,10240,8180,9780,10870,8010,9710,10650,10260,9660,8540,7890,9210,9590,10210,8340,7760,8600
04/01/2022,8820,9100,9020,8410,8150,9520,7560,7940,8000,7930,8120,9280,7930,8310,9570,8320,9810,9920,8420,9780,10800,7900,9480,10320,10340,9690,8630,7990,9620,9640,10210,8360,7820,8570
05/01/2022,8920,9120,9170,8360,8400,10040,7530,7940,8000,7970,8070,9150,7930,8310,9570,8490,9980,10240,8350,9780,10800,7700,9430,10650,10240,9660,8460,8010,9620,9550,10210,8300,7900,8620
06/01/2022,8760,9000,9020,8360,8360,10040,7570,7940,7960,7970,8000,9150,8010,8310,9440,8490,10210,9270,8230,9780,10900,7900,8870,10880,10370,9400,8710,7940,9570,9630,10130,8460,7750,8610
07/01/2022,8730,9130,9040,8360,8360,9690,7560,7940,7980,7950,7990,9090,8050,8380,8980,8490,10290,9920,8120,9740,11230,7890,9140,11230,10340,9270,8540,7940,9710,9640,10140,8550,8000,8720
08/01/2022,8910,9130,9390,8330,8180,10040,7600,8030,8000,7990,7930,9300,8050,8380,8980,8490,10100,9270,8450,9780,10800,7720,8660,10910,10280,9560,8710,7960,9710,9480,10170,8570,8030,8700
09/01/2022,8860,9130,9270,8210,8470,10040,7600,8070,8000,8060,8000,9350,8140,8380,9220,8490,10100,10180,8320,9740,10890,7790,8920,10490,10460,9270,8550,7920,9570,9490,10330,8280,7960,8680
10/01/2022,8960,9210,9020,8210,8470,10040,7570,8110,8040,8020,7980,9300,8050,8380,9320,8490,10100,9810,8170,9740,11000,7900,9440,10770,10370,9670,8490,7940,9710,9760,10250,8480,8050,8540
11/01/2022,8920,9210,9170,8120,8470,10040,7620,8240,8040,7950,8160,9380,8080,8380,9140,8490,10240,10080,7990,9830,11120,7890,9900,11120,10280,9670,8240,7940,9710,9760,10210,8590,7880,8570
12/01/2022,9000,9160,9020,8300,8560,9690,7600,8110,8060,8070,8080,9380,8260,8440,9420,8490,10100,10080,8040,9810,11000,7880,9760,11310,10390,9670,8490,8020,9710,9850,10200,8650,8020,8560
13/01/2022,9040,9160,9170,8300,8560,10040,7600,8110,8050,8140,8200,9290,8190,8380,9210,8490,10100,10160,8150,10030,11130,7890,9810,11060,10370,9740,8490,7990,9570,9690,10450,8600,8020,8550
14/01/2022,9060,9210,9040,8300,8560,10040,7740,8110,8070,8160,8180,9380,8270,8380,9300,8490,10240,10160,8200,10030,10910,7830,9960,10880,10310,9700,8570,8070,9800,9760,10280,8690,8020,8640
15/01/2022,9140,9210,9020,8300,8560,10270,7780,8110,8130,8090,7990,9450,8350,8560,9620,8490,10240,10090,8310,10210,11230,8100,9660,10620,10240,9750,8570,8110,9800,9760,10250,8550,8090,8640
16/01/2022,9140,9100,9170,8300,8670,9870,7730,8110,8110,8200,8210,9570,8300,8560,9060,8490,9820,10110,8180,10210,11230,8070,9400,10750,10440,9380,8570,8160,9570,9810,10280,8510,8200,8550
17/01/2022,9140,9080,9170,8410,8570,9860,7730,8110,8160,8280,8240,9600,8540,8620,9180,8490,9960,10440,8240,10210,11150,7920,9790,11060,10370,9770,8570,8180,9710,9810,10310,8710,8170,8620
18/01/2022,9100,9240,9020,8410,8570,10040,7760,8110,8220,8190,8210,9420,8500,8600,9200,8740,9820,10210,8210,10210,11020,8030,9560,10850,10370,9770,8570,8290,9800,9740,10250,8700,8200,8590
19/01/2022,9140,9350,9020,8410,8570,10040,7760,8110,8360,8250,8160,9490,8450,8740,9350,8740,10100,10320,8380,10210,10820,7940,9560,10850,10400,9520,8570,8240,9800,9810,10200,8650,8200,8650
20/01/2022,9140,9350,9020,8590,8570,10040,7820,8110,8380,8250,8230,9450,8450,8810,9040,8740,9960,10160,8300,10210,11020,8030,9690,10850,10400,9680,8570,8240,9640,9810,10200,8620,8260,8590
21/01/2022,9160,9490,9390,8580,8470,10040,7820,8110,8480,8280,8260,9490,8490,8810,9630,8740,9960,9750,8170,10030,10910,7910,9580,11070,10400,9680,8570,8190,9800,9810,10330,8800,8260,8710
22/01/2022,9130,9410,9040,8580,8370,10270,7690,8180,8500,8330,8180,9450,8540,8810,8730,8740,10100,10160,8360,10230,10920,7910,9630,10370,10400,9530,8570,8240,9800,9810,10320,8530,8260,8650
23/01/2022,9120,9410,9020,8680,8370,10040,7760,8110,8500,8270,8340,9630,8450,8810,8930,8740,10100,10200,8400,10300,11140,8050,9390,10490,10490,9380,8570,8200,9640,9810,10380,8660,8290,8650
24/01/2022,9200,9780,9020,8730,8370,10040,7760,8110,8530,8300,8310,9450,8490,8810,9300,8740,10120,10160,8330,10030,10920,8130,9680,10850,10400,9630,8570,8280,9800,9860,10480,8550,8270,8700
25/01/2022,9220,9780,9390,8730,8460,10040,7760,8200,8500,8280,8490,9410,8630,8810,9010,8740,10100,10160,8350,10210,10900,8030,9680,10850,10290,9630,8570,8300,9800,9920,10480,8600,8340,8620
