Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,20870,22390,10290,11500,40000,76680,38390,112770,12670,,19690,26010,9000
02/01/2022,,,,,20710,22590,10320,11500,50990,74370,38340,112020,12710,,19730,26180,9050
03/01/2022,0.239520952,0.741729736,0.030201444,14215,20510,22640,10340,11500,48990,72660,38660,111770,12800,,19760,26100,9100
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,20180,22090,10470,11630,48990,75000,38660,111090,12800,,19990,26100,9100
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,19960,22100,10490,11670,48990,70020,38340,111240,12780,,19990,25990,9120
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,20350,22140,10490,11750,40000,54710,40100,111450,12710,,19990,24320,9000
07/01/2022,0.237473279,0.734786272,0.029803593,14408,19960,22690,10210,11490,46900,53740,39220,113080,12780,,20280,24740,9130
08/01/2022,,,,,19830,22690,10210,11490,46900,53730,38910,113080,12780,,20140,24670,9130
09/01/2022,,,,,19410,22690,10210,11490,44720,53540,38300,113080,12780,,20140,24380,9130
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,19700,22840,10210,11490,43870,49030,40560,113080,12860,,20280,24160,9210
11/01/2022,0.238208666,0.737577319,0.02974597,14313,19970,22840,10210,11490,41830,47180,41680,113080,13140,,20280,23830,9210
12/01/2022,0.23866348,0.740389705,0.030028228,14277,19970,22640,10160,11490,40000,43180,39720,113710,13240,,20330,22680,9160
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,19620,22640,10160,11490,40000,42230,41360,115540,13490,,20330,23680,9160
14/01/2022,0.239520952,0.742914438,0.030120481,14276,19940,22970,10210,11490,37420,43260,41720,113080,13420,,20280,24000,9210
15/01/2022,,,,,19670,22970,10210,11490,37420,43260,42000,113080,13420,,20280,24000,9210
16/01/2022,,,,,19170,22580,10290,11490,35000,41690,41420,114890,13390,,20390,23540,9100
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,19910,22810,10410,11590,35000,38440,41350,111750,13830,,20490,23260,9080
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,19620,22810,10240,11390,37420,40080,42340,115900,13830,,20330,23430,9240
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,20190,23110,10350,11490,37420,37930,42000,114890,13860,,20420,23750,9350
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,20190,23110,10420,11570,37420,38830,41720,114890,13850,,20420,23500,9350
21/01/2022,0.2388345,0.742451131,0.030383132,14343,19940,22510,10420,11570,37420,37020,42710,113080,13850,,20130,24490,9490
22/01/2022,,,,,19280,22630,10490,11690,35000,36830,42340,111750,13830,,20150,24470,9410
23/01/2022,,,,,19620,22630,10490,11690,35000,34360,42340,111750,13830,,20150,24470,9410
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,19080,22970,10560,11660,33990,28500,42290,113080,13780,,20130,23910,9780
25/01/2022,0.238863006,0.743306518,0.030309459,14365,19370,22970,10560,11660,33990,28970,42000,113080,13780,,19990,22580,9780
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,19720,22640,10440,11620,33990,29590,41530,110970,13720,,19990,23800,9600
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,19750,22870,10440,11490,28480,28860,42210,110970,13720,,19940,23240,9660
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,19710,22730,10430,11490,28480,28110,41930,110970,13770,,19990,22320,9590
29/01/2022,,,,,19710,22610,10430,11490,32400,28110,42110,110970,13680,,19990,22350,9620
30/01/2022,,,,,19860,22610,10430,11490,22910,27050,41840,110970,13680,,19990,22290,9620
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,19560,22680,10610,11560,22910,26260,39620,111110,13890,,18920,22860,9640
01/02/2022,0.23900573,0.739885747,0.030125925,14350,19520,22610,10610,11560,26460,26320,39590,111110,13850,,18900,22800,9680
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,19310,22430,10540,11490,26460,26240,39850,110970,13660,,17690,21940,9660
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,19690,22420,10380,11550,22360,25720,39300,110970,13720,,18400,21570,9660
04/02/2022,0.239120036,0.744031012,0.030236142,14377,20320,22720,10440,11550,22360,28030,38110,110970,13660,,17690,21080,9600
05/02/2022,,,,,20280,22500,10490,11550,21210,29770,38680,110970,13660,,17300,21250,9460
06/02/2022,,,,,20310,22540,10490,11550,21210,30800,37870,110970,13660,,17000,21250,9490
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,21390,22660,10490,11600,22360,32740,37070,110970,13720,,17480,21500,9550
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,22400,22610,10560,11560,25000,35540,38070,109740,13740,,17190,21030,9740
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,23530,22650,10490,11600,25000,37730,36530,110970,13720,,17350,20700,9660
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,24790,22760,10490,11600,25000,37480,36200,110970,13660,,16980,20790,9490
11/02/2022,0.239120036,0.743240178,0.0305773,14328,24950,22760,10440,11600,25000,36890,36650,110970,13830,,16850,20820,9600
12/02/2022,,,,,24850,22550,10440,11550,25000,36080,36250,110970,13720,,16510,20670,9490
13/02/2022,,,,,25140,22760,10440,11550,26460,36710,36260,110970,13830,,16640,20650,9490
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,27050,23230,10470,11600,29240,35160,36230,112300,13620,,15580,20480,9490
15/02/2022,0.238777444,0.742666125,0.030838501,14303,28080,23450,10440,11600,27390,37610,36430,112300,13700,,15540,20410,9650
16/02/2022,0.239017144,0.743649244,0.030916678,14260.59961,29030,23650,10440,11600,26460,38890,36100,112300,13770,,15500,20410,9470
17/02/2022,0.23903431,0.744596124,0.030959753,14274.40039,30310,22910,10440,11600,25000,39370,35740,112300,13700,,15700,20410,9430
18/02/2022,0.238948628,0.744712532,0.031149736,14348,30950,23310,10440,11600,29580,39050,35740,112300,13600,,15850,20530,9420
19/02/2022,,,,,30780,22760,10440,11660,25000,39260,35530,112300,13600,,15740,20530,9380
20/02/2022,,,,,29870,22760,10440,11660,25000,39810,35420,112300,13720,,15850,20470,9430
21/02/2022,0.23900573,0.742853701,0.031121623,14365.90039,30930,22650,10440,11600,30740,41060,35420,112300,13770,,15940,20410,9430
22/02/2022,0.239406273,0.742610991,0.031000063,14355,29780,22260,10440,11600,32400,44460,35270,112300,13600,,15850,20560,9550
23/02/2022,0.239062876,0.743240178,0.030848963,14395,30010,22310,10460,11630,35000,46990,35270,112300,13600,,14760,21290,9490
24/02/2022,0.23900573,0.742837191,0.030987574,14365,31250,22540,10460,11630,35000,48740,34880,111090,13600,,14940,21290,9490
25/02/2022,0.238180295,0.738001943,0.030772069,14452.5,32110,22540,10460,11630,35000,50310,34980,111090,13550,,15020,21450,9490
26/02/2022,,,,,32260,22560,10520,11520,35000,50070,36220,109870,13740,,15330,22350,9550
27/02/2022,,,,,32930,22960,10520,11640,35000,56210,35260,111240,13740,,15120,22670,9430
