Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (cerah)
01/01/2022,,,,,26890,27240,9960,11210,39240,80020,37610,124900,13240,,18820,30480,9090
02/01/2022,,,,,25600,26430,9800,11210,39570,81700,36440,126580,12920,,18660,30130,8960
03/01/2022,0.239520952,0.741729736,0.030201444,14215,26390,27550,10040,11290,38700,84630,37440,124900,13080,,18640,30200,9040
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,26630,26600,9900,11210,41310,88680,37320,126160,13180,,18850,29180,9020
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,26610,26470,9750,11250,38710,79400,36900,127060,13060,,18980,28530,9170
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,26760,26650,9970,11280,37690,73770,36890,126160,13180,,18910,28220,9020
07/01/2022,0.237473279,0.734786272,0.029803593,14408,25830,27530,10040,11290,34910,67710,37620,124900,13080,,18720,27430,9040
08/01/2022,,,,,26030,27080,9880,11290,32210,68450,36570,126580,13080,,18980,28050,9390
09/01/2022,,,,,26460,27300,10070,11570,24100,64940,36900,125900,13090,,19190,26770,9270
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,26140,26730,9970,11280,31940,64990,36030,126160,13180,,18990,27060,9020
11/01/2022,0.238208666,0.737577319,0.02974597,14313,26460,27140,10030,11320,31210,64040,36180,125620,13200,,19320,26510,9170
12/01/2022,0.23866348,0.740389705,0.030028228,14277,26270,26730,9970,11280,27830,54830,37040,126160,13240,,19300,25520,9020
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,26300,27000,10110,11400,28730,53180,38180,125620,13340,,18980,24940,9170
14/01/2022,0.239520952,0.742914438,0.030120481,14276,25910,26690,9970,11300,25710,53620,37890,124900,13660,,19150,24770,9040
15/01/2022,,,,,26270,26600,10030,11350,27670,50890,38030,126160,13290,,18990,24190,9020
16/01/2022,,,,,24660,26210,9900,11330,27200,51380,37340,127060,13190,,18980,23930,9170
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,25310,27000,10110,11400,28620,51650,37620,125620,13490,,18840,23870,9170
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,25680,26880,9890,11350,35460,50380,37530,126160,13290,,18990,23440,9020
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,26880,26740,10030,11350,33000,48840,37400,126160,13300,,18990,22450,9020
