Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,26650,25960,10100,11350,24860,43040,39680,124090,13280,,18540,26370,8190
02/01/2022,,,,,26950,26590,10130,11400,24730,45830,38820,124910,13160,,18610,27050,8290
03/01/2022,0.239520952,0.741729736,0.030201444,14215,27290,27080,10170,11370,26850,53330,39740,124290,13210,,18430,27280,8360
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,27450,26970,10230,11410,25740,53840,40960,124910,13300,,18360,27740,8410
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,27710,27180,10200,11590,25150,53840,40960,124290,13320,,18430,27210,8360
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,27150,26700,10200,11590,24840,52350,41470,124290,13160,,18430,27170,8360
07/01/2022,0.237473279,0.734786272,0.029803593,14408,26840,26760,10200,11610,24420,53500,42150,124290,13160,,18430,27020,8360
08/01/2022,,,,,26160,27020,10230,11500,25870,58550,41430,123810,13090,,18380,25780,8330
09/01/2022,,,,,26260,26080,10230,11500,25070,53780,42960,123920,13090,,18380,25360,8210
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,26260,26460,10330,11500,24300,54870,44840,123810,13090,,18380,25780,8210
11/01/2022,0.238208666,0.737577319,0.02974597,14313,26260,26650,10280,11590,23680,54130,44200,123810,13090,,18380,25480,8120
12/01/2022,0.23866348,0.740389705,0.030028228,14277,26460,26760,10280,11590,23960,52350,45900,123810,13190,,18380,25460,8300
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,26460,26650,10280,11590,23750,52350,46000,123810,13190,,18480,25510,8300
14/01/2022,0.239520952,0.742914438,0.030120481,14276,26360,26650,10320,11590,24000,48990,45420,123810,13190,,18530,25030,8300
15/01/2022,,,,,26360,26650,10320,11590,22920,48190,45530,123810,13190,,18530,25300,8300
16/01/2022,,,,,26360,26650,10320,11590,23290,52070,45420,124690,13190,,18580,25330,8300
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,26560,26650,10320,11590,23810,48890,45280,123810,13190,,18670,25100,8410
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,26560,26650,10320,11590,23810,46180,46110,123810,13290,,18670,25210,8410
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,26560,26650,10320,11590,24060,46720,46010,123810,13340,,18670,25020,8410
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,26850,26960,10300,11600,25020,47750,45040,124290,13940,,17480,24790,8590
21/01/2022,0.2388345,0.742451131,0.030383132,14343,26660,26540,10320,11590,24750,47070,44400,123810,13740,,18070,24560,8580
22/01/2022,,,,,26660,26250,10400,11590,25610,48190,44500,124290,13840,,17840,24470,8580
