Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,25240,24940,9650,11250,39350,63490,36180,124880,12590,,19580,28990,8150
02/01/2022,,,,,25240,24940,9650,11250,38940,64110,35970,124880,12590,,19580,28370,8150
03/01/2022,0.239520952,0.741729736,0.030201444,14215,24620,24360,9610,11210,39490,70680,35590,124490,12590,,19580,26760,8150
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,24370,24360,9610,11210,38910,69670,35590,124490,12590,,19580,26570,8150
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,24210,23740,9470,11050,33830,63250,35480,124600,12870,,19480,26460,8400
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,24370,24770,9670,11270,31180,46670,34980,124680,12800,,19580,24090,8360
07/01/2022,0.237473279,0.734786272,0.029803593,14408,24200,24560,9710,11350,30460,45860,34980,124680,12800,,19580,23980,8360
08/01/2022,,,,,24200,24560,9710,11530,30460,45860,34760,124880,12800,,19580,24170,8180
09/01/2022,,,,,23660,23980,9730,11530,29900,41160,35540,124490,12900,,19580,23970,8470
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,23660,24360,9730,11530,28650,37380,35540,124490,12960,,19580,23200,8470
11/01/2022,0.238208666,0.737577319,0.02974597,14313,23660,24360,9730,11270,28210,39510,35330,124490,13060,,19580,23200,8470
12/01/2022,0.23866348,0.740389705,0.030028228,14277,23490,23980,9730,11270,27350,39700,35120,124680,13280,,19580,22590,8560
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,23770,23980,9570,11270,26450,39110,34060,123900,13580,,19580,22200,8560
14/01/2022,0.239520952,0.742914438,0.030120481,14276,23770,23770,9690,11270,28240,41120,35040,124490,13580,,19580,22200,8560
15/01/2022,,,,,23770,23770,9690,11270,27540,40310,35810,124490,13580,,19580,22000,8560
16/01/2022,,,,,23590,23770,9690,11270,27540,40720,36270,124490,13580,,19580,21800,8670
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,23400,24380,9690,11270,28330,40540,36480,124680,13480,,19580,21590,8570
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,23400,24380,9690,11270,28330,38130,36280,124680,13480,,19580,21590,8570
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,23400,24380,9710,11270,28560,38940,36280,123900,13480,,19580,21390,8570
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,23400,24380,9710,11270,27940,38780,36470,123900,13480,,19580,21390,8570
21/01/2022,0.2388345,0.742451131,0.030383132,14343,23390,23980,9710,11300,26220,37920,36680,124490,13480,,19580,21180,8470
22/01/2022,,,,,23200,24380,9710,11300,26220,37520,36680,124490,13390,,19580,20970,8370
23/01/2022,,,,,23400,24380,9710,11300,25660,36990,36680,124490,13390,,18960,20390,8370
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,23210,24580,9840,11370,27080,30760,36900,124490,13690,,18960,20200,8370
25/01/2022,0.238863006,0.743306518,0.030309459,14365,22330,24470,10030,11240,25230,32220,36660,123390,13870,,19200,20250,8460
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,23020,24580,9840,11370,26880,31040,36350,124680,13690,,18760,20200,8370
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,23400,24970,9840,11370,24510,28370,36150,124680,13690,,18960,20190,8370
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,24140,24970,9840,11350,24880,26030,35560,124680,13690,,18560,19790,8470
29/01/2022,,,,,24040,24870,9840,11350,24580,25670,35360,124680,13690,,18560,19990,8470
30/01/2022,,,,,24410,24230,9680,11150,24370,25050,35700,124600,13620,,18220,19990,8720
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,24770,24570,9840,11350,24500,24470,35560,124680,13590,,18560,19990,8570
01/02/2022,0.23900573,0.739885747,0.030125925,14350,24580,24570,9840,11350,24490,24120,35360,124680,13590,,18560,19800,8570
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,24960,24570,9840,11370,25060,25100,35160,124880,13590,,17710,19890,8770
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,24760,24180,9840,11370,25270,24900,34960,124880,13800,,17710,19890,8770
04/02/2022,0.239120036,0.744031012,0.030236142,14377,25300,24650,9650,11470,26920,24660,33660,128310,13830,,17540,20170,8490
05/02/2022,,,,,24470,24230,9950,11630,23950,24660,35210,122420,13750,,16370,19870,8720
06/02/2022,,,,,24960,24180,9800,11350,25050,24720,34530,123520,13800,,16720,19890,8770
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,27730,24180,9700,11350,28250,28340,33170,123710,13700,,17650,19890,9810
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,28320,24570,9780,11310,26890,29630,33170,123900,13790,,17470,19690,8960
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,28980,24770,9780,11310,27950,30250,32970,123900,13700,,17470,21910,8770
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,29360,24980,9780,11340,27950,30250,32950,124880,13590,,17860,19390,8770
11/02/2022,0.239120036,0.743240178,0.0305773,14328,29360,24980,9780,11340,27950,30700,32950,124880,13590,,17290,19390,8770
12/02/2022,,,,,29550,24980,9780,11340,28170,30480,32750,124880,13590,,17290,19390,8770
13/02/2022,,,,,30090,24980,9800,11340,28540,30880,32750,124880,13590,,17290,19390,8770
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,30340,25070,9800,11340,30250,31090,32950,124880,13590,,17290,19200,8770
15/02/2022,0.238777444,0.742666125,0.030838501,14303,30130,25170,9800,11340,30250,31090,32950,124880,13590,,17290,19390,8770
16/02/2022,0.239017144,0.743649244,0.030916678,14260.59961,31700,24770,9820,11460,31820,33850,32710,124880,13700,,17730,20390,8770
17/02/2022,0.23903431,0.744596124,0.030959753,14274.40039,31260,24570,9820,11460,33820,35510,32310,124880,13700,,17730,20590,8770
18/02/2022,0.238948628,0.744712532,0.031149736,14348,30830,24720,9540,11280,32850,34050,31670,123630,13750,,18490,20490,8840
19/02/2022,,,,,30600,24950,9540,11280,32530,35070,31670,123630,13750,,18730,21230,8840
20/02/2022,,,,,31610,24760,9840,11460,33560,36690,32310,124880,13700,,17920,21190,8770
21/02/2022,0.23900573,0.742853701,0.031121623,14365.90039,31610,24480,9820,11390,33560,36690,32310,124880,13700,,16860,21590,8770
22/02/2022,0.239406273,0.742610991,0.031000063,14355,31610,24380,9840,11390,33650,36860,32310,124880,13700,,16730,21590,8770
23/02/2022,0.239062876,0.743240178,0.030848963,14395,31430,24580,9840,11390,33650,38020,32120,124880,13700,,16860,21380,8770
24/02/2022,0.23900573,0.742837191,0.030987574,14365,30480,25160,9840,11390,33010,37860,31530,124880,13700,,17080,21590,8770
25/02/2022,0.238180295,0.738001943,0.030772069,14452.5,30480,24870,9840,11390,32320,37950,31750,124880,13700,,16680,21590,8770
26/02/2022,,,,,30880,24870,9840,11390,32930,38120,31950,124880,13700,,16680,21380,8770
27/02/2022,,,,,31090,24870,9840,11410,32930,38120,32150,125860,13700,,16970,21380,8770
28/02/2022,0.238180295,0.735813498,0.030601626,14334.2002,30920,24870,9840,11410,34430,41860,32360,125860,13700,,17650,21380,8770
01/03/2022,0.238322213,0.73784405,0.030629748,14360,31890,24870,9800,11300,33820,43570,32980,125860,13600,,17510,21380,8770
02/03/2022,0.238635018,0.73674053,0.030556742,14425,31920,24770,9820,11300,35820,53430,33170,125860,13700,,16220,21900,8770
03/03/2022,0.238492742,0.738018274,0.03079292,14387.5,31920,24870,9820,11300,35790,53870,33170,125860,13700,,16220,21900,8770
04/03/2022,0.23900573,0.737300038,0.030715361,14358.40039,31920,24870,9820,11350,39770,56470,33190,125860,13700,,16850,22380,8770
05/03/2022,,,,,32890,24580,9840,11350,41110,59280,33400,125860,13700,,16500,22790,8770
06/03/2022,,,,,32620,24470,10030,11190,40200,58150,33240,124850,13620,,16990,23240,8840
07/03/2022,0.239463598,0.734246731,0.030581973,14381.7002,33090,25360,9840,11350,44430,59860,33380,126810,13700,,17440,24790,8770
08/03/2022,0.239549652,0.734306037,0.030295687,14406.40039,32900,25560,9860,11410,43400,60910,33380,126810,13700,,17250,24580,8770
09/03/2022,0.239234462,0.732509494,0.03012774,14362.7002,33350,25560,9860,11410,40430,60350,33380,126810,13700,,17440,24580,8770
10/03/2022,0.238948628,0.736865342,0.030327844,14251,32700,25920,9860,11410,43620,54930,33400,126810,13700,,17030,24780,8770
11/03/2022,0.238891557,0.73634994,0.030191412,14275,30680,27100,9860,11410,43430,54740,33400,126810,13700,,17540,23970,8770
12/03/2022,,,,,30640,26220,9670,11380,43650,54740,33400,125820,13700,,17580,23990,8770
13/03/2022,,,,,30640,26120,9690,11360,43650,54540,33400,125820,13700,,17580,24100,8770
14/03/2022,0.23854962,0.733837247,0.030064337,14325.5,30450,26510,9690,11360,41740,53870,32990,125820,13700,,16140,25210,8770
15/03/2022,0.237953603,0.731984019,0.029943706,14347.5,30700,26020,9610,11250,41720,50360,33600,124880,13600,,16140,23590,8770
16/03/2022,0.237812132,0.732477307,0.02984184,14305.2998,24060,27020,9610,11250,40750,49310,33590,124880,13700,,17350,23590,8770
17/03/2022,0.23866348,0.736236036,0.029992202,14263.5,28820,25920,9610,11250,41420,50070,33590,124680,13700,,17020,23390,8770
18/03/2022,0.238379017,0.738950789,0.030103253,14326,27960,26320,9610,11250,42410,51230,33190,124490,13700,,18290,23190,8770
19/03/2022,,,,,29040,26660,9640,11270,42500,51730,33600,124490,13700,,20090,23390,8770
20/03/2022,,,,,28690,26870,9660,11310,43430,52720,33580,124490,13700,,19890,23390,8770
21/03/2022,0.238606542,0.73737067,0.030021014,14342.2998,28500,26560,9700,11610,39750,48040,33480,123630,13620,,20890,23370,8720
22/03/2022,0.237953603,0.736377001,0.029777857,14345,27400,26310,9660,11290,41060,48220,34400,124880,13700,,21110,23290,8770
23/03/2022,0.237247914,0.736984849,0.029866796,14345.5,27960,27020,9590,11270,36600,40540,34590,124880,13790,,22940,23800,8770
24/03/2022,0.236854568,0.736545146,0.029738894,14389,27960,27020,9590,11170,36600,40540,34590,124880,13790,,22940,23800,8770
25/03/2022,0.236742422,0.73671335,0.029832046,14337.09961,27790,26930,9590,11170,37880,42500,34380,124880,13790,,22940,23590,8770
26/03/2022,,,,,27790,26930,9550,11170,37160,41770,34590,124880,13790,,22560,23590,8770
27/03/2022,,,,,29130,27910,9510,11150,37970,39880,34790,124880,13790,,20590,24190,8770
28/03/2022,0.237642571,0.736160219,0.029730937,14334,28960,27910,9510,11150,36320,38140,34790,124680,13790,,20980,24790,8770
29/03/2022,0.237304211,0.735050857,0.02959981,14373,28580,27910,9510,11150,36100,37700,34790,124490,13790,,21840,24980,8960
30/03/2022,0.237416908,0.737479448,0.029856985,14334,28400,27280,9510,11150,36000,37700,34580,124490,13790,,22030,24780,8960
31/03/2022,0.237953603,0.739355147,0.030012906,14327.5,28550,27060,9550,11150,30640,37490,34980,124880,13700,,21910,24400,8960
01/04/2022,0.237925291,0.738388836,0.030086048,14351,28170,27270,9570,11170,28530,37130,35190,124880,13700,,21910,24600,8960
02/04/2022,,,,,27710,26720,9570,11170,29490,38010,35580,124880,13800,,21910,24400,9060
03/04/2022,,,,,27550,26720,9570,11170,29950,38350,35370,124880,13800,,21910,24400,9060
04/04/2022,0.237642571,0.73713696,0.029868579,14361,27220,27120,9530,11170,35100,39870,36360,125820,13690,,22440,24400,9060
05/04/2022,0.237247914,0.73713696,0.029905202,14322.2998,27840,27220,9530,11170,36050,40820,36570,125820,13890,,22440,23990,9060
06/04/2022,0.237586126,0.735651135,0.029808924,14365.5,27490,27120,9530,11170,35380,41060,36570,124880,13890,,22450,23990,9180
07/04/2022,0.237360567,0.735121191,0.029787615,14382,27490,26720,9530,11170,34830,40100,36360,125820,14000,,22450,23990,9180
08/04/2022,0.237202913,0.734311461,0.029862335,14385,27490,28660,9430,11170,28900,32090,36570,125820,14090,,22450,24390,9460
09/04/2022,,,,,27670,28660,9430,11170,26650,29620,36960,125820,14090,,22450,24390,9460
10/04/2022,,,,,27670,28660,9430,11170,26650,29380,36750,125820,14090,,22450,24390,9460
11/04/2022,0.237022996,0.733492732,0.029812479,14355,26680,28000,9430,11170,25050,26810,36160,125820,14000,,22990,24390,9460
12/04/2022,0.236518443,0.732547045,0.029735355,14360.7002,27560,29490,9450,11170,25570,26500,36160,125820,14000,,22170,24190,9460
13/04/2022,0.23637867,0.73310554,0.029808924,14364.2002,27990,29680,9450,11170,23710,26070,36370,126980,14000,,22120,23800,9090
14/04/2022,0.236462519,0.734613478,0.029890897,14360.2002,27840,28780,9450,11210,23910,26070,36980,126980,14000,,22120,23990,9090
15/04/2022,0.236406624,0.737332582,0.029709736,14383.90039,28040,29020,9450,11170,23120,25070,36980,127940,13900,,21770,23490,8990
16/04/2022,,,,,28460,28300,9450,11170,22730,24710,36980,127940,13900,,21440,23680,8990
17/04/2022,,,,,28460,28520,9450,11170,22260,23840,36590,127940,13900,,21440,23790,8990
18/04/2022,0.236239091,0.736371577,0.029763676,14337,28150,28470,9450,11170,22090,23470,36590,126980,13900,,21530,23480,8990
19/04/2022,0.235183448,0.734645903,0.029688569,14353.7998,27400,28980,9490,10970,20480,20000,36240,125740,13870,,22720,23490,8870
20/04/2022,0.235128164,0.731197238,0.029609453,14364.90039,28150,28780,9450,11170,25370,23710,36590,127540,14000,,19250,24190,8900
21/04/2022,0.233699471,0.733621836,0.02960244,14351,28850,27670,9450,11170,25540,23710,36590,127540,14000,17010,24230,24790,8900
