Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,35510,32770,11270,12660,51800,98730,35990,126580,14480,,19750,32200,8990
02/01/2022,,,,,31850,29490,11010,12660,44860,98730,36480,130000,14000,,19750,30980,8360
03/01/2022,0.239520952,0.741729736,0.030201444,14215,34880,32180,11010,12390,44780,97420,37160,124900,14320,,19830,30860,9950
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,35260,32180,11010,12390,44780,95730,36180,127940,14320,,19830,30690,9520
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,35260,32180,11010,12390,43910,88960,36370,125900,14320,,19830,29880,10040
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,33490,32180,11010,12390,42940,80320,36180,125900,14320,,19830,29560,10040
07/01/2022,0.237473279,0.734786272,0.029803593,14408,30910,30100,11010,12470,36920,73340,35200,125900,13790,,19800,27520,9690
08/01/2022,,,,,33130,32180,11010,12390,42000,76210,35200,125900,14320,,19830,28960,10040
09/01/2022,,,,,33130,32180,11010,12390,40030,76210,35200,125900,14320,,19830,28450,10040
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,33130,32180,11010,12390,38030,71140,34990,125900,14140,,19830,27960,10040
11/01/2022,0.238208666,0.737577319,0.02974597,14313,33490,32180,11060,12480,38030,67490,37000,126860,14320,,19830,27260,10040
12/01/2022,0.23866348,0.740389705,0.030028228,14277,33200,31650,11070,12580,39870,71660,37770,128630,14380,,19800,26300,9690
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,33490,32180,11060,12480,38030,63490,36590,126860,14320,,20970,25720,10040
14/01/2022,0.239520952,0.742914438,0.030120481,14276,33490,32180,11060,12480,38030,62650,38430,125870,14320,,19830,25530,10040
15/01/2022,,,,,34240,33090,11280,12580,39870,63200,39340,124850,14380,,19800,25430,10270
16/01/2022,,,,,31140,30650,11360,12720,32240,56350,39340,124850,14000,,19750,23480,9870
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,34240,32640,10880,12190,36500,61280,38040,126130,14380,,19800,25880,9860
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,33490,32180,11060,12480,37060,61750,37220,124880,14320,,19830,25190,10040
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,33130,32030,11060,12480,37060,59470,38370,126900,14320,,19830,24820,10040
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,33130,32180,11060,12480,35330,59470,38390,124880,14320,,19480,24200,10040
21/01/2022,0.2388345,0.742451131,0.030383132,14343,32970,32180,11060,12480,36890,57370,38010,124880,14320,,19480,24020,10040
22/01/2022,,,,,33330,33090,11280,12580,38450,59080,38810,124850,14380,,19590,24770,10270
23/01/2022,,,,,32750,32180,11060,12480,37850,56460,38010,124880,14320,,19480,23850,10040
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,33130,32180,11060,12480,38830,55480,38010,124880,14320,,19320,24120,10040
25/01/2022,0.238863006,0.743306518,0.030309459,14365,33130,31820,11060,12480,37020,50850,37010,123940,14320,,19320,23590,10040
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,33800,32640,11170,12580,37130,53350,35250,122470,14380,,19190,23920,10270
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,32750,32180,11060,12480,36080,47400,37010,123940,14320,,19320,22990,10040
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,33520,32180,11060,12320,36580,46480,37010,123940,14320,,18980,22530,10040
29/01/2022,,,,,33520,32180,11060,12320,37530,45450,37010,123940,14320,,18980,22630,10040
30/01/2022,,,,,30940,30100,11070,12390,30770,38820,36590,123940,14000,,19190,20780,9690
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,33520,32180,11060,12320,37530,46480,36590,123940,14320,,18980,22280,10040
01/02/2022,0.23900573,0.739885747,0.030125925,14350,33520,32180,11060,12320,37020,46480,36590,123940,14320,,18980,22100,10040
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,33520,32180,11060,12320,36580,46480,36800,123940,14320,,18810,22280,10040
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,34390,32180,11060,12480,36890,45300,36300,123940,14320,,18820,22280,9520
04/02/2022,0.239120036,0.744031012,0.030236142,14377,34550,32180,11060,12480,38680,48860,36300,123940,14320,,18820,21750,9520
05/02/2022,,,,,32320,30100,11070,12580,33800,42340,35880,123940,14000,,18990,20390,9090
06/02/2022,,,,,35300,32180,11060,12480,39020,49430,35880,123940,14320,,18290,21750,9520
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,35830,32180,11060,12480,39020,49430,35530,123940,14320,,17950,21750,9520
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,35660,32180,11060,12480,40030,49050,35530,123940,14320,,17950,21750,9520
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,35660,32180,11060,12480,39020,49960,35310,123940,14320,,18960,21390,9520
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,36370,32180,11060,12480,39900,49920,34240,123940,14320,,18090,21390,9520
11/02/2022,0.239120036,0.743240178,0.0305773,14328,39370,32180,11060,12480,42000,51920,35310,123940,14320,,18270,21390,9520
12/02/2022,,,,,39270,32180,11060,12480,42200,51300,35310,123940,14320,,18270,21560,9240
13/02/2022,,,,,36540,30520,11070,12580,38550,46440,35530,123940,14000,,17940,20180,8770
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,39240,32560,11060,12480,43170,51750,35530,123940,14320,,18270,21650,9240
15/02/2022,0.238777444,0.742666125,0.030838501,14303,39710,32560,11060,12480,42780,51190,33730,123940,14400,,17950,21650,9240
16/02/2022,0.239017144,0.743649244,0.030916678,14260.59961,38510,32560,11060,12480,42780,51190,33330,123940,14400,,17790,21650,9240
17/02/2022,0.23903431,0.744596124,0.030959753,14274.40039,37290,32710,11060,12480,42580,50300,33730,123940,14400,,17790,21650,9240
18/02/2022,0.238948628,0.744712532,0.031149736,14348,38130,32560,11060,12480,42580,51300,33520,123940,14400,,17790,21740,9240
19/02/2022,,,,,38130,32180,11060,12480,42580,49870,33330,124920,14400,,17790,21740,9240
20/02/2022,,,,,38130,32560,11060,12480,42580,50760,33120,123940,14400,,17790,21920,9240
21/02/2022,0.23900573,0.742853701,0.031121623,14365.90039,38510,32180,11060,12480,43740,52320,33120,123940,14400,,17790,21920,9240
22/02/2022,0.239406273,0.742610991,0.031000063,14355,41160,32560,11060,12480,45790,57850,34160,124920,14480,,17930,22440,9240
23/02/2022,0.239062876,0.743240178,0.030848963,14395,41830,33090,11170,12580,48160,61780,33710,122470,14380,,18340,22750,9290
24/02/2022,0.23900573,0.742837191,0.030987574,14365,41520,32560,11060,12480,47520,60590,34380,127720,14650,,17930,22630,9240
25/02/2022,0.238180295,0.738001943,0.030772069,14452.5,41520,32560,11060,12480,46480,62310,34180,127720,14650,,17930,22800,9240
26/02/2022,,,,,41520,32910,11060,12480,47520,62310,34180,130660,14650,,17930,22630,9240
27/02/2022,,,,,41520,32910,11060,12480,47520,62310,34180,131690,14650,,17930,22620,9240
28/02/2022,0.238180295,0.735813498,0.030601626,14334.2002,41520,32910,11060,12480,48470,64150,34180,127480,14650,,17930,22790,9240
01/03/2022,0.238322213,0.73784405,0.030629748,14360,41520,32560,11060,12480,49320,66720,34380,127480,14650,,18280,23140,9240
02/03/2022,0.238635018,0.73674053,0.030556742,14425,41160,32180,11060,12480,50200,69140,34950,128060,14650,,18280,23330,9240
03/03/2022,0.238492742,0.738018274,0.03079292,14387.5,41160,32180,11060,12480,49320,67490,35150,131520,14650,,18280,23500,9240
04/03/2022,0.23900573,0.737300038,0.030715361,14358.40039,41520,32560,11060,12160,50110,70320,34790,136720,14650,,18280,23500,9240
05/03/2022,,,,,41400,32640,11170,12580,55990,77960,36660,131140,14580,,17960,23820,9290
06/03/2022,,,,,41160,32530,11060,12480,54940,80340,36320,134710,14650,,17790,24010,9240
07/03/2022,0.239463598,0.734246731,0.030581973,14381.7002,40600,32530,11060,12480,54850,77350,36120,134710,14820,,18280,24190,9240
08/03/2022,0.239549652,0.734306037,0.030295687,14406.40039,41160,34230,11060,12480,52930,76570,35900,132860,14820,,18280,25070,9240
09/03/2022,0.239234462,0.732509494,0.03012774,14362.7002,40810,32530,11060,12480,52930,77460,35900,132860,14820,,18280,25250,9240
10/03/2022,0.238948628,0.736865342,0.030327844,14251,40260,32910,11060,12480,51820,75140,35900,132860,14820,,18280,25250,9240
11/03/2022,0.238891557,0.73634994,0.030191412,14275,40260,32910,11060,12480,52600,75140,36110,132860,14820,,18280,25420,9240
12/03/2022,,,,,39520,32560,11060,12480,53780,75140,35520,132860,14820,,18280,25590,9240
13/03/2022,,,,,39520,32560,11060,12480,54640,73370,35550,132860,14820,,18280,25590,9240
14/03/2022,0.23854962,0.733837247,0.030064337,14325.5,40060,32560,11060,12480,55820,76630,35390,132860,14820,,18280,25590,9240
15/03/2022,0.237953603,0.731984019,0.029943706,14347.5,39900,32560,11060,12480,55820,76630,36330,134850,14820,,18600,25590,9240
16/03/2022,0.237812132,0.732477307,0.02984184,14305.2998,39900,32930,11060,12480,53980,74890,37320,134850,14820,,18110,25410,9240
17/03/2022,0.23866348,0.736236036,0.029992202,14263.5,39900,32560,11060,12480,50950,71190,36540,132860,14820,,18770,25410,9240
18/03/2022,0.238379017,0.738950789,0.030103253,14326,39900,32930,11060,12480,52930,69940,36910,132860,14820,,19060,25410,9240
19/03/2022,,,,,39900,32930,11060,12480,52100,70060,37320,132860,14820,,19480,25410,9240
20/03/2022,,,,,39020,32930,11060,12480,54940,71140,36910,135910,14980,,20130,24890,9330
21/03/2022,0.238606542,0.73737067,0.030021014,14342.2998,37420,32400,11490,12960,46900,67080,40000,134910,14490,,19440,23980,9220
22/03/2022,0.237953603,0.736377001,0.029777857,14345,38160,31580,10780,12410,50460,63590,36950,135910,14990,,19430,25340,9330
23/03/2022,0.237247914,0.736984849,0.029866796,14345.5,37980,31580,10530,12410,50460,62530,36950,135910,14990,,19430,25340,9240
24/03/2022,0.236854568,0.736545146,0.029738894,14389,37980,31580,10530,12410,49580,61700,36570,135910,14990,,19430,25160,9330
25/03/2022,0.236742422,0.73671335,0.029832046,14337.09961,37980,30780,10530,12410,48710,60810,36350,135910,14990,,19280,24990,9330
26/03/2022,,,,,37980,31580,10530,12410,47110,60390,36570,135910,14990,,18950,25160,9330
27/03/2022,,,,,37590,30940,10640,12500,48680,61630,37430,134910,14990,,18960,25600,9090
28/03/2022,0.237642571,0.736160219,0.029730937,14334,37980,31580,10530,12410,47870,59230,36740,136940,14990,,19280,25680,9420
29/03/2022,0.237304211,0.735050857,0.02959981,14373,38500,31580,10470,12380,46020,57860,36540,136940,14820,,19280,25700,9420
30/03/2022,0.237416908,0.737479448,0.029856985,14334,38500,31580,10470,12380,46020,57860,36740,136940,14820,,19280,25700,9420
31/03/2022,0.237953603,0.739355147,0.030012906,14327.5,38500,31580,10470,12380,46020,59650,36330,136940,14820,,19280,25700,9420
01/04/2022,0.237925291,0.738388836,0.030086048,14351,38830,31580,10470,12380,44510,58010,37350,136940,14990,,19280,25700,9740
02/04/2022,,,,,38830,32640,10470,12350,44510,58940,38840,136940,14990,,19810,25870,9740
03/04/2022,,,,,38830,32640,10470,12350,44510,58010,37530,136940,15150,,19770,26080,9740
