Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,23390,25130,9990,12090,26490,51740,37210,125410,12950,,18300,27350,7940
02/01/2022,,,,,23550,25380,10110,11980,26160,59810,36680,124910,13000,,18340,27280,7990
03/01/2022,0.239520952,0.741729736,0.030201444,14215,23730,25740,10080,12130,29080,66470,37690,126670,12950,,18360,27740,7940
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,23300,25240,10000,12090,28780,65410,37700,124900,12950,,18300,27250,7940
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,23640,25220,10080,12130,27890,64750,37720,126200,12950,,18190,27650,7940
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,23920,25340,9990,12090,26040,63750,38000,124900,13000,,18160,27150,7940
07/01/2022,0.237473279,0.734786272,0.029803593,14408,23700,25140,10000,12120,25230,64780,37990,124900,13000,,18210,27250,7940
08/01/2022,,,,,23490,25140,10000,12120,25410,57110,39120,124900,13000,,18210,27250,8030
09/01/2022,,,,,24310,25480,10170,12200,26940,63340,39270,126200,13000,,18000,27310,8070
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,24310,25220,10160,12170,27340,60990,41100,126200,13000,,18280,28990,8110
11/01/2022,0.238208666,0.737577319,0.02974597,14313,24970,25310,10430,12260,26390,60270,43100,126720,13000,,18210,27270,8240
12/01/2022,0.23866348,0.740389705,0.030028228,14277,24500,25650,10170,12070,25330,57090,43910,126200,13040,,18090,27200,8110
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,24590,25650,10170,12070,23830,53340,44100,126200,13040,,18280,26760,8110
14/01/2022,0.239520952,0.742914438,0.030120481,14276,24420,25650,10170,12070,23910,51300,42790,126200,13040,,18130,26580,8110
15/01/2022,,,,,24510,25650,10170,12130,25000,51900,44290,126200,13130,,18330,26760,8110
16/01/2022,,,,,24510,25650,10170,12120,25680,53690,44480,126200,13040,,18410,26530,8110
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,24040,25410,10170,12120,25850,47720,44300,125360,13090,,18410,26490,8110
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,23790,25500,10170,12170,25770,51200,44180,126200,13090,,18410,26390,8110
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,23790,25500,10170,12170,26030,46540,43770,126200,13180,,18410,26200,8110
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,23520,25410,10170,12170,24370,43380,44330,126200,13090,,18230,26020,8110
21/01/2022,0.2388345,0.742451131,0.030383132,14343,23050,25370,10170,12170,22980,43720,44130,126200,13130,,18300,25910,8110
22/01/2022,,,,,23160,25810,10300,12080,23770,47550,44460,125830,13250,,18270,25710,8180
