Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,24870,24340,10130,11610,30660,65210,35620,118710,12680,,19390,28960,8030
02/01/2022,,,,,24630,24510,10180,11560,29880,64400,35260,117630,12670,,19270,28130,8110
03/01/2022,0.239520952,0.741729736,0.030201444,14215,24810,24410,10230,11680,29730,66410,35260,118420,12680,,19150,26950,7910
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,24910,24360,10220,11630,29180,64760,35000,117590,12670,,18970,26380,7930
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,24580,24410,10230,11650,28270,58780,34830,118460,12680,,19200,25870,7970
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,24640,24540,10240,11650,27520,53600,34960,119070,12670,,19200,25130,7970
07/01/2022,0.237473279,0.734786272,0.029803593,14408,24590,24440,10230,11590,25730,50230,34830,118330,12690,,19200,24850,7950
08/01/2022,,,,,24230,24520,10250,11610,24940,45770,35000,118470,12690,,19120,24710,7990
09/01/2022,,,,,24110,24590,10330,11840,24520,45480,35370,118170,12680,,19200,24170,8060
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,24720,24180,10180,11590,20830,42600,35510,117670,12800,,19250,23690,8020
11/01/2022,0.238208666,0.737577319,0.02974597,14313,24350,24340,10250,11650,21550,41670,35940,117940,12870,,19270,23620,7950
12/01/2022,0.23866348,0.740389705,0.030028228,14277,24000,24210,10230,11670,19760,40250,36140,117640,13190,,19260,23180,8070
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,24000,24480,10210,11640,20110,40400,36370,117930,13240,,19320,22900,8140
14/01/2022,0.239520952,0.742914438,0.030120481,14276,23510,24070,10180,11640,19730,38400,36280,118560,13330,,19250,22720,8160
15/01/2022,,,,,23690,24150,10180,11600,19910,37990,36640,117870,13370,,19230,22240,8090
16/01/2022,,,,,24030,24400,10220,11650,21480,38360,36000,118440,13430,,19190,22150,8200
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,24440,24350,10160,11510,21720,38560,36950,118180,13510,,19320,21500,8280
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,23940,24760,10200,11570,22490,37580,36840,118170,13560,,19300,21410,8190
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,23860,24490,10160,11530,22500,36870,37050,117810,13680,,19070,21260,8250
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,24240,24750,10120,11530,22880,36050,37240,118140,13650,,18850,21170,8250
21/01/2022,0.2388345,0.742451131,0.030383132,14343,24170,24750,10100,11510,23010,34350,37040,117920,13760,,18720,21050,8280
22/01/2022,,,,,24570,24780,10070,11470,22700,33370,36900,118230,13680,,18440,21000,8330
23/01/2022,,,,,24010,24760,10080,11560,22860,30590,37050,117860,13690,,18510,21110,8270
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,23920,25120,10140,11530,23920,28320,36440,118240,13770,,18720,20740,8300
25/01/2022,0.238863006,0.743306518,0.030309459,14365,24100,24740,10110,11500,23920,28110,36520,118130,13810,,18770,20580,8280
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,24140,24620,10080,11490,23660,26960,36360,118250,13810,,18710,20410,8280
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,23990,24900,10080,11490,24000,26910,36100,118080,13790,,18920,20290,8310
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,23790,24540,10080,11520,23280,25930,35830,118210,13760,,18690,20070,8320
29/01/2022,,,,,23880,24480,10070,11480,23480,25900,35450,118170,13750,,18500,20030,8290
30/01/2022,,,,,23940,24520,10070,11460,23540,26120,35480,118280,13760,,18410,20040,8310
