Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,29640,28120,12300,13870,71580,127570,41950,140460,13320,,20170,30410,9100
02/01/2022,,,,,29610,28620,12390,13930,75430,122850,42630,142860,13400,,20150,30380,9200
03/01/2022,0.239520952,0.741729736,0.030201444,14215,29840,28200,12320,13840,71320,123450,41860,139470,13370,,20620,29730,9270
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,30110,28480,12340,14000,66440,124500,42330,142180,13310,,20130,30590,9280
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,30440,28430,12340,14000,68330,119000,42270,142180,13310,,20310,30720,9150
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,29920,28250,12340,14000,60750,113410,42700,142180,13240,,20240,30530,9150
07/01/2022,0.237473279,0.734786272,0.029803593,14408,29370,28100,12260,13920,60060,112510,42760,140230,13300,,20540,30590,9090
08/01/2022,,,,,30180,28200,12310,14000,65510,114230,42990,143700,13280,,20290,30760,9300
09/01/2022,,,,,30280,28420,12310,14000,58080,107870,41710,142560,13320,,20140,30760,9350
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,30070,28520,12260,13920,52090,101790,41430,140640,13400,,20580,30630,9300
11/01/2022,0.238208666,0.737577319,0.02974597,14313,31130,28390,12270,13910,48190,98300,42230,142560,13480,,20350,30540,9380
12/01/2022,0.23866348,0.740389705,0.030028228,14277,31130,28390,12270,13910,47770,97870,42330,142560,13450,,20350,30470,9380
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,30530,28240,12220,13830,43600,94520,41980,140640,13590,,20730,30290,9290
14/01/2022,0.239520952,0.742914438,0.030120481,14276,30800,28310,12270,13910,45470,97320,42020,142560,13720,,20280,30390,9380
15/01/2022,,,,,30800,28100,12270,13910,46260,96750,42270,142560,13790,,20350,30310,9450
16/01/2022,,,,,31200,28670,12330,13940,48170,96310,42600,143160,14160,,20530,29840,9570
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,30740,28690,12290,13940,47650,94930,42840,143160,14160,,20610,29920,9600
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,30390,28490,12310,13940,45640,92990,41880,142560,14200,,20560,29860,9420
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,30140,28590,12380,13940,45510,93390,41880,142560,14360,,20630,30040,9490
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,30140,28590,12380,13940,45410,92410,41940,142560,14400,,20630,29850,9450
21/01/2022,0.2388345,0.742451131,0.030383132,14343,30060,28400,12510,13980,42000,91680,42350,142760,14390,,20600,29460,9490
22/01/2022,,,,,30290,28590,12400,13940,44460,90990,42110,142560,14430,,20960,29610,9450
23/01/2022,,,,,30940,29250,12370,13930,50270,95760,43570,145710,14460,,20870,29710,9630
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,30060,28350,12400,13940,45220,89110,42440,142560,14430,,20960,29340,9450
25/01/2022,0.238863006,0.743306518,0.030309459,14365,30120,28680,12360,13890,43280,85650,42590,140640,14500,,21040,28740,9410
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,30980,28940,12390,13960,48330,87970,43730,144790,14420,,20790,28910,9550
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,30130,28260,12400,13890,43670,86910,42780,140640,14590,,20170,28310,9470
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,30130,28310,12400,13890,43380,87340,42870,140640,14590,,20170,28310,9490
29/01/2022,,,,,30680,28580,12470,13960,46150,88950,44140,143860,14600,,19930,28430,9610
30/01/2022,,,,,30050,28030,12440,13970,44670,85980,43890,142560,14550,,19940,28330,9480
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,30330,28170,12440,13970,43430,88530,43590,142770,14550,,19860,28330,9480
01/02/2022,0.23900573,0.739885747,0.030125925,14350,30350,28270,12400,13960,44320,89910,43990,142990,14630,,19310,28590,9450
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,30490,28190,12440,13970,43840,88320,43770,142770,14620,,19330,28390,9480
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,30280,27820,12400,13960,43190,82800,43540,143220,14430,,19010,28100,9530
04/02/2022,0.239120036,0.744031012,0.030236142,14377,30180,28050,12480,13960,43270,83680,43340,142230,14510,,19710,27890,9570
05/02/2022,,,,,30260,28130,12410,13960,46730,84930,44570,144240,14440,,19630,27790,9520
06/02/2022,,,,,31000,28310,12450,13970,49080,78680,44410,142770,14440,,19200,27630,9520
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,30810,28160,12410,13960,44150,80720,44580,142230,14480,,18970,27110,9520
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,30950,28290,12450,13970,44210,80560,45190,142770,14480,,19260,27540,9520
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,31640,28170,12410,13960,46790,80790,45220,144240,14400,,19250,27530,9560
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,31810,28230,12450,13970,45330,81410,44820,142770,14440,,19310,27130,9520
11/02/2022,0.239120036,0.743240178,0.0305773,14328,32420,28290,12430,13880,44900,80170,45000,140130,14430,,18860,26920,9440
12/02/2022,,,,,33210,28560,12400,13890,47250,79610,45450,141290,14400,,18940,26640,9490
13/02/2022,,,,,33930,28740,12470,13960,50190,82460,45820,143820,14320,,19180,26640,9600
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,34330,28530,12440,13980,46240,79770,45150,143170,14330,,19070,26510,9520
