Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,27450,28060,11850,13250,73790,97550,36400,136150,13110,,20320,29970,7940
02/01/2022,,,,,28180,28370,11710,13450,72230,90200,36660,136620,13770,,20740,29550,9440
03/01/2022,0.239520952,0.741729736,0.030201444,14215,28430,28980,11750,13390,67650,90790,36610,137090,13740,,21130,29340,8980
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,30220,31020,11720,13460,66110,98980,39550,137090,13840,,21490,31280,9570
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,30220,31020,11750,13370,64290,98240,38910,137090,13920,,21360,31470,9570
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,28500,28630,11790,13290,62180,94160,37380,137450,14010,,21530,29370,9440
07/01/2022,0.237473279,0.734786272,0.029803593,14408,27850,28540,11700,13280,61210,90010,35850,137090,13740,,21010,29570,8980
08/01/2022,,,,,27170,28480,11580,13160,56350,82430,36380,136620,13740,,21340,29300,8980
09/01/2022,,,,,29070,30470,11820,13160,57180,85440,38380,135950,13780,,20450,32480,9220
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,26950,30710,11800,13220,54120,79200,40730,135570,13960,,21860,32070,9320
11/01/2022,0.238208666,0.737577319,0.02974597,14313,29790,30230,11770,13120,56540,79270,39510,135650,13830,,21810,33120,9140
12/01/2022,0.23866348,0.740389705,0.030028228,14277,30630,30480,11890,13310,55820,73020,41410,136050,14010,,21520,34120,9420
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,30540,30890,11830,13230,57580,67980,42300,136830,14160,,21720,32730,9210
14/01/2022,0.239520952,0.742914438,0.030120481,14276,30790,30360,11890,13310,55630,64670,41370,136600,14240,,21840,30910,9300
15/01/2022,,,,,31460,30990,11880,13340,53840,47680,42460,136190,14550,,21430,30570,9620
16/01/2022,,,,,31430,30810,11890,13220,51860,63890,39280,136190,14380,,21830,31370,9060
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,30890,31490,11900,13370,51470,66910,40750,136360,14250,,21730,31070,9180
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,31490,31740,11910,13320,52980,63900,41440,136810,14210,,21680,30830,9200
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,31440,31670,11900,13340,50050,63120,39660,137160,14350,,21840,30750,9350
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,30520,30140,11750,13320,48770,59930,37560,137160,14450,,21520,28850,9040
21/01/2022,0.2388345,0.742451131,0.030383132,14343,31690,31120,11910,13430,50780,63410,39340,136810,14450,,21720,29870,9630
22/01/2022,,,,,31330,29670,11750,13390,49850,62390,37280,137070,14550,,21100,28170,8730
23/01/2022,,,,,31860,31410,11770,13280,53990,61440,39780,136810,14320,,21640,30710,8930
