Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,31650,26900,10240,12630,50180,136710,40280,134030,13240,,18960,29400,9810
02/01/2022,,,,,31320,26480,10240,12630,52240,129780,40590,134910,13080,,18560,28860,9810
03/01/2022,0.239520952,0.741729736,0.030201444,14215,31850,28200,10240,12630,52890,121590,41150,135760,13240,,19170,29400,10140
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,30610,26780,10240,12630,49490,119220,40650,133250,13240,,18630,28890,9810
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,30990,28030,10240,12630,50790,123320,40880,133250,13240,,18770,28580,9980
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,29970,27110,10300,12490,48880,120150,40760,132090,13480,,18910,29830,10210
07/01/2022,0.237473279,0.734786272,0.029803593,14408,30720,27300,10240,12630,48040,113840,42050,132450,13240,,18800,29660,10290
08/01/2022,,,,,30420,27140,10290,12530,46200,117010,42190,132090,13060,,18830,29970,10100
09/01/2022,,,,,30850,27400,10270,12500,43010,114060,41900,131360,13280,,18830,29970,10100
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,30570,26710,10210,12500,41470,105570,41000,131360,13280,,18670,29970,10100
11/01/2022,0.238208666,0.737577319,0.02974597,14313,31240,27690,10210,12490,43190,102260,42770,132090,13140,,19030,29850,10240
12/01/2022,0.23866348,0.740389705,0.030028228,14277,30900,27330,10210,12500,39170,86750,41800,132090,13140,,19030,29760,10100
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,30630,27490,10270,12500,38100,82630,42090,131360,13280,,19080,29620,10100
14/01/2022,0.239520952,0.742914438,0.030120481,14276,30870,27650,10350,12530,36400,85920,42800,131360,13350,,19030,29760,10240
15/01/2022,,,,,30610,27330,10350,12530,36440,82850,42230,131360,13480,,19030,29140,10240
16/01/2022,,,,,30590,27260,10350,12530,36440,83570,41920,132090,13350,,18850,29010,9820
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,30590,27600,10350,12530,36630,81260,41220,132090,13280,,18850,29010,9960
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,30590,27260,10350,12530,36850,81230,40460,131360,13420,,18850,29020,9820
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,31200,27920,10260,12610,37520,78540,41610,132090,13280,,18980,29010,10100
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,31380,28220,10210,12610,38390,79040,42400,132090,13630,,18340,28860,9960
21/01/2022,0.2388345,0.742451131,0.030383132,14343,31960,28110,10240,12630,45320,78300,41400,132450,13410,,18960,28360,9960
22/01/2022,,,,,31940,27810,10210,12530,45950,84660,40990,132090,13490,,18020,28840,10100
23/01/2022,,,,,32120,28090,10350,12530,47020,81650,40810,132090,13640,,18020,28610,10100
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,31900,27180,10410,12580,45310,78020,40840,131580,13580,,18020,28740,10120
25/01/2022,0.238863006,0.743306518,0.030309459,14365,31710,27260,10320,12530,41700,70970,42470,132090,13640,,18970,27360,10100
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,30980,27240,10350,12680,43850,72940,41380,132090,13640,,18610,27010,10100
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,31280,27680,10350,12680,43020,71570,41140,132090,13640,,18290,27010,10080
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,30870,27060,10350,12680,42460,69790,40350,131360,13640,,17440,27000,10220
29/01/2022,,,,,30870,27070,10350,12530,41110,67480,41380,131360,13640,,16530,26950,10220
30/01/2022,,,,,30320,27120,10410,12460,41280,69010,39600,131620,13580,,16960,26940,10090
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,32350,27200,10350,12680,39330,62670,40300,132090,13640,,15620,27010,10100
01/02/2022,0.23900573,0.739885747,0.030125925,14350,33090,27090,10350,12530,39660,56500,39540,132090,13640,,14640,26950,10240
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,33390,27450,10320,12680,39570,60980,40240,132090,13640,,14660,27100,10240
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,32810,28060,10320,12680,38900,59330,39830,132090,13640,,14660,26800,10240
04/02/2022,0.239120036,0.744031012,0.030236142,14377,32950,28130,10210,12410,35840,59310,40470,132450,13580,,14160,26730,10120
05/02/2022,,,,,34060,28110,10320,12490,38220,63410,40110,132090,13640,,14660,26420,10100
06/02/2022,,,,,34270,27340,10350,12490,39410,63300,39800,132090,13640,,14540,26410,10240
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,34200,27660,10320,12490,41230,62840,39810,132090,13640,,14510,25710,10380
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,34430,28190,10320,12350,43430,60280,40110,132090,13640,,14140,25710,10240
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,33680,27370,10320,12350,43010,62410,38890,132090,13640,,14140,25710,10380
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,34600,27950,10270,12350,43210,63770,38020,132090,13640,,14220,25620,10380
11/02/2022,0.239120036,0.743240178,0.0305773,14328,34640,27660,10350,12350,42610,64620,38320,131360,13640,,14190,25730,10380
12/02/2022,,,,,35390,28230,10350,12490,44830,61060,38630,128980,13640,,14280,25570,10380
13/02/2022,,,,,36120,27600,10240,12580,42220,59640,38930,132450,13580,,14370,25690,10280
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,38400,28210,10350,12350,46930,65780,38690,132090,13640,,14280,25570,10380
15/02/2022,0.238777444,0.742666125,0.030838501,14303,38240,27510,10350,12350,44660,63770,39140,132090,13640,,14280,25560,10380
