Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,22720,25750,10340,11470,39510,54080,34240,128670,13150,,18690,30270,8340
02/01/2022,,,,,23610,25310,10240,11530,36090,59010,33860,127890,13290,,18710,29290,8270
03/01/2022,0.239520952,0.741729736,0.030201444,14215,23000,25180,10290,11480,35970,58900,33140,125850,13200,,18630,29250,8180
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,22930,24710,10190,11500,31950,54580,33330,124480,13270,,18630,28890,8420
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,23670,24780,10220,11530,29800,54000,32920,124920,13350,,18620,28610,8350
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,22970,24600,10350,11530,28930,56490,32550,124920,13280,,18650,28630,8230
07/01/2022,0.237473279,0.734786272,0.029803593,14408,23770,24810,10300,11560,28310,56940,32370,125660,13360,,18640,28720,8120
08/01/2022,,,,,23540,24020,10350,11710,28630,56090,32560,125380,13150,,18840,28470,8450
09/01/2022,,,,,23430,25140,10400,11700,27950,58220,32800,126380,13300,,18750,28180,8320
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,23420,24900,10390,11500,26090,56780,32980,125550,13130,,19050,27600,8170
11/01/2022,0.238208666,0.737577319,0.02974597,14313,23140,24830,10210,11590,25620,59760,33030,124500,13220,,18880,26970,7990
12/01/2022,0.23866348,0.740389705,0.030028228,14277,23360,25100,10160,11550,25860,56100,33100,126270,13200,,19050,26670,8040
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,23270,25060,10330,11640,25080,54100,33150,125510,13220,,18910,26210,8150
14/01/2022,0.239520952,0.742914438,0.030120481,14276,23210,25000,10290,11670,24770,52570,33430,126130,13410,,18840,25850,8200
15/01/2022,,,,,23000,24630,10330,11780,23950,53480,34090,125210,13480,,19010,25610,8310
16/01/2022,,,,,22690,24830,10370,11690,23160,54850,33800,125860,13330,,18840,25220,8180
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,22220,24500,10380,11710,24190,53360,33310,124070,13130,,18470,25310,8240
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,23230,24960,10440,11860,24510,54360,34560,125500,13370,,19020,25480,8210
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,22590,24070,10580,11860,24580,54660,33950,125460,13470,,18630,24460,8380
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,22730,24010,10700,12000,25430,54100,33900,125460,13420,,17760,24310,8300
21/01/2022,0.2388345,0.742451131,0.030383132,14343,22650,24180,10690,12000,25660,55010,34600,126330,13530,,18150,24510,8170
22/01/2022,,,,,22700,24180,10750,11970,25340,51630,33990,125150,13550,,18560,24360,8360
23/01/2022,,,,,23210,24230,10620,11970,26370,48310,33880,125460,13510,,18390,24060,8400
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,23310,23960,10650,11880,28170,47680,34210,125150,13480,,18660,23770,8330
25/01/2022,0.238863006,0.743306518,0.030309459,14365,22870,24260,10660,11980,28590,48810,33960,126330,13360,,18440,23910,8350
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,23570,24290,10600,11880,29440,47180,33640,125460,13510,,18360,23780,8440
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,24040,24560,10580,11990,28070,45550,33610,125860,13610,,17850,23200,8440
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,23540,24610,10560,11910,28370,45650,33410,125460,13680,,18280,22810,8470
29/01/2022,,,,,23760,25100,10430,11860,28960,43740,33940,124840,13870,,18330,22650,8400
30/01/2022,,,,,23610,24520,10570,11910,28500,43200,32740,125460,13750,,18360,22500,8470
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,23810,24580,10570,11910,28070,43690,32670,125460,13940,,18360,22210,8440
01/02/2022,0.23900573,0.739885747,0.030125925,14350,23550,24380,10570,11870,27070,42070,32530,125460,13940,,18200,22040,8440
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,23780,24230,10570,11910,26020,41890,32650,125790,13940,,18010,22100,8440
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,24180,24220,10510,11800,23630,41860,31910,124840,13780,,18290,21520,8440
04/02/2022,0.239120036,0.744031012,0.030236142,14377,25440,24510,10530,11880,23640,40980,32320,126580,13860,,18240,21640,8410
05/02/2022,,,,,26200,24970,10490,11810,25480,41520,32780,126580,13930,,18280,21600,8340
06/02/2022,,,,,25830,24630,10520,11820,24620,40860,32430,126130,13940,,17760,21210,8410
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,25670,24450,10460,11810,25090,40250,32720,125200,14050,,17820,21150,8410
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,26390,24520,10550,11820,26980,42330,32240,126130,13940,,17870,21080,8420
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,26890,24450,10530,11750,27570,41840,32350,126330,13850,,17640,20690,8370
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,27370,24480,10490,11810,28100,40250,31280,126580,13830,,17710,20840,8490
11/02/2022,0.239120036,0.743240178,0.0305773,14328,26900,25070,10560,11880,29860,41760,31380,126710,13860,,17470,20990,8450
12/02/2022,,,,,27570,25180,10520,11820,30390,41890,31780,126130,13870,,18060,21120,8420
13/02/2022,,,,,29030,25230,10510,11830,31330,42820,31830,126130,14040,,18140,20650,8440
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,29650,25490,10520,11770,31020,43230,31990,126130,14040,,18180,20650,8480
15/02/2022,0.238777444,0.742666125,0.030838501,14303,29610,25480,10500,11790,31180,42840,31730,126130,14040,,18390,20650,8480
16/02/2022,0.239017144,0.743649244,0.030916678,14260.59961,29870,25340,10490,11780,30960,43480,31730,126130,14140,,19080,20820,8440
17/02/2022,0.23903431,0.744596124,0.030959753,14274.40039,29950,25420,10480,11780,30690,44450,31790,126130,14170,,19670,20720,8480
18/02/2022,0.238948628,0.744712532,0.031149736,14348,30420,25150,10490,11790,30180,43980,31650,126130,14140,,19670,20590,8480
19/02/2022,,,,,30720,25480,10480,11710,29800,43980,31510,126130,14240,,20250,20530,8480
20/02/2022,,,,,29890,25510,10340,11660,28310,42760,31090,127310,14330,,21280,20840,8550
21/02/2022,0.23900573,0.742853701,0.031121623,14365.90039,29280,25350,10290,11660,27650,42550,31230,126950,14240,,20720,21000,8510
22/02/2022,0.239406273,0.742610991,0.031000063,14355,29650,25530,10380,11690,27810,41540,31640,125920,14230,,20350,21070,8550
23/02/2022,0.239062876,0.743240178,0.030848963,14395,30880,25210,10430,11740,27370,41430,31020,127490,14360,,21650,21310,8590
24/02/2022,0.23900573,0.742837191,0.030987574,14365,31010,24980,10330,11650,27080,40520,30050,126810,14240,,21010,21540,8510
25/02/2022,0.238180295,0.738001943,0.030772069,14452.5,31800,24700,10320,11630,29300,42110,31240,126580,14260,,21460,21290,8510
26/02/2022,,,,,32340,25220,10330,11690,29800,43050,31670,127810,14280,,21140,21400,8510
27/02/2022,,,,,32130,25180,10310,11670,30450,42590,31520,129130,14280,,20490,21540,8510
28/02/2022,0.238180295,0.735813498,0.030601626,14334.2002,31170,25130,10230,11570,30720,43240,31420,128260,14030,,20100,21780,8510
01/03/2022,0.238322213,0.73784405,0.030629748,14360,31810,25070,10310,11720,31140,43490,31800,129790,14030,,20890,21700,8480
02/03/2022,0.238635018,0.73674053,0.030556742,14425,33230,25810,10330,11680,32610,43770,31640,129160,14180,,20720,22000,8540
03/03/2022,0.238492742,0.738018274,0.03079292,14387.5,32660,25740,10400,11680,33150,44310,31650,130910,14220,,21090,22070,8540
04/03/2022,0.23900573,0.737300038,0.030715361,14358.40039,33430,25670,10280,11650,35690,45000,31880,132010,14180,,21100,22000,8510
05/03/2022,,,,,32860,25170,10380,11750,36370,46850,32230,131890,14250,,21050,22920,8620
06/03/2022,,,,,32550,25060,10290,11640,35370,45790,32050,131600,14230,,20980,21930,8580
07/03/2022,0.239463598,0.734246731,0.030581973,14381.7002,33010,25470,10330,11630,35470,46670,31880,130830,14220,,21020,22250,8540
08/03/2022,0.239549652,0.734306037,0.030295687,14406.40039,32920,25720,10270,11630,35620,46750,31880,130810,14220,,20780,22520,8550
09/03/2022,0.239234462,0.732509494,0.03012774,14362.7002,33530,26510,10300,11630,36160,46320,31880,131840,14200,,20980,22830,8540
10/03/2022,0.238948628,0.736865342,0.030327844,14251,33790,26100,10310,11610,36450,47830,32680,130630,14270,,20930,22730,8550
11/03/2022,0.238891557,0.73634994,0.030191412,14275,34180,26380,10260,11600,37470,46970,32120,131290,14090,,20930,23490,8620
12/03/2022,,,,,33980,26380,10320,11610,38830,47890,32130,131450,14090,,20530,23540,8540
13/03/2022,,,,,32800,26460,10310,11650,37870,46960,31890,131800,14140,,20270,23570,8620
14/03/2022,0.23854962,0.733837247,0.030064337,14325.5,31820,26690,10330,11630,38400,46570,32100,131190,14120,,20360,23910,8540
15/03/2022,0.237953603,0.731984019,0.029943706,14347.5,31010,27180,10340,11630,39580,46720,32120,131890,14090,,20090,24110,8500
16/03/2022,0.237812132,0.732477307,0.02984184,14305.2998,31270,27530,10310,11690,39460,47500,32490,132200,14030,,19810,24130,8440
17/03/2022,0.23866348,0.736236036,0.029992202,14263.5,31590,27260,10290,11570,39880,46170,32050,130950,14030,,20660,23980,8500
