Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,41560,41320,12790,14190,65950,111340,43870,119720,14790,,19320,35680,9690
02/01/2022,,,,,41300,40190,12740,14160,67380,107240,43200,125300,14830,,19890,35560,9740
03/01/2022,0.239520952,0.741729736,0.030201444,14215,41640,39950,12710,13990,69940,100370,44430,119790,15140,,20550,34670,9780
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,43990,41630,12640,13990,75210,97480,46300,124400,15280,,19100,34310,9780
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,43160,40720,12780,14140,69260,88180,43940,119790,15140,,20550,34590,9780
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,44400,41630,12780,14140,68620,85610,43040,119790,14290,,20550,35860,9780
07/01/2022,0.237473279,0.734786272,0.029803593,14408,45180,42850,12830,14160,66350,79660,44430,126660,14170,,20170,35970,9740
08/01/2022,,,,,45570,42260,12640,13990,68990,81350,44930,119830,14290,,19530,34970,9780
09/01/2022,,,,,46570,43610,12660,13990,68830,80000,45800,125300,14990,,19000,35620,9740
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,44530,41710,12740,14160,62680,77760,42810,119790,14830,,19980,35530,9740
11/01/2022,0.238208666,0.737577319,0.02974597,14313,47260,43290,12920,14160,63700,75630,42810,126660,14660,,21110,39370,9830
12/01/2022,0.23866348,0.740389705,0.030028228,14277,45840,41890,12810,14120,62780,83480,43920,119830,15110,,20910,35580,9810
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,47230,43360,12720,13990,65980,86150,46500,119830,15210,,21120,34540,10030
14/01/2022,0.239520952,0.742914438,0.030120481,14276,45910,42440,12740,13990,65190,86840,46340,123760,15290,,21080,34290,10030
15/01/2022,,,,,47080,42440,12640,13890,61860,83260,46340,119860,15290,,21080,34710,10210
16/01/2022,,,,,46450,41880,12640,13890,61860,84380,45090,125310,15290,,20160,34480,10210
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,46450,41960,12640,13890,61880,83020,46340,121610,15290,,21080,34450,10210
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,45970,42460,12640,13890,63570,81550,46340,126220,15290,,21080,34450,10210
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,45970,42460,12580,13890,58770,76700,46340,121940,15290,,19890,34320,10210
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,46560,42190,12640,13890,62520,79010,46340,121610,15290,,21080,33970,10210
21/01/2022,0.2388345,0.742451131,0.030383132,14343,46340,41510,12550,13860,60820,71170,45070,125310,15110,,20000,34580,10030
22/01/2022,,,,,46730,41890,12600,13770,62520,75430,46080,121940,15320,,21890,33570,10230
23/01/2022,,,,,45840,41040,12560,13840,63260,70590,47810,121940,15270,,20470,33380,10300
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,46410,41890,12600,13880,59830,69440,45600,121610,15210,,20500,33930,10030
25/01/2022,0.238863006,0.743306518,0.030309459,14365,46210,41690,12640,13890,61140,71120,46460,126220,15290,,21080,33510,10210
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,45730,41690,12640,13890,66290,68290,46660,121610,15290,,21080,33510,10210
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,45730,42250,12640,13890,52650,68290,46660,121610,15290,,21080,33510,10210
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,44890,42090,12600,13880,65680,70700,47740,124550,15320,,21140,33330,10350
29/01/2022,,,,,46760,42760,12640,13890,66290,68290,46660,121610,15290,,21080,33510,10210
30/01/2022,,,,,46760,42250,12640,13890,66290,68290,46660,125310,15290,,21080,33410,10210
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,46270,42250,12640,13890,66610,70650,46660,121610,15290,,21080,32740,10210
01/02/2022,0.23900573,0.739885747,0.030125925,14350,46020,41960,12600,13880,65870,72890,46620,125310,15210,,21150,32760,10290
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,47170,42510,12600,13880,64460,64510,45820,121610,15210,,20970,32110,10090
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,46560,41180,12660,13880,65030,68650,46910,122430,15320,,21340,31880,10290
04/02/2022,0.239120036,0.744031012,0.030236142,14377,47450,43260,12530,13890,63020,71430,46760,125310,15290,,21500,31510,10260
05/02/2022,,,,,47170,43070,12600,13880,64970,75660,46300,121610,15210,,21150,31320,10290
06/02/2022,,,,,46400,42760,12640,13890,64460,75600,46660,125310,15290,,21500,32540,10260
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,46950,42760,12640,13890,64460,76120,46660,121610,15290,,21500,31420,10260
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,46950,42760,12640,13890,64460,76120,46760,125310,15290,,21500,31420,10260
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,47450,43720,12640,13890,65330,75230,46760,121610,15290,,21500,31420,10260
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,47730,44810,12600,13880,67300,77140,47850,120000,15320,,21620,31420,10410
11/02/2022,0.239120036,0.743240178,0.0305773,14328,48360,44150,12600,13880,62040,70370,45920,125310,15210,,20970,31130,10090
12/02/2022,,,,,47730,44150,12720,13880,64830,77140,46620,121940,15320,,21450,31500,10290
13/02/2022,,,,,47170,42510,12720,13990,61530,74720,46960,126220,15210,,21450,31770,10090
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,47450,42250,12640,13890,64980,76890,46760,121610,15290,,21600,31050,10260
15/02/2022,0.238777444,0.742666125,0.030838501,14303,47450,42250,12640,13890,64840,76890,46760,125310,15390,,21080,30080,10260
16/02/2022,0.239017144,0.743649244,0.030916678,14260.59961,47730,43070,12660,13880,68910,77700,47580,121940,15320,,21450,30500,10400
17/02/2022,0.23903431,0.744596124,0.030959753,14274.40039,46940,41680,12600,13880,70820,72890,45920,121610,15210,,20500,29850,10090
18/02/2022,0.238948628,0.744712532,0.031149736,14348,47240,42510,12640,13890,71230,80630,46760,125310,15290,,21080,29870,10360
19/02/2022,,,,,47240,42060,12640,13890,71230,78340,46760,121610,15290,,21080,29870,10360
20/02/2022,,,,,47500,42860,12660,13880,74010,73580,47580,126220,15320,,21450,30270,10290
21/02/2022,0.23900573,0.742853701,0.031121623,14365.90039,47820,42210,12620,13860,74710,78090,48470,121940,15360,,21640,30570,10450
22/02/2022,0.239406273,0.742610991,0.031000063,14355,47240,42060,12640,13890,74100,63230,44010,125310,15180,,21600,29980,10360
23/02/2022,0.239062876,0.743240178,0.030848963,14395,47240,42560,12640,13890,73200,81440,46760,121610,15180,,21600,29980,10360
24/02/2022,0.23900573,0.742837191,0.030987574,14365,47450,42760,12640,13890,76000,83080,46760,121610,15290,,21600,30190,10360
25/02/2022,0.238180295,0.738001943,0.030772069,14452.5,47450,42760,12640,13890,76300,82580,46760,125310,15290,,21600,28540,10360
26/02/2022,,,,,47450,42210,12680,13860,80660,87560,46220,121940,15240,,21040,30640,10450
27/02/2022,,,,,47450,42250,12640,13890,77200,79720,46760,125310,15290,,21600,30190,10360
28/02/2022,0.238180295,0.735813498,0.030601626,14334.2002,47740,42530,12640,13890,76390,80540,46760,121610,15290,,21600,30090,10360
01/03/2022,0.238322213,0.73784405,0.030629748,14360,48250,42530,12640,13890,78860,79310,46760,125310,15290,,21600,29770,10360
02/03/2022,0.238635018,0.73674053,0.030556742,14425,49260,42820,12600,13880,81050,78210,45920,123240,15210,,21070,30100,10190
03/03/2022,0.238492742,0.738018274,0.03079292,14387.5,48250,42530,12640,13890,80810,81630,46760,123240,15290,,21780,30090,10360
04/03/2022,0.23900573,0.737300038,0.030715361,14358.40039,48250,43030,12640,13890,79960,80340,46760,126040,15290,,21780,30090,10360
05/03/2022,,,,,48040,45260,12560,13840,86080,84640,46270,122940,15130,,20310,30500,10250
06/03/2022,,,,,47180,41960,12640,13890,77650,80860,46760,126040,15290,,21600,30200,10360
07/03/2022,0.239463598,0.734246731,0.030581973,14381.7002,49480,42820,12600,13880,79740,82660,45920,122440,15210,,21070,30470,10190
08/03/2022,0.239549652,0.734306037,0.030295687,14406.40039,49480,43380,12600,13880,76900,82660,45920,125310,15210,,21070,30470,10190
09/03/2022,0.239234462,0.732509494,0.03012774,14362.7002,48270,42320,12600,13880,74470,90460,46960,121610,15550,,21250,28790,10400
10/03/2022,0.238948628,0.736865342,0.030327844,14251,49480,43380,12600,13880,77210,86470,45920,121610,15210,,21070,30470,10190
11/03/2022,0.238891557,0.73634994,0.030191412,14275,48440,43540,12640,13890,76790,85800,46760,125310,15290,,22230,30420,10360
12/03/2022,,,,,48950,44000,12640,13890,75890,89350,46760,121610,15290,,22420,30710,10360
13/03/2022,,,,,50060,45060,12600,13880,72430,86470,45920,125310,15320,,21960,30470,10190
14/03/2022,0.23854962,0.733837247,0.030064337,14325.5,48450,43470,12680,13990,74900,89580,46590,121940,15240,,21360,30680,10220
15/03/2022,0.237953603,0.731984019,0.029943706,14347.5,49840,43640,12600,13880,74340,84950,45920,125310,15320,,21960,30790,10220
16/03/2022,0.237812132,0.732477307,0.02984184,14305.2998,49090,45460,12550,13860,75650,92860,47590,120000,15360,,21670,30300,10590
17/03/2022,0.23866348,0.736236036,0.029992202,14263.5,50200,44290,12600,13880,73510,80430,45920,121610,15320,,21960,28980,10190
18/03/2022,0.238379017,0.738950789,0.030103253,14326,49070,43840,12640,13890,69940,82920,46760,125310,15490,,22610,30280,10360
19/03/2022,,,,,49070,44360,12640,13890,71650,85120,46760,121610,15390,,22610,29960,10360
20/03/2022,,,,,50200,44290,12600,13880,71200,84300,45920,123760,15320,,22080,30790,10190
