Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,24830,32900,11310,12540,52870,59480,50420,114080,14820,,21390,37520,9800
02/01/2022,,,,,29660,35800,11390,12530,58600,60490,46920,113390,14490,,23630,37280,9190
03/01/2022,0.239520952,0.741729736,0.030201444,14215,24780,32270,10930,12370,42930,44570,44460,109760,14640,,20770,36480,9710
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,25870,33230,10960,12380,44220,44750,44390,107090,14560,,21260,36320,9480
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,26000,33230,10850,12420,46760,50570,44330,109910,14630,,20740,35450,9430
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,25230,33320,10870,12370,47620,49900,43430,108480,14450,,20860,34810,8870
07/01/2022,0.237473279,0.734786272,0.029803593,14408,25070,32770,10740,12280,45360,48300,43280,108240,14410,,20520,34390,9140
08/01/2022,,,,,24340,33500,10870,12390,41840,47190,42630,105180,14360,,20400,34620,8660
09/01/2022,,,,,26180,34790,11260,12650,52010,54030,47520,111710,14280,,22910,36230,8920
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,26110,33860,10960,12370,46240,46880,42410,107770,14480,,20260,34560,9440
11/01/2022,0.238208666,0.737577319,0.02974597,14313,25230,32830,10840,12560,40790,45150,44360,109460,14630,,20840,33230,9900
12/01/2022,0.23866348,0.740389705,0.030028228,14277,25760,33190,10860,12560,46700,49780,45610,109730,14750,,21130,33450,9760
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,25140,32790,10740,12500,44870,48630,45190,109270,14820,,20800,32810,9810
14/01/2022,0.239520952,0.742914438,0.030120481,14276,25000,33090,10750,12580,45820,48840,45930,110040,14810,,21490,32820,9960
15/01/2022,,,,,25040,33560,10840,12660,47960,47890,47690,111070,14640,,21750,33120,9660
16/01/2022,,,,,24000,33890,10960,12870,46520,44520,45720,111870,14530,,22300,33900,9400
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,25230,33750,10840,12580,46060,46720,46480,108900,14810,,21160,33820,9790
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,25020,33740,10760,12530,48410,46290,45500,109220,14740,,21460,33000,9560
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,25900,33580,10810,12530,50760,50210,45280,108960,14790,,22020,31840,9560
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,25450,33220,10790,12500,49940,49770,45810,108970,14870,,22020,32780,9690
21/01/2022,0.2388345,0.742451131,0.030383132,14343,25930,33430,10830,12560,48970,48110,46680,109720,14860,,21860,31830,9580
22/01/2022,,,,,25940,32960,10870,12550,49320,48730,44460,109250,14850,,22050,31920,9630
23/01/2022,,,,,26000,33360,10850,12610,46790,52170,44700,109690,14690,,21490,30440,9390
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,26170,32750,10840,12470,46380,45580,45270,109440,14870,,21930,30880,9680
25/01/2022,0.238863006,0.743306518,0.030309459,14365,26730,32960,10940,12480,47130,46250,44730,109440,14920,,21840,30670,9680
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,26490,33120,10790,12400,45940,45340,45280,108840,14910,,21600,30300,9660
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,26050,33010,10900,12450,46420,45170,44900,109320,14800,,21180,29890,9630
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,26350,32760,10830,12480,46360,44740,45540,108900,14900,,21520,30350,9690
29/01/2022,,,,,25420,32110,10820,12510,46840,44310,46300,109670,14730,,21400,30700,9770
