Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,48610,41210,12390,14810,86390,105460,44810,139560,14780,,18980,38110,10550
02/01/2022,,,,,50160,44050,12950,15310,75750,100990,43750,137050,15490,,19970,37930,10380
03/01/2022,0.239520952,0.741729736,0.030201444,14215,49510,41580,12910,15000,68260,96970,43910,137110,15330,,19220,36440,10260
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,49670,41290,12910,15000,69250,93580,43750,139710,14630,,19290,36740,10340
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,46590,39790,12820,14820,66910,98180,42830,141280,15210,,19240,35790,10240
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,49080,40710,12810,15010,65010,90110,43290,137540,15320,,19330,36270,10370
07/01/2022,0.237473279,0.734786272,0.029803593,14408,49440,40030,12770,15000,67200,90510,43600,139710,15280,,19400,37110,10340
08/01/2022,,,,,49830,42250,12910,15190,63630,88060,44490,138780,15320,,19960,37120,10280
09/01/2022,,,,,49220,41410,12920,15390,70280,88680,43290,135720,15400,,19870,36520,10460
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,49130,41530,13010,14930,60650,89280,43960,141950,15280,,19460,36270,10370
11/01/2022,0.238208666,0.737577319,0.02974597,14313,49390,41200,13010,15010,59630,95630,43300,139640,15180,,19680,36490,10280
12/01/2022,0.23866348,0.740389705,0.030028228,14277,48380,39590,13000,15010,58790,93430,43880,139640,15280,,20220,36440,10390
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,48680,40060,13100,15010,56040,92340,43300,139640,15280,,19510,36550,10370
14/01/2022,0.239520952,0.742914438,0.030120481,14276,49460,40060,13210,15120,53970,90260,44400,139610,15260,,20080,36550,10310
15/01/2022,,,,,48930,39740,13080,14870,57690,96780,43660,139640,15170,,19670,36590,10240
16/01/2022,,,,,50160,40970,13120,15230,59130,100200,44350,138170,15410,,20370,37120,10440
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,49330,41170,12910,14930,55010,90110,42740,138410,15390,,19830,36100,10370
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,49330,41170,13110,14930,55330,89690,42740,138480,15390,,19830,35880,10370
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,49330,41570,13260,15000,55350,87490,42080,135360,15390,,19830,35600,10400
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,49330,40240,13260,15080,58980,87910,42660,138480,15390,,19830,35990,10400
21/01/2022,0.2388345,0.742451131,0.030383132,14343,49020,40350,13260,15080,55130,87960,42660,138480,15490,,19830,35990,10400
22/01/2022,,,,,49280,40240,13370,15080,56720,69280,42750,139490,15540,,19830,36370,10400
23/01/2022,,,,,49540,40420,13610,15050,64640,86670,43480,139460,15560,,19900,36370,10490
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,48120,40290,13370,15080,55280,78400,42750,139510,15490,,19910,36370,10400
25/01/2022,0.238863006,0.743306518,0.030309459,14365,47500,39500,13040,14750,53210,75620,43800,139390,15620,,20240,36270,10290
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,47680,39530,13370,15080,57210,75060,42750,139010,15600,,20290,36370,10500
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,48150,39600,13370,15080,58910,74000,42830,138480,15600,,20520,36060,10530
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,48150,39730,13450,15080,57510,73000,42830,138480,15490,,19850,35900,10530
29/01/2022,,,,,46790,38700,13130,15000,53700,68040,40600,134780,15490,,19830,34590,10580
30/01/2022,,,,,48060,40420,13560,15060,63090,73560,42690,137520,15480,,19690,35170,10730
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,47770,38830,13370,15000,57880,69490,43130,139000,15490,,19850,35760,10530
01/02/2022,0.23900573,0.739885747,0.030125925,14350,48080,39980,13500,15000,60030,73710,43830,140100,15550,,19480,35520,10580
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,47350,40050,13450,15160,57260,69090,43160,139150,15490,,19960,35850,10530
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,46890,39630,13380,15080,59800,68480,43160,139150,15490,,19720,35850,10530
04/02/2022,0.239120036,0.744031012,0.030236142,14377,48410,39630,13380,15160,58140,69050,42960,139150,15600,,19570,35670,10480
05/02/2022,,,,,47570,40060,13290,15000,57540,68670,43010,140650,15560,,19050,36130,10340
06/02/2022,,,,,48060,40730,13430,15160,59500,68700,43090,137720,15640,,19090,34960,10670
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,47080,39570,13310,15150,58120,66140,43530,138110,15600,,19720,35830,10690
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,46890,39440,13310,15150,62030,71180,43880,138270,15600,,19720,35830,10600
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,45850,39440,13310,15150,61540,68960,43410,138430,15640,,19600,35670,10600
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,47260,39910,13390,15350,58030,68060,43460,134730,15620,,19950,35120,10570
11/02/2022,0.239120036,0.743240178,0.0305773,14328,47480,39440,13340,15230,61300,67960,43510,138430,15600,,19600,35540,10600
12/02/2022,,,,,48220,40120,13470,15160,59530,70050,42890,135980,15680,,19280,34420,10770
13/02/2022,,,,,48560,40500,13630,15260,64520,71460,44140,138120,15640,,19250,35400,10800
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,47620,40130,13370,15190,59220,68960,44560,140010,15560,,19470,35750,10540
15/02/2022,0.238777444,0.742666125,0.030838501,14303,48810,41970,13320,15060,60790,69010,42510,137320,15680,,19830,34960,10860
16/02/2022,0.239017144,0.743649244,0.030916678,14260.59961,47920,41480,13370,15140,62100,69710,43310,138970,15600,,19750,35220,10780
17/02/2022,0.23903431,0.744596124,0.030959753,14274.40039,47960,41040,13370,15140,61370,60030,43310,137940,15600,,19020,35220,10780
18/02/2022,0.238948628,0.744712532,0.031149736,14348,48100,41170,13370,15060,61060,72350,43190,138970,15550,,18690,35220,10780
19/02/2022,,,,,49240,41030,13250,15160,63620,73470,44460,140620,15620,,18030,35760,10960
20/02/2022,,,,,48680,42320,13530,15160,62070,72450,43590,140110,15490,,18500,35680,11020
21/02/2022,0.23900573,0.742853701,0.031121623,14365.90039,48240,41170,13300,15140,60680,72620,42920,138970,15550,,19000,35380,10780
22/02/2022,0.239406273,0.742610991,0.031000063,14355,48240,41170,13090,14860,60410,71610,42550,138480,15550,,19000,35020,10780
23/02/2022,0.239062876,0.743240178,0.030848963,14395,48470,41430,13260,15140,64330,73760,42550,138480,15550,,18830,35380,10780
24/02/2022,0.23900573,0.742837191,0.030987574,14365,48470,41630,13260,15040,64200,73060,42610,138480,15550,,18730,35380,10780
25/02/2022,0.238180295,0.738001943,0.030772069,14452.5,48850,41140,13260,15040,66890,74810,42810,138480,15550,,19000,35380,10830
26/02/2022,,,,,48720,40330,13200,15050,66150,75050,43640,138480,15550,,19000,34620,10910
27/02/2022,,,,,50170,41510,13530,15030,64050,72800,43460,138200,15560,,18540,34850,10960
