Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,24910,27580,9550,10930,41660,66000,26460,119100,13120,,18320,26130,7920
02/01/2022,,,,,24360,27400,9570,10920,40360,64250,26130,119100,13170,,18510,26210,7990
03/01/2022,0.239520952,0.741729736,0.030201444,14215,24740,27630,9540,10890,41100,62610,26270,118750,13120,,18230,26050,7890
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,24710,27470,9560,10920,39990,60620,26200,118500,13180,,18460,25820,7990
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,24780,27350,9590,10890,39460,60440,26240,119070,13200,,18530,25730,8010
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,24790,27500,9570,10920,37780,57550,26330,118570,13140,,18360,25510,7940
07/01/2022,0.237473279,0.734786272,0.029803593,14408,24360,27500,9530,10930,36440,55690,26210,118060,13210,,18380,25300,7940
08/01/2022,,,,,25260,27620,9550,10920,37900,51690,26670,119330,13170,,18350,25090,7960
09/01/2022,,,,,24280,27540,9550,10940,36110,50900,27080,119330,13190,,18400,24990,7920
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,24360,27360,9600,10940,36710,51540,27200,118570,13150,,18450,24830,7940
11/01/2022,0.238208666,0.737577319,0.02974597,14313,24740,27360,9590,10940,34320,46000,27540,118570,13170,,18480,24980,7940
12/01/2022,0.23866348,0.740389705,0.030028228,14277,24970,27600,9570,10940,33850,43500,27740,118870,13310,,18560,25170,8020
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,24830,27590,9530,11020,32880,45400,28070,118570,13240,,18330,25130,7990
14/01/2022,0.239520952,0.742914438,0.030120481,14276,25410,27570,9590,10990,32180,41860,28200,118570,13250,,18570,25080,8070
15/01/2022,,,,,25490,27570,9610,10990,31120,40100,28290,119330,13310,,18530,25190,8110
16/01/2022,,,,,25320,27470,9590,10990,30320,39250,28310,118870,13350,,18530,25140,8160
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,26040,27430,9570,10970,29080,38100,28440,118570,13890,,18790,25190,8180
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,25300,27280,9540,10900,28890,35370,27880,119050,14080,,18780,25170,8290
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,25350,27330,9570,10910,28140,35700,28340,119050,14180,,18690,25090,8240
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,25460,27500,9590,10910,28270,34670,28200,118570,14220,,18120,24980,8240
21/01/2022,0.2388345,0.742451131,0.030383132,14343,25420,27580,9570,10900,27610,34560,28090,118570,14180,,18060,25070,8190
22/01/2022,,,,,25890,27710,9570,10900,27380,34580,28380,118820,14210,,18080,25320,8240
23/01/2022,,,,,25690,27630,9560,10900,27050,34180,27760,118870,14220,,18160,24950,8200
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,25270,27590,9560,10900,26160,33540,27770,118570,14260,,18270,24730,8280
25/01/2022,0.238863006,0.743306518,0.030309459,14365,25270,27480,9540,10900,25550,32160,27750,118570,14310,,18300,24520,8300
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,24950,27330,9610,10920,25580,32100,27520,118440,14190,,17760,24010,8310
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,24990,27320,9590,10900,25480,31130,27340,118570,14100,,17830,24110,8300
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,25470,27450,9570,10920,25480,31060,27400,119050,13970,,17870,24340,8350
29/01/2022,,,,,25450,27490,9570,10970,25030,31140,27410,118570,14040,,17890,23430,8300
30/01/2022,,,,,25580,27400,9590,10970,24740,30740,27090,118870,14240,,17890,23230,8390
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,25370,27060,9620,10970,24850,30600,27150,118400,14220,,17810,23190,8230
01/02/2022,0.23900573,0.739885747,0.030125925,14350,25510,27660,9590,10970,24420,30060,27340,118570,14160,,17950,23150,8290
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,25390,27500,9590,10970,24670,30080,26930,119330,14220,,17860,23180,8320
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,25200,27370,9590,10970,23700,29210,27060,118570,14170,,17460,22480,8320
04/02/2022,0.239120036,0.744031012,0.030236142,14377,25120,27330,9570,10920,23620,29510,27060,119050,14170,,17640,22510,8350
05/02/2022,,,,,25020,27240,9570,10900,23340,29370,27030,119050,14130,,17800,22220,8320
06/02/2022,,,,,25110,27360,9620,10890,23330,28910,27170,119800,14190,,17780,22340,8420
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,25540,27450,9530,10950,23330,31150,27070,119050,14210,,17790,22200,8350
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,25090,27580,9550,10920,22700,31700,27390,119300,14190,,18170,21870,8350
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,25430,27460,9520,10920,23230,33030,27620,119570,14190,,17830,21860,8350
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,25830,27590,9560,10920,22950,33670,27690,119300,14150,,17820,21310,8350
11/02/2022,0.239120036,0.743240178,0.0305773,14328,25700,27370,9580,10920,23420,32600,27740,119300,14240,,17450,21170,8280
12/02/2022,,,,,25810,27490,9560,10920,23780,33730,27480,119570,14250,,17550,21330,8240
13/02/2022,,,,,26020,27490,9540,10900,24770,34160,27830,119570,14220,,17550,21180,8280
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,25930,27490,9540,10900,24560,32680,27790,119300,14130,,17310,20880,8280
15/02/2022,0.238777444,0.742666125,0.030838501,14303,25950,27110,9560,10920,25180,34560,28070,118830,14130,,17470,20670,8240
16/02/2022,0.239017144,0.743649244,0.030916678,14260.59961,26710,27230,9540,10900,25760,35430,28180,119070,14100,,17280,20590,8210
17/02/2022,0.23903431,0.744596124,0.030959753,14274.40039,26360,27430,9540,10910,26520,36760,28010,119300,14130,,17150,20470,8280
18/02/2022,0.238948628,0.744712532,0.031149736,14348,26500,27510,9540,10890,26590,36070,28240,119300,14180,,16880,20500,8300
19/02/2022,,,,,26590,27430,9510,10870,27260,36160,28290,119570,14130,,17170,20410,8300
20/02/2022,,,,,26880,27470,9510,10870,28080,37000,28350,119570,14200,,16890,20490,8310
21/02/2022,0.23900573,0.742853701,0.031121623,14365.90039,27970,27550,9490,10840,29510,37600,28420,119300,14110,,16850,20560,8350
22/02/2022,0.239406273,0.742610991,0.031000063,14355,28370,27720,9510,10810,30170,38310,27670,118830,14160,,16840,20710,8230
23/02/2022,0.239062876,0.743240178,0.030848963,14395,29110,27970,9490,10860,30820,39130,28340,119110,14160,,17010,20700,8260
24/02/2022,0.23900573,0.742837191,0.030987574,14365,29130,28050,9560,10890,30950,39880,27790,118830,14090,,16860,20660,8260
25/02/2022,0.238180295,0.738001943,0.030772069,14452.5,29100,28100,9510,10860,31330,41210,27850,119300,14090,,16900,20520,8260
26/02/2022,,,,,29430,28200,9540,10860,32290,41460,28050,119300,14090,,16980,20350,8260
27/02/2022,,,,,28900,28130,9530,10890,32310,40530,27860,119570,14090,,16640,20190,8260
28/02/2022,0.238180295,0.735813498,0.030601626,14334.2002,29020,28030,9550,10890,32400,41460,27630,119300,14090,,16850,20400,8260
01/03/2022,0.238322213,0.73784405,0.030629748,14360,29390,27810,9560,10870,31910,41120,27160,119300,14090,,16580,20220,8260
02/03/2022,0.238635018,0.73674053,0.030556742,14425,30080,27980,9550,10940,32320,41040,27080,119110,14090,,16520,20070,8260
03/03/2022,0.238492742,0.738018274,0.03079292,14387.5,30180,28140,9530,10940,31700,42060,26790,118830,14070,,16220,20220,8260
04/03/2022,0.23900573,0.737300038,0.030715361,14358.40039,30620,28060,9550,10940,32350,41500,26880,118830,14100,,16350,20260,8410
05/03/2022,,,,,30810,27930,9540,10940,33050,43950,26890,118830,14110,,16620,20210,8260
06/03/2022,,,,,30540,27780,9530,10940,33230,44140,26820,119110,14130,,16590,20440,8260
07/03/2022,0.239463598,0.734246731,0.030581973,14381.7002,30580,27820,9520,10940,33270,45860,26740,118830,14110,,16540,20540,8290
08/03/2022,0.239549652,0.734306037,0.030295687,14406.40039,31130,27910,9510,10940,33250,46280,26890,118830,14110,,16790,20650,8290
09/03/2022,0.239234462,0.732509494,0.03012774,14362.7002,31910,28030,9560,10910,34230,47230,27070,119110,14170,,17000,21250,8270
10/03/2022,0.238948628,0.736865342,0.030327844,14251,32010,28200,9540,10930,35200,48320,26910,118830,14120,,17050,21340,8270
11/03/2022,0.238891557,0.73634994,0.030191412,14275,31450,27900,9540,10930,34750,50310,26970,118830,14140,,17250,21520,8270
12/03/2022,,,,,31450,27810,9540,10980,35690,49770,27160,118830,14260,,17480,21540,8270
