Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,28030,32880,10070,11680,46480,84750,39410,126720,14170,,18520,29240,9670
02/01/2022,,,,,27200,32290,9940,11390,45520,82800,38640,127360,14020,,18600,28680,9270
03/01/2022,0.239520952,0.741729736,0.030201444,14215,26750,32290,10180,11630,46990,61150,34620,124840,14160,,18790,28240,9210
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,28800,32340,10270,11630,46490,78500,38840,127600,14430,,18540,28100,9620
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,28990,32310,10230,11630,45330,75770,38410,127600,14430,,18610,28050,9620
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,29070,31960,10160,11530,43910,68130,37850,126150,14240,,18300,27940,9570
07/01/2022,0.237473279,0.734786272,0.029803593,14408,29070,32310,10320,11680,44640,69770,38640,127600,14340,,18650,28160,9710
08/01/2022,,,,,29620,32310,10250,11600,43080,62400,38640,124300,14340,,18650,29830,9710
09/01/2022,,,,,29570,31500,10180,11450,44920,62530,37720,126150,14240,,18610,28210,9570
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,28990,31610,10240,11600,42270,62350,38390,127600,14390,,18950,27820,9710
11/01/2022,0.238208666,0.737577319,0.02974597,14313,29080,31540,10250,11600,39860,51780,38340,127600,14390,,18950,28050,9710
12/01/2022,0.23866348,0.740389705,0.030028228,14277,29240,31630,10250,11600,40890,47980,37810,127600,14430,,18950,28200,9710
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,29220,31370,10130,11450,40250,47780,36510,126150,14470,,18860,27840,9570
14/01/2022,0.239520952,0.742914438,0.030120481,14276,29550,31830,10220,11600,40770,48010,37320,127180,14550,,19150,28200,9800
15/01/2022,,,,,29910,31500,10220,11600,39280,49030,37060,127600,14590,,18950,28380,9800
16/01/2022,,,,,29130,31250,10170,11450,37900,46840,36390,126150,14550,,18790,28240,9570
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,29480,31570,10220,11600,39700,48760,37620,127600,14730,,19170,28250,9710
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,30600,31500,10130,11500,38160,45870,37620,127600,14730,,19170,28340,9800
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,30050,31990,10180,11500,39040,44700,37420,127600,14770,,18280,28190,9800
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,30050,31660,10080,11540,37530,45140,36910,126150,14630,,18040,27850,9640
21/01/2022,0.2388345,0.742451131,0.030383132,14343,30510,31160,10180,11690,35430,41580,37720,127600,14850,,18010,28210,9800
22/01/2022,,,,,30350,31070,10180,11690,34980,44110,38040,127600,14930,,17940,28290,9800
23/01/2022,,,,,30720,31930,10120,11540,33500,39830,36090,126150,14770,,17100,27960,9640
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,30230,31380,10180,11690,31910,38980,38690,127600,14930,,17750,28210,9800
25/01/2022,0.238863006,0.743306518,0.030309459,14365,31050,31200,10130,11690,32630,40110,38490,127600,15100,,17380,28180,9800
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,31140,31020,10180,11840,33060,39300,38210,127600,15050,,17480,28070,9800
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,30610,31850,10200,11450,33280,38200,36920,126150,14880,,17370,27740,9640
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,30660,32010,10180,11640,33590,37980,38880,127600,15050,,16870,27660,9800
29/01/2022,,,,,30200,30730,10180,11640,32710,38470,38290,127600,15050,,17310,27530,9800
