Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,30380,32940,10220,11890,60540,83440,33530,125700,14000,,19980,29080,9420
02/01/2022,,,,,30260,31430,10090,11870,58830,77920,32500,124640,13680,,19380,28490,9640
03/01/2022,0.239520952,0.741729736,0.030201444,14215,30080,32580,10100,11730,56570,72530,34580,124720,13730,,20030,29280,9590
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,29950,32540,10120,11720,56630,72470,34840,124720,13790,,19820,29160,9640
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,30240,32590,10070,11860,56100,73930,34540,125550,13810,,20130,29490,9550
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,30230,32730,10210,11860,55190,72320,34570,124280,13870,,19890,29320,9630
07/01/2022,0.237473279,0.734786272,0.029803593,14408,30300,32720,10240,11790,55160,71180,35160,123890,13930,,19890,29290,9640
08/01/2022,,,,,30470,32800,10350,11770,53280,67310,34270,124280,13910,,20040,29120,9480
09/01/2022,,,,,30340,32960,10270,11700,54280,69940,34230,125080,14040,,20360,29290,9490
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,30670,32050,10210,11730,52050,64220,34130,123970,13960,,19860,29190,9760
11/01/2022,0.238208666,0.737577319,0.02974597,14313,30600,31980,10200,11740,53310,64960,34630,123970,13900,,19800,28940,9760
12/01/2022,0.23866348,0.740389705,0.030028228,14277,31020,31530,10320,11890,53400,59810,33790,123920,13810,,19490,28620,9850
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,30840,32080,10130,11720,52250,62360,34220,125300,13860,,20200,28790,9690
14/01/2022,0.239520952,0.742914438,0.030120481,14276,31120,32080,10210,11730,52050,61270,34030,124140,13890,,19980,28660,9760
15/01/2022,,,,,31190,32310,10210,11730,51240,60550,34050,124140,13890,,19980,28500,9760
16/01/2022,,,,,31410,32520,10210,11720,51590,59010,34270,124140,14020,,20200,28560,9810
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,31080,32520,10210,11720,51480,57870,34300,124140,14020,,20140,28600,9810
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,31500,32550,10130,11710,47470,52710,34360,125300,13960,,20490,28800,9740
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,32330,32790,10160,11660,44790,51480,34390,124140,14030,,20290,28720,9810
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,32980,32920,10150,11530,45420,52060,34520,124140,14080,,20060,28680,9810
21/01/2022,0.2388345,0.742451131,0.030383132,14343,33030,32780,10150,11530,43140,51500,34520,124140,14080,,20120,28680,9810
22/01/2022,,,,,32920,33150,10150,11530,43140,50940,34520,124140,14080,,20350,28710,9810
23/01/2022,,,,,32860,33150,10160,11530,43390,51420,34520,124140,14140,,21320,28570,9810
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,33410,32910,10220,11530,43630,49860,34450,123780,14140,,20660,28540,9860
25/01/2022,0.238863006,0.743306518,0.030309459,14365,33380,32780,10140,11470,42770,50550,34610,123780,14090,,19980,28090,9920
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,33330,32980,10220,11550,42220,48450,34550,123780,14290,,19730,28360,9860
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,32860,33340,10200,11550,41460,48340,34340,123780,14290,,20130,28100,9860
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,32730,32990,10100,11350,41030,47550,33170,123310,14250,,20260,28540,9950
29/01/2022,,,,,32790,32750,10320,11660,40590,47420,34330,124070,14310,,20070,28360,9790
30/01/2022,,,,,32480,33060,10250,11540,39530,45410,34300,124910,14120,,19890,28000,9790
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,32920,33110,10210,11550,38460,41920,34310,123780,14290,,20000,26890,9810
01/02/2022,0.23900573,0.739885747,0.030125925,14350,32210,33170,10200,11590,38540,41610,34200,123780,14290,,19580,26510,9810
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,32000,32990,10180,11580,38370,41970,34550,123780,14350,,19580,26200,9810
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,32100,32710,10250,11710,40140,41580,34700,123580,14130,,19410,26620,9790
04/02/2022,0.239120036,0.744031012,0.030236142,14377,31940,33060,10100,11490,38690,41040,34590,123780,14310,,19490,26210,9860
05/02/2022,,,,,31730,32740,10130,11570,37480,41600,34480,123310,14310,,19460,26120,9680
06/02/2022,,,,,31740,32760,10180,11580,38420,40810,34360,123780,14350,,19710,26050,9810
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,31680,32620,10180,11580,38120,40780,34450,123780,14350,,19600,25930,9810
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,32240,32940,10300,11700,38530,40710,35100,123680,14310,,19310,26240,9740
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,31550,32600,10220,11610,37960,38270,34120,123780,14410,,19600,25690,9810
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,32380,33010,10190,11590,38020,38880,34120,123780,14350,,19090,26080,9860
11/02/2022,0.239120036,0.743240178,0.0305773,14328,32390,33020,10170,11600,38360,39280,34050,123310,14310,,19110,25230,9720
12/02/2022,,,,,33510,33750,10270,11700,40330,41310,34360,123460,14510,,19440,25390,9840
13/02/2022,,,,,32990,33090,10370,11720,36790,38750,34420,124440,14490,,19490,25090,9600
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,32360,33060,10230,11690,36610,39780,34350,123780,14420,,19140,24880,9810
15/02/2022,0.238777444,0.742666125,0.030838501,14303,31320,32470,10380,11810,37810,41670,34460,122830,14510,,19070,24350,10080
16/02/2022,0.239017144,0.743649244,0.030916678,14260.59961,32550,33160,10230,11710,37410,41160,34020,123780,14450,,19310,24650,9790
17/02/2022,0.23903431,0.744596124,0.030959753,14274.40039,32550,33230,10210,11680,37410,41410,34020,123780,14390,,19870,24390,9830
18/02/2022,0.238948628,0.744712532,0.031149736,14348,32100,32730,10050,11750,38490,44890,33430,124900,14370,,19340,24000,9890
19/02/2022,,,,,32760,32990,10120,11660,38740,43300,33860,123780,14350,,19700,24510,9950
20/02/2022,,,,,33510,32900,10250,11760,39760,41880,34320,123430,14240,,20100,24590,9640
21/02/2022,0.23900573,0.742853701,0.031121623,14365.90039,32970,32870,10250,11890,41610,45360,34490,123310,14290,,20050,24520,9810
22/02/2022,0.239406273,0.742610991,0.031000063,14355,33970,34200,10280,11680,40520,38420,34190,123780,14390,,20150,24460,9790
23/02/2022,0.239062876,0.743240178,0.030848963,14395,34230,33790,10240,11640,41820,44270,34110,123310,14320,,20580,23860,9720
24/02/2022,0.23900573,0.742837191,0.030987574,14365,35820,34770,10440,11790,44110,46060,35310,123010,14300,,20890,24370,9770
25/02/2022,0.238180295,0.738001943,0.030772069,14452.5,34230,33660,10250,11680,41680,43890,34190,123780,14330,,20420,24550,9790
26/02/2022,,,,,34670,33840,10350,11770,43240,44960,34210,124070,14490,,21040,24690,9710
27/02/2022,,,,,34750,33790,10250,11690,42760,45420,34440,124140,14520,,20990,24380,9720
28/02/2022,0.238180295,0.735813498,0.030601626,14334.2002,35340,33600,10340,11660,42630,45120,34130,124490,14520,,21190,24410,9720
01/03/2022,0.238322213,0.73784405,0.030629748,14360,35660,33790,10440,11780,44560,47910,34830,124820,14470,,21520,24320,9700
02/03/2022,0.238635018,0.73674053,0.030556742,14425,35830,33050,10280,11640,43020,47400,34500,124490,14430,,21810,23710,9770
