Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,35750,35040,10940,12170,48880,98580,36550,128680,14090,,22130,31010,10380
02/01/2022,,,,,35630,34380,10950,12240,48800,90400,35480,128840,13990,,21630,30570,10090
03/01/2022,0.239520952,0.741729736,0.030201444,14215,34980,33620,10890,12070,49150,89100,35980,127830,14020,,21570,30760,10210
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,34920,32640,10890,12070,45860,79590,35710,126690,13990,,21510,30530,10210
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,34000,33190,10850,11980,44600,76580,35470,127250,13880,,21150,30580,10210
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,34200,33050,10830,11940,41960,67740,34920,125340,13950,,21210,29920,10130
07/01/2022,0.237473279,0.734786272,0.029803593,14408,34980,33510,10890,11940,44700,65770,35070,125940,14060,,20850,29670,10140
08/01/2022,,,,,37760,33350,10790,11980,42870,60980,35860,125510,13950,,21390,29780,10170
09/01/2022,,,,,37680,33950,10860,12030,42920,54740,36330,129850,13940,,21750,30160,10330
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,38340,32720,10710,11850,40450,53750,35380,126060,13520,,20880,29680,10250
11/01/2022,0.238208666,0.737577319,0.02974597,14313,37220,32600,10780,11860,33560,49620,34150,126340,14030,,20900,29230,10210
12/01/2022,0.23866348,0.740389705,0.030028228,14277,37640,32650,10760,11850,33820,49090,36170,126950,14070,,21650,28660,10200
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,36570,32600,10790,11940,34590,48940,36010,126420,14290,,20990,27470,10450
14/01/2022,0.239520952,0.742914438,0.030120481,14276,37720,33320,10790,11940,34920,49190,36010,126420,14540,,21240,27510,10280
15/01/2022,,,,,38430,33770,10790,11940,34180,51350,36010,125410,14510,,21240,27300,10250
16/01/2022,,,,,38600,33990,10780,11940,32930,50840,36080,125410,14540,,20450,27090,10280
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,38730,33040,10790,11940,32540,44780,36330,124910,14510,,21240,27230,10310
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,37880,33470,10720,11860,34040,49050,35960,124910,14510,,21040,26700,10250
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,39040,34000,10740,11900,34750,47830,36150,125410,14480,,21190,26900,10200
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,38890,33860,10890,12020,35580,45210,36430,124410,14730,,20930,26480,10200
21/01/2022,0.2388345,0.742451131,0.030383132,14343,38080,32850,10850,11860,34860,43730,35280,124910,14730,,20070,26680,10330
22/01/2022,,,,,37080,31910,10900,11990,35990,40390,36460,124350,14900,,20630,26880,10320
23/01/2022,,,,,37480,32140,10850,11840,34900,40240,36110,124910,14790,,18780,26070,10380
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,37230,32140,10840,11820,35610,39340,35280,124910,14840,,18430,26440,10480
