Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,23360,26700,12250,13410,26990,,29780,130880,13440,,18230,29730,8240
02/01/2022,,,,,23790,25970,12210,13340,26470,,31230,129050,13370,,18340,29380,8360
03/01/2022,0.239520952,0.741729736,0.030201444,14215,22620,26030,12100,13240,27780,,31780,128340,13350,,18370,29500,8340
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,23010,26060,12120,13310,29880,,31180,129610,13350,,18460,29350,8360
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,23330,26030,12090,13300,28320,,32110,128160,13360,,18470,28690,8300
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,22740,26060,12210,13270,28190,,31200,128750,13340,,18480,28710,8460
07/01/2022,0.237473279,0.734786272,0.029803593,14408,22430,26540,12090,13210,27720,,30800,129900,13390,,18590,28160,8550
08/01/2022,,,,,22730,26520,12230,13420,27350,,31510,129200,13410,,18490,28950,8570
09/01/2022,,,,,22720,25880,12120,13220,25830,,31130,129200,13410,,18460,28510,8280
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,22060,26210,12170,13340,27600,,32850,129260,13390,,18670,28720,8480
11/01/2022,0.238208666,0.737577319,0.02974597,14313,22930,26740,12140,13220,27540,,31960,129400,13540,,18650,29060,8590
12/01/2022,0.23866348,0.740389705,0.030028228,14277,23430,26770,12190,13330,27220,,32840,127830,13770,,18750,28770,8650
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,23990,26430,12230,13400,27220,,34170,128840,13830,,18750,27810,8600
14/01/2022,0.239520952,0.742914438,0.030120481,14276,24030,26140,12210,13420,27690,,32600,129060,13760,,18830,27690,8690
15/01/2022,,,,,23600,26250,12180,13290,27530,52000,34240,127370,13730,,18830,27880,8550
16/01/2022,,,,,23130,26030,12060,13140,26910,52000,33120,129480,13800,,18840,27760,8510
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,23480,26350,12070,13210,27380,,34020,128840,13800,,18950,28210,8710
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,24840,26780,12080,13350,27680,,33780,129500,14170,,19100,27880,8700
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,25380,26610,12150,13320,27920,,33940,129800,14260,,19070,27310,8650
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,25850,26410,12260,13350,27400,,34590,129840,14100,,18010,27450,8620
21/01/2022,0.2388345,0.742451131,0.030383132,14343,26690,26740,12130,13340,28250,,35310,129860,14160,,17980,27260,8800
22/01/2022,,,,,26210,26750,12220,13360,27800,,34060,129570,14230,,18170,27350,8530
23/01/2022,,,,,26380,26760,12110,13220,27820,,34570,128980,14210,,18270,27370,8660
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,26020,26260,12070,13240,28010,,33620,128950,14190,,18120,26940,8550
25/01/2022,0.238863006,0.743306518,0.030309459,14365,25410,26670,12140,13340,26980,,33400,129310,14290,,18350,26760,8600
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,24890,26140,11940,13090,25850,,33000,128320,14240,,18180,25830,8360
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,24930,25960,12060,13210,26320,,33280,128350,14010,,17990,26680,8360
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,26290,26890,11940,13050,27240,,32140,129280,14180,,17750,26640,8870
29/01/2022,,,,,25690,26770,12170,13370,27110,,32540,128690,14130,,17870,26680,8750
30/01/2022,,,,,25220,26620,12150,13360,27500,58000,32540,128620,14200,,17760,26630,8700
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,25870,26610,12050,13200,27490,,32160,128520,14290,,17740,25620,8720
01/02/2022,0.23900573,0.739885747,0.030125925,14350,25570,26890,12020,13150,28270,,30970,130410,14310,,17750,25350,8820
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,25810,26950,12070,13280,27540,,29090,129170,14270,,17270,24470,8780
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,25830,27080,12080,13290,28000,50000,28610,129010,14100,,17150,24600,8910
04/02/2022,0.239120036,0.744031012,0.030236142,14377,25460,27160,12060,13120,27500,50000,27820,129630,14330,,17010,24290,8810
05/02/2022,,,,,24800,27170,12090,13220,27330,50000,28930,129690,14190,,17080,23950,8960
06/02/2022,,,,,24980,26860,11970,13080,28440,50000,28430,128590,14220,,16570,24460,8690
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,25540,26940,12000,13140,28890,42000,28890,129010,14310,,16830,23050,8710
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,25930,27130,12080,13200,30300,42000,28120,129070,14300,,16780,21750,8770
