Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,26670,26540,10360,11540,42410,68790,35470,128970,12990,,18920,29110,8000
02/01/2022,,,,,25690,26380,10370,11630,44750,68220,35410,127630,12980,,18790,28790,7930
03/01/2022,0.239520952,0.741729736,0.030201444,14215,26270,26720,10320,11510,41320,71500,35680,126640,12970,,18810,29100,7760
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,26800,26730,10300,11460,38530,66170,36010,126960,12980,,18820,28100,7820
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,25360,25340,10370,11490,40680,66420,34430,124390,12980,,18740,27610,7900
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,25490,25760,10390,11390,38910,60400,35800,126240,12980,,18680,27590,7750
07/01/2022,0.237473279,0.734786272,0.029803593,14408,25300,25580,10410,11590,41010,62910,36110,127100,13010,,18670,26930,8000
08/01/2022,,,,,24980,25860,10310,11450,39270,63270,35910,126770,13080,,18870,26340,8030
09/01/2022,,,,,25570,26000,10350,11370,37640,61970,36930,126970,13030,,18690,26300,7960
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,25940,26510,10300,11620,37990,60700,36550,126870,13140,,18750,26310,8050
11/01/2022,0.238208666,0.737577319,0.02974597,14313,25700,26450,10150,11430,35980,58420,36460,127140,13010,,18760,26250,7880
12/01/2022,0.23866348,0.740389705,0.030028228,14277,25360,26200,10160,11430,35840,59280,35940,127140,13130,,18760,25660,8020
