Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
01/01/2022,,,,,28710,29250,11290,12720,26180,55000,36090,133350,13960,,19440,27660,8630
02/01/2022,,,,,28460,30420,11400,12710,27290,68410,36670,132150,13950,,19370,27820,8690
03/01/2022,0.239520952,0.741729736,0.030201444,14215,28050,29900,11360,12510,24460,74700,35790,131920,13710,,19200,27940,8600
04/01/2022,0.239808142,0.739032745,0.030081522,14283.59961,27800,29400,11300,12450,23790,70360,36540,133040,13710,,19180,28290,8570
05/01/2022,0.23900573,0.73762089,0.03008333,14385.5,27670,28970,11200,12430,24520,70360,35860,129900,13750,,19170,28280,8620
06/01/2022,0.23854962,0.736534297,0.030076995,14446.5,28370,29110,11250,12510,25920,69710,36080,131650,13750,,19370,28520,8610
07/01/2022,0.237473279,0.734786272,0.029803593,14408,28100,29150,11220,12510,25520,66410,36100,130460,13920,,19480,28740,8720
08/01/2022,,,,,28080,29340,11270,12470,25070,68410,37140,130850,13860,,19410,28800,8700
09/01/2022,,,,,27740,28860,11250,12480,24170,72590,38070,132700,13710,,19340,28740,8680
10/01/2022,0.237699091,0.737327158,0.029774312,14318.5,28060,29000,11320,12570,25670,64540,37580,132300,13800,,19260,29000,8540
11/01/2022,0.238208666,0.737577319,0.02974597,14313,27290,28840,11200,12440,25130,65840,37880,132920,13780,,19190,28670,8570
12/01/2022,0.23866348,0.740389705,0.030028228,14277,27460,28860,11210,12410,24030,60000,38680,131940,13830,,19300,28220,8560
13/01/2022,0.23903431,0.742997229,0.030074283,14298.90039,28210,28770,11230,12590,24040,52850,37910,131370,13820,,19170,28750,8550
14/01/2022,0.239520952,0.742914438,0.030120481,14276,27920,28350,11220,12440,23340,52850,37890,132230,13890,,19420,28580,8640
15/01/2022,,,,,28050,28660,11090,12370,21580,54430,37970,129100,13750,,19260,29320,8640
16/01/2022,,,,,28880,29140,11210,12510,23620,44900,38180,131680,13910,,19380,28400,8550
17/01/2022,0.239520952,0.74153173,0.030154089,14314.5,28470,28510,11110,12450,22910,57690,37240,130650,13950,,19480,28350,8620
18/01/2022,0.239177212,0.741608679,0.030225178,14349.7002,28240,28610,11130,12550,23380,56260,37480,131060,14000,,19120,28460,8590
19/01/2022,0.239177212,0.740455508,0.030216044,14382.2998,28080,28330,11120,12450,22530,59230,37270,130610,14010,,19430,28150,8650
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,27490,28130,11140,12430,22300,53640,36980,129430,13910,,18010,28140,8590
21/01/2022,0.2388345,0.742451131,0.030383132,14343,27390,28350,11130,12490,22250,54050,36680,132440,13940,,18700,27980,8710
22/01/2022,,,,,27460,28030,11100,12390,22250,56750,36510,130970,14030,,18400,27330,8650
23/01/2022,,,,,27410,28400,11150,12340,22430,56750,36890,132090,13950,,18470,27560,8650
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,27840,28230,11110,12380,22670,55500,36070,131020,14120,,18620,27570,8700
