Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,USDIDR Close,Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat
2022-01-01,27440.0,22390.0,27240.0,25960.0,24940.0,32770.0,30950.0,25130.0,27010.0,24340.0,23390.0,28120.0,24490.0,29790.0,28060.0,32990.0,26900.0,28420.0,25750.0,41320.0,35290.0,25730.0,32900.0,50000.0,41210.0,27460.0,27950.0,27580.0,32880.0,32940.0,35040.0,26700.0,26540.0,29250.0,14209.39169,75.86712679,-1.226088888,3.995254986,-27.94855798,-125.3868214,-436.9858752,6.60143661,3.357832094,18.44657359,0.916576853,662.463126,-24.53696757
2022-01-02,29070.0,22590.0,26430.0,26590.0,24940.0,29490.0,30800.0,25380.0,27000.0,24510.0,24290.0,28620.0,25980.0,29550.0,28370.0,32990.0,26480.0,30110.0,25310.0,40190.0,36680.0,25000.0,35800.0,44810.0,44050.0,27320.0,27440.0,27400.0,32290.0,31430.0,34380.0,25970.0,26380.0,30420.0,14190.2066,76.13717718,0.19969316,4.031115558,-5.028045067,57.68703699,-156.3004829,6.592108789,2.630140639,18.45458032,0.170589578,722.1501946,-10.28533941
2022-01-03,27970.0,22640.0,27550.0,27080.0,24360.0,32180.0,31560.0,25740.0,27080.0,24410.0,23750.0,28200.0,25990.0,29550.0,28980.0,32990.0,28200.0,29270.0,25180.0,39950.0,38390.0,25730.0,32270.000000000004,41820.0,41580.0,27360.0,27440.0,27630.0,32290.0,32580.0,33620.0,26030.0,26720.0,29900.0,14215.0,75.85,1.3,3.678,3.4,157.5,-7.13,5.259,1.94,18.74,-0.74,758.0,-1.65
2022-01-04,28140.0,22090.0,26600.0,26970.0,24360.0,32180.0,31920.0,25240.0,27360.0,24360.0,23870.0,28480.0,26210.0,29730.0,31020.0,31230.0,26780.0,29130.0,24710.0,41630.0,35910.0,25330.0,33230.0,44810.0,41290.0,27260.0,27440.0,27470.0,32340.000000000004,32540.0,32640.0,26060.0,26730.0,29400.0,14283.59961,76.74,1.17,3.582,-2.61,174.1,10.54,5.308,0.93,18.75,0.05,770.0,1.58
2022-01-05,27590.0,22100.0,26470.0,27180.0,23740.0,32180.0,32410.0,25220.0,27460.0,24410.0,23660.0,28430.0,26210.0,29450.0,31020.0,32390.0,28030.0,30710.0,24780.0,40720.0,36090.0,25970.0,33230.0,42040.0,39790.0,26530.0,27440.0,27350.0,32310.000000000004,32590.000000000004,33190.0,26030.0,25340.0,28970.0,14385.5,77.47,0.95,3.71,3.57,179.9,3.33,5.437,2.43,18.34,-2.19,760.75,-1.2
2022-01-06,27530.0,22140.0,26650.0,26700.0,24770.0,32180.0,32070.0,25340.0,27190.0,24540.0,23260.0,28250.0,25980.0,29300.0,28630.0,32390.0,27110.0,28910.0,24600.0,41630.0,35630.0,25790.0,33320.0,42740.0,40710.0,27090.0,26790.0,27500.0,31960.0,32730.0,33050.0,26060.0,25760.0,29110.0,14446.5,78.88,1.82,3.67,-1.08,196.5,9.23,5.387,-0.92,18.19,-0.82,746.0,-1.94
2022-01-07,27900.0,22690.0,27530.0,26760.0,24560.0,30100.0,31770.0,25140.0,26980.0,24440.0,23680.0,28100.0,26210.0,29110.0,28540.0,32390.0,27300.0,28470.0,24810.0,42850.0,37550.0,25370.0,32770.0,42620.0,40030.0,27350.0,27790.0,27500.0,32310.000000000004,32720.0,33510.0,26540.0,25580.0,29150.0,14408.0,78.44,-0.56,3.726,1.53,195.9,-0.31,5.33,-1.06,18.05,-0.77,758.5,1.68
2022-01-08,27760.0,22690.0,27080.0,27020.0,24560.0,32180.0,32400.0,25140.0,27140.0,24520.0,23610.0,28200.0,26140.0,29640.0,28480.0,32390.0,27140.0,27860.0,24020.0,42260.0,35840.0,25490.0,33500.0,41250.0,42250.0,27140.0,27440.0,27620.0,32310.000000000004,32800.0,33350.0,26520.0,25860.0,29340.0,14364.52204,78.69258722,-0.539923554,4.241957858,29.72536983,198.0598603,1.798955289,6.536444843,-0.50578282,18.50126008,-0.971594163,763.5365193,2.783964823
2022-01-09,27780.0,22690.0,27300.0,26080.0,23980.0,32180.0,31990.0,25480.0,27300.0,24590.0,23580.0,28420.0,26490.0,29690.0,30470.0,31950.0,27400.0,29960.0,25140.0,43610.0,35340.0,25820.0,34790.0,46370.0,41410.0,27420.0,27600.0,27540.0,31500.0,32960.0,33950.0,25880.0,26000.0,28860.0,14333.21896,79.27434017,-0.764175537,4.276378053,30.03270483,198.214534,1.991804044,6.527218016,-0.652405105,18.50881328,-0.606334802,759.6629189,2.823000454
2022-01-10,27940.0,22840.0,26730.0,26460.0,24360.0,32180.0,33090.0,25220.0,27800.0,24180.0,23890.0,28520.0,26260.0,29670.0,30710.0,31950.0,26710.0,31300.0,24900.0,41710.0,35530.0,25880.0,33860.0,41250.0,41530.0,27280.0,27440.0,27360.0,31610.0,32050.0,32720.0,26210.0,26510.0,29000.0,14318.5,77.7,-0.94,3.834,2.9,196.5,0.31,5.366,0.68,17.83,-1.22,762.0,0.46
