Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,USDIDR Close,Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat
2022-01-01,11030.0,10290.0,9960.0,10100.0,9650.0,11270.0,10190.0,9990.0,10140.0,10130.0,9910.0,12300.0,12750.0,12110.0,11850.0,12640.0,10240.0,12380.0,10340.0,12790.0,11900.0,9860.0,11310.0,13000.0,12390.0,12560.0,9880.0,9550.0,10070.0,10220.0,10940.0,12250.0,10360.0,11290.0,14209.39169,75.86712679,-1.226088888,3.995254986,-27.94855798,-125.3868214,-436.9858752,6.60143661,3.357832094,18.44657359,0.916576853,662.463126,-24.53696757
2022-01-02,10950.0,10320.0,9800.0,10130.0,9650.0,11010.0,10120.0,10110.0,10160.0,10180.0,9880.0,12390.0,11550.0,12170.0,11710.0,12640.0,10240.0,13170.0,10240.0,12740.0,12230.0,9970.0,11390.0,12970.0,12950.0,12630.0,9980.0,9570.0,9940.0,10090.0,10950.0,12210.0,10370.0,11400.0,14190.2066,76.13717718,0.19969316,4.031115558,-5.028045067,57.68703699,-156.3004829,6.592108789,2.630140639,18.45458032,0.170589578,722.1501946,-10.28533941
2022-01-03,10970.0,10340.0,10040.0,10170.0,9610.0,11010.0,10190.0,10080.0,10170.0,10230.0,9870.0,12320.0,11730.0,12110.0,11750.0,12640.0,10240.0,13140.0,10290.0,12710.0,12690.0,9860.0,10930.0,12780.0,12910.0,12490.0,9810.0,9540.0,10180.0,10100.0,10890.0,12100.0,10320.0,11360.0,14215.0,75.85,1.3,3.678,3.4,157.5,-7.13,5.259,1.94,18.74,-0.74,758.0,-1.65
2022-01-04,10990.0,10470.0,9900.0,10230.0,9610.0,11010.0,10260.0,10000.0,10180.0,10220.0,9920.0,12340.0,11890.0,12110.0,11720.0,12800.0,10240.0,12800.0,10190.0,12640.0,12410.0,9930.0,10960.0,12970.0,12910.0,12440.0,9810.0,9560.0,10270.0,10120.0,10890.0,12120.0,10300.0,11300.0,14283.59961,76.74,1.17,3.582,-2.61,174.1,10.54,5.308,0.93,18.75,0.05,770.0,1.58
2022-01-05,11050.0,10490.0,9750.0,10200.0,9470.0,11010.0,10250.0,10080.0,10180.0,10230.0,9880.0,12340.0,11850.0,12110.0,11750.0,12640.0,10240.0,12780.0,10220.0,12780.0,12360.0,9980.0,10850.0,12780.0,12820.0,12610.0,9810.0,9590.0,10230.0,10070.0,10850.0,12090.0,10370.0,11200.0,14385.5,77.47,0.95,3.71,3.57,179.9,3.33,5.437,2.43,18.34,-2.19,760.75,-1.2
2022-01-06,11000.0,10490.0,9970.0,10200.0,9670.0,11010.0,10290.0,9990.0,10160.0,10240.0,9870.0,12340.0,11890.0,12110.0,11790.0,12640.0,10300.0,12750.0,10350.0,12780.0,12140.0,9980.0,10870.0,13050.0,12810.0,12560.0,9880.0,9570.0,10160.0,10210.0,10830.0,12210.0,10390.0,11250.0,14446.5,78.88,1.82,3.67,-1.08,196.5,9.23,5.387,-0.92,18.19,-0.82,746.0,-1.94
2022-01-07,11010.0,10210.0,10040.0,10200.0,9710.0,11010.0,10340.0,10000.0,10240.0,10230.0,9880.0,12260.0,11890.0,12110.0,11700.0,12640.0,10240.0,12380.0,10300.0,12830.0,12510.0,9980.0,10740.0,13010.0,12770.0,12690.0,9590.0,9530.0,10320.0,10240.0,10890.0,12090.0,10410.0,11220.0,14408.0,78.44,-0.56,3.726,1.53,195.9,-0.31,5.33,-1.06,18.05,-0.77,758.5,1.68
2022-01-08,11050.0,10210.0,9880.0,10230.0,9710.0,11010.0,10340.0,10000.0,10210.0,10250.0,9820.0,12310.0,11890.0,12030.0,11580.0,12640.0,10290.0,12750.0,10350.0,12640.0,11990.0,9730.0,10870.0,13010.0,12910.0,12560.0,9720.0,9550.0,10250.0,10350.0,10790.0,12230.0,10310.0,11270.0,14364.52204,78.69258722,-0.539923554,4.241957858,29.72536983,198.0598603,1.798955289,6.536444843,-0.50578282,18.50126008,-0.971594163,763.5365193,2.783964823
2022-01-09,11010.0,10210.0,10070.0,10230.0,9730.0,11010.0,10330.0,10170.0,10150.0,10330.0,9920.0,12310.0,11950.0,12030.0,11820.0,12640.0,10270.0,13140.0,10400.0,12660.0,11910.0,9800.0,11260.0,13490.0,12920.0,12530.0,9720.0,9550.0,10180.0,10270.0,10860.0,12120.0,10350.0,11250.0,14333.21896,79.27434017,-0.764175537,4.276378053,30.03270483,198.214534,1.991804044,6.527218016,-0.652405105,18.50881328,-0.606334802,759.6629189,2.823000454
2022-01-10,10980.0,10210.0,9970.0,10330.0,9730.0,11010.0,10340.0,10160.0,10110.0,10180.0,9960.0,12260.0,11730.0,12030.0,11800.0,12640.0,10210.0,12990.0,10390.0,12740.0,12150.0,9980.0,10960.0,13010.0,13010.0,12600.0,9770.0,9600.0,10240.0,10210.0,10710.0,12170.0,10300.0,11320.0,14318.5,77.7,-0.94,3.834,2.9,196.5,0.31,5.366,0.68,17.83,-1.22,762.0,0.46
2022-01-11,10900.0,10210.0,10030.0,10280.0,9730.0,11060.0,10330.0,10430.0,10170.0,10250.0,10010.0,12270.0,11850.0,12110.0,11770.0,12460.0,10210.0,13260.0,10210.0,12920.0,12110.0,9980.0,10840.0,13010.0,13010.0,12600.0,9630.0,9590.0,10250.0,10200.0,10780.0,12140.0,10150.0,11200.0,14313.0,80.67,3.82,3.968,3.5,197.1,0.31,5.3,-1.23,18.11,1.57,770.25,1.08
