Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,USDIDR Close,Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat
2022-01-01,30540.0,38390.0,37610.0,39680.0,36180.0,35990.0,31710.0,37210.0,37640.0,35620.0,34460.0,41950.0,25460.0,41630.0,36400.0,45960.0,40280.0,39980.0,34240.0,43870.0,43070.0,41180.0,50420.0,38000.0,44810.0,34770.0,30880.0,26460.0,39410.0,33530.0,36550.0,29780.0,35470.0,36090.0,14209.39169,75.86712679,-1.226088888,3.995254986,-27.94855798,-125.3868214,-436.9858752,6.60143661,3.357832094,18.44657359,0.916576853,662.463126,-24.53696757
2022-01-02,31390.0,38340.0,36440.0,38820.0,35970.0,36480.0,31200.0,36680.0,37350.0,35260.0,34890.0,42630.0,32120.0,41480.0,36660.0,45330.0,40590.0,38850.0,33860.0,43200.0,44750.0,40430.0,46920.0,40930.0,43750.0,35100.0,32290.0,26130.0,38640.0,32500.0,35480.0,31230.0,35410.0,36670.0,14190.2066,76.13717718,0.19969316,4.031115558,-5.028045067,57.68703699,-156.3004829,6.592108789,2.630140639,18.45458032,0.170589578,722.1501946,-10.28533941
2022-01-03,30980.0,38660.0,37440.0,39740.0,35590.0,37160.0,31490.0,37690.0,37080.0,35260.0,35110.0,41860.0,31220.0,41310.0,36610.0,45330.0,41150.0,39840.0,33140.0,44430.0,46490.0,41910.0,44460.0,41560.0,43910.0,35030.0,31900.0,26270.0,34620.0,34580.0,35980.0,31780.0,35680.0,35790.0,14215.0,75.85,1.3,3.678,3.4,157.5,-7.13,5.259,1.94,18.74,-0.74,758.0,-1.65
2022-01-04,31680.0,38660.0,37320.0,40960.0,35590.0,36180.0,31320.0,37700.0,37040.0,35000.0,35350.0,42330.0,31770.0,41770.0,39550.0,45410.0,40650.0,40220.0,33330.0,46300.0,46680.0,41510.0,44390.0,41260.0,43750.0,37220.0,31560.0,26200.0,38840.0,34840.0,35710.0,31180.0,36010.0,36540.0,14283.59961,76.74,1.17,3.582,-2.61,174.1,10.54,5.308,0.93,18.75,0.05,770.0,1.58
2022-01-05,32620.0,38340.0,36900.0,40960.0,35480.0,36370.0,31250.0,37720.0,36690.0,34830.0,35000.0,42270.0,31870.0,41490.0,38910.0,45720.0,40880.0,39840.0,32920.0,43940.0,46500.0,41130.0,44330.0,41560.0,42830.0,37010.0,31220.0,26240.0,38410.0,34540.0,35470.0,32110.0,34430.0,35860.0,14385.5,77.47,0.95,3.71,3.57,179.9,3.33,5.437,2.43,18.34,-2.19,760.75,-1.2
2022-01-06,31480.0,40100.0,36890.0,41470.0,34980.0,36180.0,31340.0,38000.0,36960.0,34960.0,34840.0,42700.0,32590.000000000004,41610.0,37380.0,45720.0,40760.0,38880.0,32550.0,43040.0,45050.0,41090.0,43430.0,40620.0,43290.0,37700.0,31370.0,26330.0,37850.0,34570.0,34920.0,31200.0,35800.0,36080.0,14446.5,78.88,1.82,3.67,-1.08,196.5,9.23,5.387,-0.92,18.19,-0.82,746.0,-1.94
2022-01-07,29790.0,39220.0,37620.0,42150.0,34980.0,35200.0,31170.0,37990.0,36700.0,34830.0,34850.0,42760.0,32400.0,42200.0,35850.0,45720.0,42050.0,39770.0,32370.0,44430.0,43460.0,41930.0,43280.0,46880.0,43600.0,36770.0,31050.0,26210.0,38640.0,35160.0,35070.0,30800.0,36110.0,36100.0,14408.0,78.44,-0.56,3.726,1.53,195.9,-0.31,5.33,-1.06,18.05,-0.77,758.5,1.68
2022-01-08,31180.0,38910.0,36570.0,41430.0,34760.0,35200.0,31490.0,39120.0,36690.0,35000.0,34550.0,42990.0,34240.0,42170.0,36380.0,45720.0,42190.0,39710.0,32560.000000000004,44930.0,44950.0,43410.0,42630.0,44620.0,44490.0,36940.0,31050.0,26670.0,38640.0,34270.0,35860.0,31510.0,35910.0,37140.0,14364.52204,78.69258722,-0.539923554,4.241957858,29.72536983,198.0598603,1.798955289,6.536444843,-0.50578282,18.50126008,-0.971594163,763.5365193,2.783964823
2022-01-09,32150.0,38300.0,36900.0,42960.0,35540.0,35200.0,31280.0,39270.0,36550.0,35370.0,34680.0,41710.0,33060.0,42760.0,38380.0,45280.0,41900.0,40600.0,32800.0,45800.0,43140.0,42080.0,47520.0,39950.0,43290.0,38450.0,30740.0,27080.0,37720.0,34230.0,36330.0,31130.0,36930.0,38070.0,14333.21896,79.27434017,-0.764175537,4.276378053,30.03270483,198.214534,1.991804044,6.527218016,-0.652405105,18.50881328,-0.606334802,759.6629189,2.823000454
2022-01-10,32680.0,40560.0,36030.0,44840.0,35540.0,34990.0,30650.0,41100.0,36570.0,35510.0,34730.0,41430.0,34700.0,42920.0,40730.0,45280.0,41000.0,40250.0,32980.0,42810.0,44960.0,42150.0,42410.0,44730.0,43960.0,38740.0,30100.0,27200.0,38390.0,34130.0,35380.0,32850.0,36550.0,37580.0,14318.5,77.7,-0.94,3.834,2.9,196.5,0.31,5.366,0.68,17.83,-1.22,762.0,0.46
