Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,USDIDR Close,Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat
2022-01-01,150930.0,112770.0,124900.0,124090.0,124880.0,126580.0,125160.0,125410.0,122930.0,118710.0,110800.0,140460.0,132290.0,137470.0,136150.0,144870.0,134030.0,136650.0,128670.0,119720.0,103230.0,122200.0,114080.0,130000.0,139560.0,134880.0,122940.0,119100.0,126720.0,125700.0,128680.0,130880.0,128970.0,133350.0,14209.39169,75.86712679,-1.226088888,3.995254986,-27.94855798,-125.3868214,-436.9858752,6.60143661,3.357832094,18.44657359,0.916576853,662.463126,-24.53696757
2022-01-02,151540.0,112020.0,126580.0,124910.0,124880.0,130000.0,123980.0,124910.0,123090.0,117630.0,111720.0,142860.0,128480.0,137470.0,136620.0,144870.0,134910.0,147280.0,127890.0,125300.0,101110.0,122470.0,113390.0,130000.0,137050.0,136480.0,123940.0,119100.0,127360.0,124640.0,128840.0,129050.0,127630.0,132150.0,14190.2066,76.13717718,0.19969316,4.031115558,-5.028045067,57.68703699,-156.3004829,6.592108789,2.630140639,18.45458032,0.170589578,722.1501946,-10.28533941
2022-01-03,150100.0,111770.0,124900.0,124290.0,124490.0,124900.0,125160.0,126670.0,122890.0,118420.0,111390.0,139470.0,128960.0,136590.0,137090.0,143200.0,135760.0,140290.0,125850.0,119790.0,98300.0,122200.0,109760.0,130000.0,137110.0,136020.0,123280.0,118750.0,124840.0,124720.0,127830.0,128340.0,126640.0,131920.0,14215.0,75.85,1.3,3.678,3.4,157.5,-7.13,5.259,1.94,18.74,-0.74,758.0,-1.65
2022-01-04,148700.0,111090.0,126160.0,124910.0,124490.0,127940.0,125160.0,124900.0,122780.0,117590.0,111480.0,142180.0,130990.0,136250.0,137090.0,144820.0,133250.0,136650.0,124480.0,124400.0,107110.0,123460.0,107090.0,130000.0,139710.0,136510.0,123280.0,118500.0,127600.0,124720.0,126690.0,129610.0,126960.0,133040.0,14283.59961,76.74,1.17,3.582,-2.61,174.1,10.54,5.308,0.93,18.75,0.05,770.0,1.58
2022-01-05,147690.0,111240.0,127060.0,124290.0,124600.0,125900.0,124960.0,126200.0,122600.0,118460.0,112080.0,142180.0,130230.0,136590.0,137090.0,144870.0,133250.0,140290.0,124920.0,119790.0,106920.0,122750.0,109910.0,130000.0,141280.0,135960.0,123280.0,119070.0,127600.0,125550.0,127250.0,128160.0,124390.0,129900.0,14385.5,77.47,0.95,3.71,3.57,179.9,3.33,5.437,2.43,18.34,-2.19,760.75,-1.2
2022-01-06,148650.0,111450.0,126160.0,124290.0,124680.0,125900.0,124960.0,124900.0,122580.0,119070.0,111060.0,142180.0,129820.0,136590.0,137450.0,130900.0,132090.0,144270.0,124920.0,119790.0,106920.0,123460.0,108480.0,130000.0,137540.0,135660.0,125940.0,118570.0,126150.0,124280.0,125340.0,128750.0,126240.0,131650.0,14446.5,78.88,1.82,3.67,-1.08,196.5,9.23,5.387,-0.92,18.19,-0.82,746.0,-1.94
2022-01-07,149140.0,113080.0,124900.0,124290.0,124680.0,125900.0,124960.0,124900.0,122510.0,118330.0,111100.0,140230.0,129840.0,136590.0,137090.0,144870.0,132450.0,144270.0,125660.0,126660.0,104460.0,122750.0,108240.0,128280.0,139710.0,135230.0,123280.0,118060.0,127600.0,123890.0,125940.0,129900.0,127100.0,130460.0,14408.0,78.44,-0.56,3.726,1.53,195.9,-0.31,5.33,-1.06,18.05,-0.77,758.5,1.68
2022-01-08,149000.0,113080.0,126580.0,123810.0,124880.0,125900.0,124960.0,124900.0,122510.0,118470.0,111180.0,143700.0,129460.0,136250.0,136620.0,144870.0,132090.0,144270.0,125380.0,119830.0,106920.0,123310.0,105180.0,127940.0,138780.0,136510.0,123940.0,119330.0,124300.0,124280.0,125510.0,129200.0,126770.0,130850.0,14364.52204,78.69258722,-0.539923554,4.241957858,29.72536983,198.0598603,1.798955289,6.536444843,-0.50578282,18.50126008,-0.971594163,763.5365193,2.783964823
2022-01-09,150040.0,113080.0,125900.0,123920.0,124490.0,125900.0,124960.0,126200.0,122510.0,118170.0,110250.0,142560.0,129420.0,136590.0,135950.0,143200.0,131360.0,140290.0,126380.0,125300.0,102830.0,122470.0,111710.0,130000.0,135720.0,135230.0,123940.0,119330.0,126150.0,125080.0,129850.0,129200.0,126970.0,132700.0,14333.21896,79.27434017,-0.764175537,4.276378053,30.03270483,198.214534,1.991804044,6.527218016,-0.652405105,18.50881328,-0.606334802,759.6629189,2.823000454
2022-01-10,150040.0,113080.0,126160.0,123810.0,124490.0,125900.0,124960.0,126200.0,122220.0,117670.0,110920.0,140640.0,129420.0,136250.0,135570.0,144870.0,131360.0,137200.0,125550.0,119790.0,106920.0,122470.0,107770.0,129280.0,141950.0,135960.0,123280.0,118570.0,127600.0,123970.0,126060.0,129260.0,126870.0,132300.0,14318.5,77.7,-0.94,3.834,2.9,196.5,0.31,5.366,0.68,17.83,-1.22,762.0,0.46
