Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,USDIDR Close,Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat
2022-01-01,13520.0,12670.0,13240.0,13280.0,12590.0,14480.0,13610.0,12950.0,13150.0,12680.0,12220.0,13320.0,12990.0,13420.0,13110.0,13750.0,13240.0,11960.0,13150.0,14790.0,15060.0,13640.0,14820.0,15000.0,14780.0,13030.0,13780.0,13120.0,14170.0,14000.0,14090.0,13440.0,12990.0,13960.0,14209.39169,75.86712679,-1.226088888,3.995254986,-27.94855798,-125.3868214,-436.9858752,6.60143661,3.357832094,18.44657359,0.916576853,662.463126,-24.53696757
2022-01-02,13540.0,12710.0,12920.0,13160.0,12590.0,14000.0,13440.0,13000.0,13210.0,12670.0,12180.0,13400.0,12930.0,13420.0,13770.0,13750.0,13080.0,12460.0,13290.0,14830.0,15180.0,13560.0,14490.0,14830.0,15490.0,12950.0,13640.0,13170.0,14020.0,13680.0,13990.0,13370.0,12980.0,13950.0,14190.2066,76.13717718,0.19969316,4.031115558,-5.028045067,57.68703699,-156.3004829,6.592108789,2.630140639,18.45458032,0.170589578,722.1501946,-10.28533941
2022-01-03,13430.0,12800.0,13080.0,13210.0,12590.0,14320.0,13610.0,12950.0,13200.0,12680.0,12290.0,13370.0,12810.0,13420.0,13740.0,13750.0,13240.0,12420.0,13200.0,15140.0,15480.0,13640.0,14640.0,14350.0,15330.0,12990.0,13550.0,13120.0,14160.0,13730.0,14020.0,13350.0,12970.0,13710.0,14215.0,75.85,1.3,3.678,3.4,157.5,-7.13,5.259,1.94,18.74,-0.74,758.0,-1.65
2022-01-04,13580.0,12800.0,13180.0,13300.0,12590.0,14320.0,13500.0,12950.0,13230.0,12670.0,12200.0,13310.0,12980.0,13420.0,13840.0,13500.0,13240.0,11960.0,13270.0,15280.0,15140.0,13570.0,14560.0,14830.0,14630.0,13070.0,13640.0,13180.0,14430.0,13790.0,13990.0,13350.0,12980.0,13710.0,14283.59961,76.74,1.17,3.582,-2.61,174.1,10.54,5.308,0.93,18.75,0.05,770.0,1.58
2022-01-05,13460.0,12780.0,13060.0,13320.0,12870.0,14320.0,13490.0,12950.0,13200.0,12680.0,12200.0,13310.0,12900.0,13340.0,13920.0,13750.0,13240.0,12590.0,13350.0,15140.0,15140.0,13530.0,14630.0,14350.0,15210.0,13170.0,13640.0,13200.0,14430.0,13810.0,13880.0,13360.0,12980.0,13750.0,14385.5,77.47,0.95,3.71,3.57,179.9,3.33,5.437,2.43,18.34,-2.19,760.75,-1.2
2022-01-06,13380.0,12710.0,13180.0,13160.0,12800.0,14320.0,13490.0,13000.0,13220.0,12670.0,12230.0,13240.0,12980.0,13420.0,14010.0,13750.0,13480.0,11760.0,13280.0,14290.0,15160.0,13570.0,14450.0,14300.0,15320.0,13200.0,13560.0,13140.0,14240.0,13870.0,13950.0,13340.0,12980.0,13750.0,14446.5,78.88,1.82,3.67,-1.08,196.5,9.23,5.387,-0.92,18.19,-0.82,746.0,-1.94
2022-01-07,13370.0,12780.0,13080.0,13160.0,12800.0,13790.0,13530.0,13000.0,13110.0,12690.0,12200.0,13300.0,12980.0,13420.0,13740.0,13750.0,13240.0,12100.0,13360.0,14170.0,15250.0,13700.0,14410.0,14880.0,15280.0,13060.0,13730.0,13210.0,14340.0,13930.0,14060.0,13390.0,13010.0,13920.0,14408.0,78.44,-0.56,3.726,1.53,195.9,-0.31,5.33,-1.06,18.05,-0.77,758.5,1.68
2022-01-08,13460.0,12780.0,13080.0,13090.0,12800.0,14320.0,13490.0,13000.0,13200.0,12690.0,12210.0,13280.0,13050.0,13550.0,13740.0,13750.0,13060.0,11890.0,13150.0,14290.0,15110.0,13800.0,14360.0,14460.0,15320.0,13100.0,13730.0,13170.0,14340.0,13910.0,13950.0,13410.0,13080.0,13860.0,14364.52204,78.69258722,-0.539923554,4.241957858,29.72536983,198.0598603,1.798955289,6.536444843,-0.50578282,18.50126008,-0.971594163,763.5365193,2.783964823
2022-01-09,13510.0,12780.0,13090.0,13090.0,12900.0,14320.0,13500.0,13000.0,13240.0,12680.0,12260.0,13320.0,13100.0,13630.0,13780.0,13750.0,13280.0,12620.0,13300.0,14990.0,15000.0,13590.0,14280.0,15000.0,15400.0,13120.0,13730.0,13190.0,14240.0,14040.0,13940.0,13410.0,13030.0,13710.0,14333.21896,79.27434017,-0.764175537,4.276378053,30.03270483,198.214534,1.991804044,6.527218016,-0.652405105,18.50881328,-0.606334802,759.6629189,2.823000454
2022-01-10,13490.0,12860.0,13180.0,13090.0,12960.0,14140.0,13500.0,13000.0,13230.0,12800.0,12420.0,13400.0,13060.0,13770.0,13960.0,13750.0,13280.0,12430.0,13130.0,14830.0,15100.0,13570.0,14480.0,14670.0,15280.0,13130.0,13820.0,13150.0,14390.0,13960.0,13520.0,13390.0,13140.0,13800.0,14318.5,77.7,-0.94,3.834,2.9,196.5,0.31,5.366,0.68,17.83,-1.22,762.0,0.46
