Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,USDIDR Close,Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat
2022-01-01,13975.39404860198,15492.626302204886,15312.77124970443,17197.2786200251,15666.468760744252,18764.115323363567,12033.356541371955,14970.54678936786,14273.722106004589,14979.18906005366,16106.500955392856,16672.199805634853,14088.113495181648,14426.475391550824,15026.67227714336,15470.50999313232,14670.334556947702,14467.724516913331,14430.476603088691,20706.89420050266,16776.85079397965,19540.76936789074,14829.37115881326,13980.8551022512,14438.12747788048,15657.194095464258,16068.813842391492,15687.047019270622,15022.6589078297,16912.24083653716,17339.19996999618,15255.99803890832,16254.631853298866,14877.604449050865,14209.39169,75.86712679,-1.226088888,3.995254986,-27.94855798,-125.3868214,-436.9858752,6.60143661,3.357832094,18.44657359,0.916576853,662.463126,-24.53696757
2022-01-02,12978.396758392477,15658.23135827796,14485.616699269016,14012.14975195597,13619.956162908158,17079.409111509318,16720.791875244184,14550.02075731676,17075.101143018295,15378.02987414498,14009.77230251896,14557.45246849197,14781.770243854382,15065.644738583893,15671.002065508314,14802.86566349138,13915.001249219771,14117.16279831895,12291.654545307185,21008.12325457256,17249.648032164172,16487.581661197557,15071.2669975986,20553.990408257298,17254.333553726694,15563.779537133323,14618.981254636616,14423.519468772076,15671.061366239945,16760.770397084307,17591.396614463356,14626.757680297758,12573.183520923416,15373.975040395457,14190.2066,76.13717718,0.19969316,4.031115558,-5.028045067,57.68703699,-156.3004829,6.592108789,2.630140639,18.45458032,0.170589578,722.1501946,-10.28533941
2022-01-03,14684.924415586607,16435.360979385157,13778.688498126936,14437.372757662006,13971.866667977722,17050.818683660393,14811.507302108535,12450.40736086755,16868.270820649785,15156.861600093604,16437.00303406614,13758.139440821144,13119.426872721358,14011.280036213806,14607.12151516921,15763.450716658932,14315.940948375686,13368.44966748992,14596.968859187056,18542.224643516565,16921.34941507609,18221.399614713893,17891.43221553432,14582.052833706568,15111.095607817646,15943.2837925086,14184.0474700382,13546.862403104413,14581.353803784248,17834.488602926944,14193.216624580142,15254.2678096681,15726.001499300255,13362.722436935135,14215.0,75.85,1.3,3.678,3.4,157.5,-7.13,5.259,1.94,18.74,-0.74,758.0,-1.65
2022-01-04,13953.490009012272,15546.687081182105,13025.161547603711,14081.973464791148,12879.28015533694,13712.06750563975,16860.777831285555,15111.772306332396,16214.159861894954,14516.336975661412,13970.755509942675,17743.27652473571,13533.379197651138,14401.745541061646,15044.14293159456,16834.907412626493,14696.574473658393,15192.86711442219,14339.986039007494,16376.05582929009,17936.653039407265,17611.85082859769,16626.538673793755,19840.81482637852,14261.17859337834,16088.171529881678,15834.595175249502,14491.07240056382,14712.00933381907,18551.271985873485,16977.214416724168,14258.342994526523,14602.24461869588,15337.065524937483,14283.59961,76.74,1.17,3.582,-2.61,174.1,10.54,5.308,0.93,18.75,0.05,770.0,1.58
2022-01-05,13684.89593552025,15647.003747317138,13967.67945165358,15198.52300202062,14972.91198571216,15157.0947228455,10683.29548356296,14498.488608798769,16366.30273277702,13679.203283015802,14812.911490792898,17267.802599697163,15163.496795378946,14300.451947945145,14092.07934767051,16837.057944956032,14590.424208867378,14206.417430902036,15778.342857365222,19359.75989620549,18029.081960603908,16765.81286590731,13925.735772898288,19864.22123608624,16725.76108963282,16578.81988022182,15747.009118666696,16225.375287721552,15232.777386558271,16352.115985128929,16989.874208045007,13746.342965285809,14801.580020109954,13917.80577234976,14385.5,77.47,0.95,3.71,3.57,179.9,3.33,5.437,2.43,18.34,-2.19,760.75,-1.2
2022-01-06,14573.476481105705,15468.313389050923,11411.963266187156,15402.195073684852,16104.85958056197,15471.32286798384,19832.28579446785,14608.889329448652,14931.308715858013,13654.288671115864,13984.690677566929,15388.49094667413,15436.651461810725,14592.908691922335,15319.34071707246,14212.572918753567,14078.10292491682,15518.523048996978,13150.24411094278,16632.015960616376,17804.841310687378,17264.961102726025,16140.441524468646,21086.90927876641,14857.112484915378,16285.01158212533,15031.527286085133,13987.989065166596,13133.686914567406,17326.36672674586,13841.605077361895,13159.877445530565,16239.173373261288,15727.152222069535,14446.5,78.88,1.82,3.67,-1.08,196.5,9.23,5.387,-0.92,18.19,-0.82,746.0,-1.94
2022-01-07,14299.195139420051,15646.882743158974,13070.105482284827,14360.936965755913,15449.279158191412,16180.895630063082,16255.980839817228,13025.464932208168,15948.369449797196,12576.36103751233,13383.568788268863,15580.75862901142,14643.672187225357,14952.44514000189,13508.989048665884,16109.29963510588,14128.047267520438,12595.760602775255,15024.342381439956,22503.40092027761,16447.177745349538,18023.58188417368,15572.339027345875,17017.549366706935,15559.538073001964,13575.399565328931,16223.655222211262,14402.056813109251,16549.923029781414,16448.71310099157,15268.275197610728,15965.067809809492,14971.578796195668,15491.05216128338,14408.0,78.44,-0.56,3.726,1.53,195.9,-0.31,5.33,-1.06,18.05,-0.77,758.5,1.68
2022-01-08,14893.817634720295,14917.2014623422,12110.291478671736,15332.722317943037,11280.581044434546,14911.32010818544,17211.44345169608,14387.226075622546,15995.693982903747,13380.850114815044,15467.798760989206,14155.564275947952,12233.146517385085,16016.063264733097,14023.52808343555,16240.769064808635,14254.425156485664,14339.387118401564,14990.79753222771,17363.414198973296,17103.814696990605,16630.47055426099,18919.74257171016,17795.659569557465,13272.482303676234,15797.996977338467,14932.48596207911,15046.257371212909,14975.641751865409,17677.397222273656,15315.28238212495,15398.46152948806,13727.37442326102,15252.326755665015,14364.52204,78.69258722,-0.539923554,4.241957858,29.72536983,198.0598603,1.798955289,6.536444843,-0.50578282,18.50126008,-0.971594163,763.5365193,2.783964823
2022-01-09,14802.278687336677,15098.666826374263,15360.856282605944,16441.873321929663,14738.990550278477,15331.98338072828,15530.256825688792,12608.673773786068,14768.078813992335,14697.39811688631,14248.447544817402,15639.235446719482,14753.448853292888,14177.120385477683,15035.076025931596,16472.216723479152,14817.154613704766,14512.89536889478,14413.228504519871,18979.302820705016,18028.159630200567,16189.484603315756,16221.680533583489,17700.17741545743,16348.83903575542,15157.372786928989,13856.6222890363,14793.989961408954,16629.063346005034,20203.890394382892,14070.41180549736,15600.54238100032,14272.758851605424,14378.900005732548,14333.21896,79.27434017,-0.764175537,4.276378053,30.03270483,198.214534,1.991804044,6.527218016,-0.652405105,18.50881328,-0.606334802,759.6629189,2.823000454
2022-01-10,15204.764155287963,16840.65641581665,16819.836793419734,16024.391387253909,14230.828623915197,14259.473604082856,15381.463845675557,14358.868560523624,13972.306805036533,15723.842454163758,15113.221050316286,13700.061299383116,14370.282330148892,13471.988566166236,15339.922831570171,15520.063002385972,14575.734273526958,14096.50288102666,13234.462887642154,22369.269905184177,17340.766870954798,14180.24162344773,15064.349776349993,16717.92295895741,18042.70508422433,14217.41562874857,18168.137773481456,14060.700321695129,15355.066835249176,15791.797972612494,14821.35864201534,13152.996509494458,15108.77789125501,15434.340148390096,14318.5,77.7,-0.94,3.834,2.9,196.5,0.31,5.366,0.68,17.83,-1.22,762.0,0.46
2022-01-11,14405.638819087317,15621.438076512151,14906.503158209389,15330.078323404534,14330.4016156954,14571.845433755056,16595.317177580193,13376.283565642205,16564.99720825739,15755.756535157516,14244.40460241259,15847.758889248817,13633.589008930514,15538.653069856922,15789.885710106222,15082.325790307044,14356.951100817738,14510.069717977793,16360.803658478171,19770.36540656356,15891.879889145192,17240.754378586516,16346.073932111409,18807.23540000622,16270.653032005268,15510.89296619328,16850.23159210455,14115.609256992911,17082.70942003658,16476.557693977302,14880.707616885566,14667.262204465598,15323.716285045994,15445.217371697529,14313.0,80.67,3.82,3.968,3.5,197.1,0.31,5.3,-1.23,18.11,1.57,770.25,1.08
2022-01-12,13554.711869030589,14153.851281585346,14342.470160182796,14603.652677836568,13478.206479360237,14910.86810874949,14075.78546522616,13494.657529704047,15212.662929097038,13029.842841434636,15614.634206937082,14941.512299150125,13944.37804882652,14167.642762409934,18235.02061521664,17582.04988362541,14317.575199674791,14904.188604333547,12916.994479972696,17601.90198977885,18047.888559296065,14923.958699862467,15741.352375904084,15798.63171626868,19115.158282219578,14774.596005029758,13595.956607819126,13700.433995799844,15067.74879348894,18159.38543458192,19224.292414847976,14046.524236415542,15719.867412479598,14735.792770320795,14277.0,82.02,1.67,4.327,9.05,203.0,2.99,5.26,-0.75,18.34,1.27,757.75,-1.62
2022-01-13,13147.059550374568,17007.01864106556,14443.49432834665,15146.649902379975,15001.52543083461,16594.811080252475,14647.249218724122,13354.785595185793,14413.650906801591,14034.235330246294,16877.774219031748,16663.004196695514,14256.971045818696,14481.039979798486,14044.08339901378,14278.864603658769,14579.007064050931,14782.963758353988,14201.187823379716,19113.036021337808,15559.834219144874,15146.242887850884,15592.637772263912,14847.913450096496,18260.26576951488,15159.8497137657,13685.05703450823,14441.523650948671,17408.30758278961,15288.027641972209,13990.818208730088,13816.009952813636,14162.208975404212,13126.236451888675,14298.90039,81.62,-0.49,4.005,-7.44,211.5,4.19,5.33,1.33,18.09,-1.36,746.75,-1.45
2022-01-14,14951.277585985628,15391.012155405524,14783.113359521318,13470.91880533444,15623.030970986696,16648.100442187402,20749.39175655072,14066.460310803788,15711.344952389476,15429.710608312527,16408.09839367389,15543.7417387629,13974.361863466162,14927.677528952652,15970.567650036885,17736.24882987149,14843.275492692666,16082.415781644042,13032.066507715905,17903.093822595765,17086.30981909574,13783.55776142814,17625.03677427304,18752.891588576487,17638.77803765115,13747.332308237786,16040.467579876078,15408.7087383033,17448.64686295024,15646.40085412146,18230.8973370585,14478.57297054438,16360.277661483393,15546.998547577474,14276.0,83.3,2.06,4.081,1.9,216.75,2.48,5.3,-0.56,18.31,1.22,741.5,-0.7
2022-01-15,15477.487311045494,15566.378655642113,13310.52418806184,14104.232315344789,15446.75547964008,16726.032376415074,14078.417864650284,13126.777169080524,17246.204985244804,14491.844527587891,15426.81772405818,14409.334285633162,11432.193616558608,15287.246976800916,14231.871770356693,15381.677369114035,14389.159112364918,14573.429402074946,14648.897393232945,16988.7891559922,17626.81080603359,17457.805743760633,15203.724872945824,19215.139085246185,20024.119122237436,14488.496343908608,14258.959221850384,13838.31492533576,15290.513904682271,17701.05910095007,15976.028500471826,16697.197607749593,13454.678773283827,14887.785426795244,14268.82296,83.14764656,1.049450673,4.4785781,8.662784746,217.4544402,2.252632903,6.472160035,0.288915597,18.55277189,1.276275813,739.3997289,1.563837108
2022-01-16,14826.896184266338,13325.708376653463,13990.745623888834,12645.997568020724,13352.891660022597,16570.518645464115,16492.560205737766,15448.708271982796,16418.153940092907,16304.753977073871,13566.809669032382,14680.603963138572,14689.611498080882,14519.763498499397,15388.386946503606,15069.603353269986,14186.564124170707,13996.103953358806,12675.858772083264,19086.58046107956,18929.30557968448,15783.85361153444,16183.399791026446,15025.03758198343,16488.51459579434,16882.761394609024,13887.535351448569,14345.27796654906,16221.944642138576,15881.823001467086,14571.392802778531,14201.196557406503,15930.139738858572,12775.31298637554,14286.43251,83.83,0.64,4.335,6.22,218.4605003,1.48011211,6.463034202,0.478598853,18.55987156,1.968997107,740.0818145,3.073153134
2022-01-17,14566.636237147635,16574.505959563536,14311.84359168832,14122.001035961988,13330.856322197696,15500.998874497072,13962.210254210591,13848.090955193784,15564.03506133184,15615.182664648815,15463.715420379662,14943.28730461493,12880.189591802486,14126.864309570765,14109.518473151922,15958.801838716869,14396.349956098971,15345.957808913465,14266.701212195863,20454.18751412195,19430.1094618946,16889.336864256868,14475.653793410587,14013.311786005184,17877.330252483116,14552.570934714431,15599.790224369275,17172.93564938469,15926.57783337093,16605.549449065984,16403.469734570386,14776.216849805978,15267.557925300052,15091.506461291656,14314.5,83.69,-0.17,4.276,-1.36,220.5,1.73,5.32,0.38,18.56690645,2.218219908,748.4183636,3.841978853
2022-01-18,15299.664658909838,14845.678414901784,15088.051442644104,15591.107610655616,15275.264476544548,14481.057059234325,16789.412444867405,14616.82596064636,15592.617961800255,17848.001231619724,15908.240632766525,17501.10638496201,14302.237915967116,13568.036659116096,14951.721298485978,18082.41405182973,14982.211176043247,14772.755026760093,14070.050726188245,19335.80452559814,15874.893987624686,14874.19629441298,17359.425597432764,16993.35154046586,18267.803836577,15493.317906946628,13512.500223493464,14869.305428591031,14512.452320154034,16853.19725947148,18097.456017404424,14206.050130930438,15711.601697196664,16379.87503707402,14349.7002,84.83,1.36,4.048,-5.33,221.0,0.23,6.444825818,0.843887649,18.66,1.91,769.0,3.71
2022-01-19,14092.259303431192,16082.898228522095,12826.49663105756,14566.693810510287,15462.607317921174,15134.665746279585,13774.141222711163,14719.395508329377,15607.05513557587,16471.69043542696,14575.950959857286,13054.060217081962,12646.521391121643,15825.718324620724,16582.135248840033,14282.240102002314,14133.71315874923,14571.91034249433,14314.394367603769,17298.780951153512,17020.186622010126,15916.359869626667,18331.063489399083,14388.065745372847,15974.203288775438,16387.98377316624,12524.429374237685,14788.983913374208,13523.299442146656,17299.360493431166,14602.65488308467,15751.835796825691,15728.350557094103,15167.151492474724,14382.2998,85.8,1.14,3.845,-5.01,223.1,0.95,5.353,0.62,19.07,2.2,796.5,3.58
2022-01-20,14204.153030141708,15762.208137971733,14807.290651657406,14121.11704864956,15603.25144569616,13946.130714302762,15509.405393509429,13903.005554499656,15743.795522222232,15233.686842563597,14987.390139471216,14580.2487104271,15387.639751008976,13996.115820130182,14440.623841676444,14798.517316570364,14314.067366927837,14112.723609807805,13985.834631733418,18760.436820511877,17018.617784761936,18142.336357124503,15041.059302890186,18689.482561500237,18315.73629577881,14718.822384544645,15925.855135490474,12980.195775227488,15082.659656247242,14256.850761056485,15723.47314235788,14411.686541350182,15644.455976101512,14934.765204243076,14362.7998,85.55,-0.29,3.649,-5.1,225.65,1.14,5.4,0.88,18.93,-0.73,790.25,-0.78
2022-01-21,15276.043197776144,16609.115580136953,13509.748919647122,15360.27298397204,12520.83382634003,14994.530351765674,17795.441966657083,13594.460646935786,14620.452531330917,14005.877217992183,14097.850904983778,13634.246961032515,12687.541215711608,13076.84706251518,15409.375953943352,16932.44156037157,14320.944560588438,15326.597070467436,13129.108216840275,19518.70730774776,18542.53468230912,14469.779932944555,15422.695719002397,20832.787864277147,20313.82513532045,15699.226317576073,14342.101188368197,15054.43779380457,15157.510232819262,16706.58237657377,18252.78414406381,15898.567875756658,14868.470963988726,14391.511901575594,14343.0,84.14,-1.65,3.782,3.64,224.6,-0.47,5.504,1.93,18.9,-0.16,780.0,-1.3
2022-01-22,12677.431155876988,14435.035558927397,13414.055546421974,14352.946027462562,15313.179372155582,17500.980197272835,15796.455436330049,11848.21826522877,17046.370627678487,14894.567818859288,15050.197149164052,17973.407765395477,13304.90600903275,14590.935412591443,15020.988141477304,15233.53936620237,14277.997763761492,14782.162115936017,13836.107975792183,19800.57587676983,17303.49356763028,15789.383447263712,16003.40900291134,19693.116356043112,13857.599616321411,14617.207195242763,16586.931207229954,14234.317047594035,19436.14507338277,16953.582172377137,13078.831722040475,13988.11356056503,14418.133589054827,15198.073509249874,14324.84646,84.46737175,-3.136007742,4.705115713,5.761358676,223.8885802,0.724066615,6.408582185,0.722403174,18.60110902,-0.512107875,777.51727,1.043044525
