Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,USDIDR Close,Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat
2022-01-01,8910.0,9000.0,9090.0,8189.999999999999,8150.0,8990.0,7580.0,7940.0,8050.000000000001,8029.999999999999,8090.0,9100.0,7480.0,8310.0,7940.0,8490.0,9810.0,9920.0,8340.0,9690.0,11260.0,8010.0,9800.0,11000.0,10550.0,9400.0,8660.0,7920.0,9670.0,9420.0,10380.0,8240.0,8000.0,8630.0,14209.39169,75.86712679,-1.226088888,3.995254986,-27.94855798,-125.3868214,-436.9858752,6.60143661,3.357832094,18.44657359,0.916576853,662.463126,-24.53696757
2022-01-02,8860.0,9050.0,8960.0,8290.0,8150.0,8360.0,7500.0,7990.0,8050.000000000001,8109.999999999999,8100.0,9200.0,7790.0,8310.0,9440.0,8490.0,9810.0,9760.0,8270.0,9740.0,10890.0,8280.0,9190.0,10320.0,10380.0,9660.0,8870.0,7990.0,9270.0,9640.0,10090.0,8360.0,7930.0,8690.0,14190.2066,76.13717718,0.19969316,4.031115558,-5.028045067,57.68703699,-156.3004829,6.592108789,2.630140639,18.45458032,0.170589578,722.1501946,-10.28533941
2022-01-03,8860.0,9100.0,9040.0,8360.0,8150.0,9950.0,7620.0,7940.0,8000.0,7910.0,8140.000000000001,9270.0,7850.0,8310.0,8980.0,8490.0,10140.0,10240.0,8180.0,9780.0,10870.0,8010.0,9710.0,10650.0,10260.0,9660.0,8540.0,7890.0,9210.0,9590.0,10210.0,8340.0,7760.0,8600.0,14215.0,75.85,1.3,3.678,3.4,157.5,-7.13,5.259,1.94,18.74,-0.74,758.0,-1.65
2022-01-04,8820.0,9100.0,9020.0,8410.0,8150.0,9520.0,7560.0,7940.0,8000.0,7930.0,8119.999999999999,9280.0,7930.0,8310.0,9570.0,8320.0,9810.0,9920.0,8420.0,9780.0,10800.0,7900.0,9480.0,10320.0,10340.0,9690.0,8630.0,7990.0,9620.0,9640.0,10210.0,8360.0,7820.0,8570.0,14283.59961,76.74,1.17,3.582,-2.61,174.1,10.54,5.308,0.93,18.75,0.05,770.0,1.58
2022-01-05,8920.0,9120.0,9170.0,8360.0,8400.0,10040.0,7530.0,7940.0,8000.0,7970.0,8070.0,9150.0,7930.0,8310.0,9570.0,8490.0,9980.0,10240.0,8350.0,9780.0,10800.0,7700.0,9430.0,10650.0,10240.0,9660.0,8460.0,8010.0,9620.0,9550.0,10210.0,8300.0,7900.0,8620.0,14385.5,77.47,0.95,3.71,3.57,179.9,3.33,5.437,2.43,18.34,-2.19,760.75,-1.2
2022-01-06,8760.0,9000.0,9020.0,8360.0,8360.0,10040.0,7570.0,7940.0,7960.0,7970.0,8000.0,9150.0,8010.0,8310.0,9440.0,8490.0,10210.0,9270.0,8230.0,9780.0,10900.0,7900.0,8870.0,10880.0,10370.0,9400.0,8710.0,7940.0,9570.0,9630.0,10130.0,8460.0,7750.0,8610.0,14446.5,78.88,1.82,3.67,-1.08,196.5,9.23,5.387,-0.92,18.19,-0.82,746.0,-1.94
2022-01-07,8730.0,9130.0,9040.0,8360.0,8360.0,9690.0,7560.0,7940.0,7980.0,7950.0,7990.0,9090.0,8050.000000000001,8380.0,8980.0,8490.0,10290.0,9920.0,8119.999999999999,9740.0,11230.0,7890.0,9140.0,11230.0,10340.0,9270.0,8540.0,7940.0,9710.0,9640.0,10140.0,8550.0,8000.0,8720.0,14408.0,78.44,-0.56,3.726,1.53,195.9,-0.31,5.33,-1.06,18.05,-0.77,758.5,1.68
2022-01-08,8910.0,9130.0,9390.0,8330.0,8180.0,10040.0,7600.0,8029.999999999999,8000.0,7990.0,7930.0,9300.0,8050.000000000001,8380.0,8980.0,8490.0,10100.0,9270.0,8450.0,9780.0,10800.0,7720.0,8660.0,10910.0,10280.0,9560.0,8710.0,7960.0,9710.0,9480.0,10170.0,8570.0,8029.999999999999,8700.0,14364.52204,78.69258722,-0.539923554,4.241957858,29.72536983,198.0598603,1.798955289,6.536444843,-0.50578282,18.50126008,-0.971594163,763.5365193,2.783964823
2022-01-09,8860.0,9130.0,9270.0,8210.0,8470.0,10040.0,7600.0,8070.0,8000.0,8060.000000000001,8000.0,9350.0,8140.000000000001,8380.0,9220.0,8490.0,10100.0,10180.0,8320.0,9740.0,10890.0,7790.0,8920.0,10490.0,10460.0,9270.0,8550.0,7920.0,9570.0,9490.0,10330.0,8280.0,7960.0,8680.0,14333.21896,79.27434017,-0.764175537,4.276378053,30.03270483,198.214534,1.991804044,6.527218016,-0.652405105,18.50881328,-0.606334802,759.6629189,2.823000454
2022-01-10,8960.0,9210.0,9020.0,8210.0,8470.0,10040.0,7570.0,8109.999999999999,8039.999999999999,8020.0,7980.0,9300.0,8050.000000000001,8380.0,9320.0,8490.0,10100.0,9810.0,8170.0,9740.0,11000.0,7900.0,9440.0,10770.0,10370.0,9670.0,8490.0,7940.0,9710.0,9760.0,10250.0,8480.0,8050.000000000001,8540.0,14318.5,77.7,-0.94,3.834,2.9,196.5,0.31,5.366,0.68,17.83,-1.22,762.0,0.46
