Date,USDIDR Close,Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,14209.39169,75.86712679,-1.226088888,3.995254986,-27.94855798,-125.3868214,-436.9858752,6.60143661,3.357832094,18.44657359,0.916576853,662.463126,-24.53696757,22360,40000,39240,24860,39350,51800,52200,26490,38400,30660,29730,71580,70710,75030,73790,84230,50180,49420,39510,65950,74100,31630,52870,80000,86390,35800,50960,41660,46480,60540,48880,26990,42410,26180
2022-01-02,14190.2066,76.13717718,0.19969316,4.031115558,-5.028045067,57.68703699,-156.3004829,6.592108789,2.630140639,18.45458032,0.170589578,722.1501946,-10.28533941,23340,50990,39570,24730,38940,44860,51130,26160,39140,29880,31020,75430,59180,74010,72230,84230,52240,53070,36090,67380,69850,28870,58600,80410,75750,34760,49550,40360,45520,58830,48800,26470,44750,27290
2022-01-03,14215,75.85,1.3,3.678,3.4,157.5,-7.13,5.259,1.94,18.74,-0.74,758,-1.65,22050,48990,38700,26850,39490,44780,50100,29080,37960,29730,29980,71320,59370,75580,67650,84450,52890,52840,35970,69940,72110,29770,42930,82320,68260,35170,45980,41100,46990,56570,49150,27780,41320,24460
2022-01-04,14283.59961,76.74,1.17,3.582,-2.61,174.1,10.54,5.308,0.93,18.75,0.05,770,1.58,22460,48990,41310,25740,38910,44780,49080,28780,37440,29180,29460,66440,61650,75260,66110,81860,49490,47650,31950,75210,73910,28610,44220,73060,69250,35220,45630,39990,46490,56630,45860,29880,38530,23790
2022-01-05,14385.5,77.47,0.95,3.71,3.57,179.9,3.33,5.437,2.43,18.34,-2.19,760.75,-1.2,19630,48990,38710,25150,33830,43910,45540,27890,36420,28270,27750,68330,59750,74070,64290,80920,50790,53910,29800,69260,71520,28260,46760,76970,66910,34140,40190,39460,45330,56100,44600,28320,40680,24520
2022-01-06,14446.5,78.88,1.82,3.67,-1.08,196.5,9.23,5.387,-0.92,18.19,-0.82,746,-1.94,20140,40000,37690,24840,31180,42940,42630,26040,35960,27520,26790,60750,60320,74010,62180,78920,48880,42790,28930,68620,70520,27670,47620,70540,65010,34700,40870,37780,43910,55190,41960,28190,38910,25920
2022-01-07,14408,78.44,-0.56,3.726,1.53,195.9,-0.31,5.33,-1.06,18.05,-0.77,758.5,1.68,22960,46900,34910,24420,30460,36920,41610,25230,36750,25730,26330,60060,60230,73970,61210,78770,48040,52720,28310,66350,66830,28370,45360,74000,67200,34980,43940,36440,44640,55160,44700,27720,41010,25520
2022-01-08,14364.52204,78.69258722,-0.539923554,4.241957858,29.72536983,198.0598603,1.798955289,6.536444843,-0.50578282,18.50126008,-0.971594163,763.5365193,2.783964823,21730,46900,32210,25870,30460,42000,42010,25410,34780,24940,26070,65510,59510,70480,56350,79940,46200,48910,28630,68990,66680,28330,41840,76570,63630,34450,42980,37900,43080,53280,42870,27350,39270,25070
2022-01-09,14333.21896,79.27434017,-0.764175537,4.276378053,30.03270483,198.214534,1.991804044,6.527218016,-0.652405105,18.50881328,-0.606334802,759.6629189,2.823000454,20430,44720,24100,25070,29900,40030,42510,26940,34690,24520,25720,58080,56430,70480,57180,71110,43010,57830,27950,68830,64690,28640,52010,62450,70280,35730,43940,36110,44920,54280,42920,25830,37640,24170
2022-01-10,14318.5,77.7,-0.94,3.834,2.9,196.5,0.31,5.366,0.68,17.83,-1.22,762,0.46,19570,43870,31940,24300,28650,38030,41870,27340,32570,20830,25010,52090,53080,68320,54120,65950,41470,51010,26090,62680,65810,29210,46240,72230,60650,33300,43570,36710,42270,52050,40450,27600,37990,25670
2022-01-11,14313,80.67,3.82,3.968,3.5,197.1,0.31,5.3,-1.23,18.11,1.57,770.25,1.08,18770,41830,31210,23680,28210,38030,38660,26390,31440,21550,22460,48190,54860,68370,56540,67140,43190,56230,25620,63700,62630,29510,40790,66440,59630,33380,39890,34320,39860,53310,33560,27540,35980,25130
2022-01-12,14277,82.02,1.67,4.327,9.05,203,2.99,5.26,-0.75,18.34,1.27,757.75,-1.62,19760,40000,27830,23960,27350,39870,40360,25330,31570,19760,21360,47770,52720,68140,55820,64930,39170,54940,25860,62780,65350,29690,46700,73480,58790,32650,39910,33850,40890,53400,33820,27220,35840,24030
2022-01-13,14298.90039,81.62,-0.49,4.005,-7.44,211.5,4.19,5.33,1.33,18.09,-1.36,746.75,-1.45,19690,40000,28730,23750,26450,38030,41020,23830,29980,20110,22770,43600,47510,66960,57580,64930,38100,54940,25080,65980,58140,27340,44870,71080,56040,31690,39720,32880,40250,52250,34590,27220,34500,24040
2022-01-14,14276,83.3,2.06,4.081,1.9,216.75,2.48,5.3,-0.56,18.31,1.22,741.5,-0.7,20470,37420,25710,24000,28240,38030,41530,23910,29650,19730,21850,45470,49920,65150,55630,63810,36400,53140,24770,65190,60810,27850,45820,66130,53970,31110,37400,32180,40770,52050,34920,27690,33920,23340
2022-01-15,14268.82296,83.14764656,1.049450673,4.4785781,8.662784746,217.4544402,2.252632903,6.472160035,0.288915597,18.55277189,1.276275813,739.3997289,1.563837108,20080,37420,27670,22920,27540,39870,39870,25000,30010,19910,22140,46260,49170,66310,53840,63810,36440,48970,23950,61860,56420,28100,47960,72150,57690,31070,35950,31120,39280,51240,34180,27530,33070,21580
2022-01-16,14286.43251,83.83,0.64,4.335,6.22,218.4605003,1.48011211,6.463034202,0.478598853,18.55987156,1.968997107,740.0818145,3.073153134,19360,35000,27200,23290,27540,32240,37820,25680,28570,21480,21420,48170,46910,65910,51860,62610,36440,51700,23160,61860,58510,27650,46520,79370,59130,31190,35950,30320,37900,51590,32930,26910,33970,23620
2022-01-17,14314.5,83.69,-0.17,4.276,-1.36,220.5,1.73,5.32,0.38,18.56690645,2.218219908,748.4183636,3.841978853,19840,35000,28620,23810,28330,36500,40010,25850,29840,21720,23170,47650,44860,64030,51470,63710,36630,51810,24190,61880,57810,26440,46060,67440,55010,30260,35950,29080,39700,51480,32540,27380,33210,22910
2022-01-18,14349.7002,84.83,1.36,4.048,-5.33,221,0.23,6.444825818,0.843887649,18.66,1.91,769,3.71,19210,37420,35460,23810,28330,37060,40590,25770,30290,22490,24460,45640,43230,61970,52980,63950,36850,46820,24510,63570,59570,24840,48410,64310,55330,30710,34240,28890,38160,47470,34040,27680,33800,23380
2022-01-19,14382.2998,85.8,1.14,3.845,-5.01,223.1,0.95,5.353,0.62,19.07,2.2,796.5,3.58,18980,37420,33000,24060,28560,37060,40030,26030,29840,22500,24470,45510,46670,63330,50050,63950,37520,51800,24580,58770,61060,24390,50760,63190,55350,31320,34760,28140,39040,44790,34750,27920,32450,22530
2022-01-20,14362.7998,85.55,-0.29,3.649,-5.1,225.65,1.14,5.4,0.88,18.93,-0.73,790.25,-0.78,20320,37420,33610,25020,27940,35330,37930,24370,29940,22880,24300,45410,45380,62670,48770,63950,38390,51410,25430,62520,61560,24320,49940,62350,58980,29490,33110,28270,37530,45420,35580,27400,33470,22300
2022-01-21,14343,84.14,-1.65,3.782,3.64,224.6,-0.47,5.504,1.93,18.9,-0.16,780,-1.3,19220,37420,33320,24750,26220,36890,37150,22980,29920,23010,24890,42000,44660,62980,50780,63950,45320,49230,25660,60820,60710,23980,48970,60120,55130,29480,31770,27610,35430,43140,34860,28250,33490,22250
2022-01-22,14324.84646,84.46737175,-3.136007742,4.705115713,5.761358676,223.8885802,0.724066615,6.408582185,0.722403174,18.60110902,-0.512107875,777.51727,1.043044525,19550,35000,33130,25610,26220,38450,37470,23770,30290,22700,24820,44460,43600,62640,49850,62840,45950,51370,25340,62520,61920,25190,49320,62490,56720,29560,32290,27380,34980,43140,35990,27800,33530,22250
2022-01-23,14312.20201,84.20986175,-3.164463217,4.736655157,5.885527816,224.1654016,0.642884345,6.399557346,0.260320822,18.60775517,-0.842515013,785.0306411,2.557897649,19390,35000,32850,24560,25660,37850,36550,23360,30810,22860,25360,50270,45790,62120,53990,61760,47020,47700,26370,63260,56180,22730,46790,60170,64640,29590,31470,27050,33500,43390,34900,27820,33010,22430
2022-01-24,14329.7002,82.41,-2.06,3.875,2.46,225.25,0.29,5.438,-1.2,18.81,-0.48,800.5,2.63,17970,33990,32810,24570,27080,38830,37090,23420,29680,23920,23480,45220,45980,62270,49020,61760,45310,49900,28170,59830,60300,26040,46380,62380,55280,28550,31770,26160,31910,43630,35610,28010,32630,22670
2022-01-25,14365,84.37,2.38,3.894,0.49,227.3,0.91,5.454,0.29,18.78,-0.16,818,2.19,18520,33990,31220,24460,25230,37020,37580,23430,29390,23920,25740,43280,47390,62670,48840,61760,41700,49900,28590,61140,56440,25380,47130,61800,53210,28610,32750,25550,32630,42770,35880,26980,33810,23150
2022-01-26,14330.5,85.96,1.88,4.036,3.65,227.8,0.22,5.506,0.95,18.49,-1.54,795,-2.81,18470,33990,32430,24000,26880,37130,37050,23800,29360,23660,25610,48330,46350,62070,44080,62760,43850,46470,29440,66290,59380,25420,45940,62400,57210,30870,32750,25580,33060,42220,37920,25850,33430,22710
2022-01-27,14366.40039,85.29,-0.78,4.283,6.12,227.6,-0.09,5.613,1.94,18.41,-0.43,777,-2.26,18770,28480,31920,23900,24510,36080,36890,24190,28650,24000,24540,43670,46480,60870,44280,61760,43020,49650,28070,52650,48830,25360,46420,61220,58910,30680,32110,25480,33280,41460,37050,26320,33610,23320
2022-01-28,14389.2002,85.43,0.16,4.473,4.44,227.65,0.02,5.803,3.38,18.2,-1.14,786.25,1.19,18730,28480,32210,24510,24880,36580,37640,24190,28910,23280,24710,43380,46510,60520,44220,62650,42460,47650,28370,65680,60210,26190,46360,58630,57510,30030,31110,25480,33590,41030,37760,27240,33300,23060
2022-01-29,14399.60971,85.50707209,-0.805294579,4.921570696,25.81903163,226.3446726,-0.756028671,6.345711293,2.859276898,18.64627147,-0.139868984,782.8539648,1.89262633,19290,32400,31900,24700,24580,37530,35860,24320,28720,23480,24080,46150,46510,59810,44490,63590,41110,43710,28960,66290,58410,25530,46840,60090,53700,30580,30430,25030,32710,40590,35200,27110,34010,22870
2022-01-30,14398.47925,86.04286138,-0.755477352,4.951669765,24.74822619,224.6189109,-0.98254313,6.336787448,1.695228051,18.65246409,-0.024054653,766.0714561,1.003370721,18840,22910,32250,24910,24370,30770,37120,24690,28020,23540,23340,44670,45030,59810,42490,61660,41280,39010,28500,66290,51940,25690,44950,58930,63090,31070,31920,24740,32080,39530,36990,27500,33730,22150
2022-01-31,14381.59961,86.49,1.24,4.675,4.52,222.75,-2.15,5.785,-0.31,18.22,0.11,761.25,-3.18,18940,22910,30880,24910,24500,37530,35040,24020,28120,22890,23670,43430,43900,59810,42980,60590,39330,44780,28070,66610,54980,25740,46390,62250,57880,30350,30000,24850,31850,38460,38870,27490,31410,24150
2022-02-01,14350,86.46,-0.03,4.573,-2.18,218.1,-2.09,6.318983041,-2.164485399,18.48,1.43,769,1.02,19210,26460,30060,24910,24490,37020,35820,23280,28520,22930,23070,44320,44220,58240,41590,60650,39660,45420,27070,65870,53770,25280,47210,61280,60030,31090,30000,24420,32160,38540,39190,28270,31870,24070
2022-02-02,14322.2998,86.69,0.27,5.044,10.3,220.1,0.92,6.310102479,-2.470877349,17.93,-2.98,755,-1.82,21020,26460,29640,24910,25060,36580,34850,23680,28570,23350,23560,43840,41100,57070,45030,58810,39570,46830,26020,64460,55490,25740,46820,62000,57260,30940,30000,24670,32120,38370,37490,27540,31280,24210
2022-02-03,14363.7998,88.45,2.03,4.72,-6.42,221,0.41,5.714,-1.23,17.99,0.33,751.75,-0.43,22470,22360,30860,24990,25270,36890,35630,25050,28030,23500,24310,43190,43940,56230,44350,58810,38900,47140,23630,65030,55870,25500,46240,59680,59800,30830,28770,23700,32260,40140,37360,28000,31550,24270
2022-02-04,14377,90.33,2.13,4.492,-4.83,227.3,2.85,5.779,1.14,18.23,1.33,763.25,1.53,23610,22360,30410,24520,26920,38680,36220,25420,28110,24950,24250,43270,47210,55920,47270,58810,35840,40570,23640,63020,55140,23370,45480,62950,58140,31700,27810,23620,32150,38690,37660,27500,32160,23470
2022-02-05,14384.44692,89.14457504,1.389139759,5.12794305,-3.343078312,230.8317656,4.104420601,6.28354736,3.178479423,18.68825923,0.340755005,768.0057753,2.036787987,23630,21210,30660,24520,23950,33800,36770,25150,27760,24940,25900,46730,46000,55970,42200,60210,38220,40570,25480,64970,52920,22990,44720,58730,57540,30380,28160,23340,31560,37480,38240,27330,35360,23500
2022-02-06,14391.80919,88.89434884,0.578148315,5.156601743,-2.746346807,233.7472143,4.21717578,6.274724509,1.850377906,18.69399833,0.518998791,765.2811786,2.397708734,22880,21210,30920,24380,25050,39020,36640,24340,27890,24880,26250,49080,45210,56570,43120,61180,39410,45930,24620,64460,52940,25180,44220,54810,59500,31530,26030,23330,33380,38420,39650,28440,34570,24380
2022-02-07,14400.40039,89.77,-0.62,4.198,-6.54,236,3.83,5.652,-2.2,18.05,-0.99,768.75,0.72,23760,22360,33850,25370,28250,39020,38630,24690,28280,25990,25980,44150,42400,56100,40710,60210,41230,44470,25090,64460,53220,21610,44510,58990,58120,32670,28160,23330,30840,38120,40760,28890,33020,25510
2022-02-08,14405.59961,87.9,-2.08,4.218,0.48,239.25,1.38,5.566,-1.52,18.08,0.17,778.75,1.3,24290,25000,35060,25150,26890,40030,40300,24690,28620,27120,27130,44210,43680,56910,44830,61060,43430,44800,26980,64460,53220,21600,44300,56960,62030,33380,26890,22700,31100,38530,38730,30300,33390,25000
2022-02-09,14379.5,88.53,0.72,3.98,-5.64,239.25,0,5.765,3.58,18.48,2.21,785,0.8,24740,25000,35790,25390,27950,39020,42830,27920,29020,28380,27260,46790,44040,56060,43360,60810,43010,44800,27570,65330,53670,21420,42830,61620,61540,33910,26580,23230,32690,37960,38590,30240,34960,24630
2022-02-10,14334.2002,88.56,0.03,3.943,-0.93,239.1,-0.06,5.74,-0.43,18.3,-0.97,771.5,-1.72,24940,25000,35500,26750,27950,39900,41310,30000,30110,28160,27310,45330,42700,56010,41650,61060,43210,46680,28100,67300,51470,21470,41720,59430,58030,34720,26550,22950,31500,38020,38110,31330,34340,25400
2022-02-11,14328,91.42,3.23,3.935,-0.2,245,2.47,5.8,1.05,18.26,-0.22,797.75,3.4,25660,25000,34450,26380,27950,42000,40610,30760,30750,29360,27970,44900,43920,55120,41510,61060,42610,47620,29860,62040,52330,23490,41700,56320,61300,34190,27850,23420,31950,38360,38170,30950,34730,28420
2022-02-12,14338.76241,92.28696863,3.8605166,5.324232774,1.834077375,243.9150609,3.262727539,6.222090386,3.232498329,18.72707232,-0.51033989,813.0709324,3.369045863,28210,25000,35790,27740,28170,42200,42270,30200,30680,30380,28590,47250,42420,54980,40640,52910,44830,49030,30390,64830,51620,22960,40880,54210,59530,37420,28940,23780,32030,40330,38230,32010,34990,30740
2022-02-13,14355.89428,92.55870527,3.100767875,5.351451091,2.68653961,242.56025,2.183616603,6.213368529,3.713280754,18.73235789,-0.621765498,812.105052,3.032270238,30120,26460,35900,28390,28540,38550,43380,30180,31800,30400,28440,50190,44280,55860,39410,61060,42220,47620,31330,61530,47260,25900,41520,53980,64520,36540,28780,24770,32650,36790,38070,32830,35000,29430
2022-02-14,14344.7002,93.5,2.28,4.16,5.72,240,-2.04,5.935,2.33,18.12,-0.77,799.25,0.19,29460,29240,35900,29520,30250,43170,43720,32490,32220,31280,28710,46240,42500,56240,42570,61980,46930,52620,31020,64980,50590,25620,40570,56260,59220,39240,29110,24560,33410,36610,38290,34340,34670,31200
2022-02-15,14303,90.21,-3.52,4.241,1.95,239,-0.42,5.865,-1.18,18.07,-0.28,779.75,-2.44,33130,27390,36560,29970,30250,42780,43310,33150,32960,31650,30080,46700,46050,55990,41680,60680,44660,53400,31180,64840,39820,24810,41150,57040,60790,39500,32270,25180,33490,37810,39400,35080,36010,30680
2022-02-16,14260.59961,91.83,1.8,4.572,7.8,235.5,-1.46,5.83,-0.6,18.07,0,780.5,0.1,33730,26460,36190,29870,31820,42780,42360,33680,33510,31690,30660,44000,44600,55990,41980,58840,45300,52970,30960,68910,50350,24810,40270,54560,62100,40590,34770,25760,33240,37410,40660,35790,36340,32060
2022-02-17,14274.40039,90.04,-1.95,4.43,-3.11,232.4,-1.32,5.967,2.35,18.28,1.16,798,2.24,33230,25000,35380,29970,33820,42580,42910,33850,33530,32070,31130,42700,46550,55640,41830,59790,45510,50050,30690,70820,54660,24310,41240,54380,61370,40910,34130,26520,33160,37410,41040,36150,37170,33610
